Site_name,Country,Water_body_type,n_raw,lat_min,lat_max,lon_min,lon_max,TSS_min,TSS_max,TSS_median,n_group,n_unique_dates,is_lake_reservoir,eligible_n_group_ge20,eligible_n_group_ge15,eligible_n_group_ge10,tss_dynamic_range_ratio
Lake Erie,Canada,1,550,41.1941166666667,42.84472222,-83.5747,-79.57361111,0.449999999999993,145.8,9.49,526,95,True,True,True,True,324.00000000000506
Guiana,France,3,230,4.03973,5.979,-53.952,-51.285,1.0209291,1945.3405,31.4892795,200,49,False,False,False,False,1905.4609179031138
Taihu,China,1,195,30.943812,31.511,119.9332,120.418933,1.56666666666668,246.0,35.7999999999999,188,17,True,True,True,True,157.02127659574336
Lake Kasumigaura,Japan,1,188,35.96411111,36.1492,140.2143667,140.4893611,4.966666667,57.1,18.6,188,29,True,True,True,True,11.496644294530427
"Atlantic Ocean, GA",United States of America (the),3,137,30.7096666666667,32.3986333333333,-81.39862,-79.825545,0.237661715380954,62.6455399061035,1.49586776859505,137,26,False,False,False,False,263.5912132742431
English Channel,France,3,112,48.2835,51.9224,-4.75537,3.732217,0.333,118.333,7.1385000000000005,107,33,False,False,False,False,355.3543543543543
Gulf of Tonkin,Viet Nam,3,102,20.2006,20.9755,106.628,107.2811,1.09,147.69,10.620000000000001,96,28,False,False,False,False,135.49541284403668
High Rock Lake,United States of America (the),1,86,35.60522,35.68915,-80.3385,-80.23669,1.0,98.0,10.0,86,10,True,True,True,True,98.0
Eagle Creek Reservoir,United States of America (the),1,79,39.82516,39.87099,-86.3151,-86.30067,5.833333334,36.16666667,12.0,78,4,True,True,True,True,6.199999999862857
Lake Peipsi,Estonia,1,74,58.12244,58.92213,27.1057,27.57492,0.75,26.0,7.67,74,12,True,True,True,True,34.666666666666664
Hawke Bay,New Zealand,3,65,-39.59957,-39.06051,176.890320189941,177.835551555277,1.529636711,77.91706847,16.2835249042146,65,5,False,False,False,False,50.93828352162241
Dianchi,China,1,64,24.68047222,24.9624,102.6225833,102.7437222,22.5,184.0,38.5,64,9,True,True,True,True,8.177777777777777
Tokyo Bay,Japan,3,62,35.487778,35.629167,139.818611,140.073333,2.99,26.29,7.295,62,14,False,False,False,False,8.792642140468226
Geist Reservoir,United States of America (the),1,56,39.90753,40.01491,-86.03936,-85.91874,5.166666667,81.16666667,10.875,56,3,True,True,True,True,15.709677418986471
Morse Reservoir,United States of America (the),1,53,40.07383,40.18459,-86.06897,-85.95509,6.666666667,30.33333334,16.16666667,53,3,True,True,True,True,4.5500000007725
Seto-Inland Sea,Japan,3,51,33.26833333,33.775,131.2293333,131.9816667,0.249999999999998,6.4,0.974999999999999,51,9,False,False,False,False,25.600000000000207
"Apalachicola Bay, FL",United States of America (the),2,49,29.6086538888889,29.79465,-85.1804555555556,-84.086274,1.7,61.03,15.2238805970149,48,9,False,False,False,False,35.9
Yellow Sea,Korea (the Republic of),3,53,33.96972972,35.60988056,125.4394522,129.6590975,0.260357143,110.2357143,5.079464286,48,13,False,False,False,False,423.4019202615078
South China Sea,Viet Nam,3,47,8.7175,11.68863,106.3678,109.25163,0.47,26.44,3.01,45,11,False,False,False,False,56.255319148936174
Lake Winnipeg,Canada,1,45,50.51786667,53.83335,-99.23275,-96.42628333,0.733333333,59.756,12.4,45,15,True,True,True,True,81.48545458249339
Branched Oak Lake,United States of America (the),1,40,40.96046,40.98652,-96.88969,-96.85112,11.3,50.4,20.45,40,3,True,True,True,True,4.460176991150442
Red River,Viet Nam,4,40,21.223333,21.358244,105.34565,105.456306,42.4,168.0,88.6,40,1,False,False,False,False,3.9622641509433962
Lake Hume,Australia,1,39,-36.2056,-36.00871,147.0326993,147.09095,1.333,24.917,3.6,39,18,True,True,True,True,18.692423105776445
Erhai,China,1,37,25.61763889,25.94294444,100.1201917,100.2638194,3.541666667,20.375,5.733333333,37,3,True,True,True,True,5.752941175929135
Garda,Italy,1,45,45.09,45.86633333,10.46,10.8485,0.1,5.24999999999999,1.15,37,15,True,True,True,True,52.4999999999999
Lake Łebsko,Poland,1,32,54.71381,54.74259,17.35421,17.4914,18.6,77.3,41.64,32,20,True,True,True,True,4.155913978494623
Mantova,Italy,1,33,45.1501694444444,45.16969444,10.72896,10.8098333333333,3.0,50.0,10.14,31,9,True,True,True,True,16.666666666666668
Ba Be Lake,Viet Nam,1,30,22.3959,22.445,105.608,105.633,12.8,17.3,14.9,29,2,True,True,True,True,1.3515625
Ibitinga Reservoir,Brazil,1,28,-21.9105277778,-21.7607222222,-48.9921694444,-48.8918055556,0.8,97.5,5.7,28,7,True,True,True,True,121.875
Lake Kummerow,Germany,1,26,53.81916,53.84584,12.87107,12.90237,0.4,6.1,1.85,26,8,True,True,True,True,15.249999999999998
Plum Island Estuary,United States of America (the),2,23,42.69205,42.81702,-70.86009,-70.76372,1.02,21.71,7.651,23,5,False,False,False,False,21.284313725490197
Lake Jeleń,Poland,1,22,54.19786,54.19786,17.5383,17.5383,0.8,2.9,1.3039999999999998,22,22,True,True,True,True,3.6249999999999996
Lake Jasień Południowy,Poland,1,23,54.28477,54.30252,17.61468,17.61793,1.1,6.8,2.25,22,19,True,True,True,True,6.181818181818181
"St. Marys River, GA",United States of America (the),4,23,30.7105,30.786767,-81.795176,-81.4611666666667,0.650000000000039,79.1,10.4649361279196,22,4,False,False,False,False,121.69230769230039
Lake Chotkowskie,Poland,1,22,54.15146,54.15146,17.35654,17.35654,1.2,13.875,4.555,22,22,True,True,True,True,11.5625
Chaohu,China,1,29,31.5097,31.6756,117.3305,117.7488,14.0000000000001,394.0,45.9999999999999,21,4,True,True,True,True,28.142857142856943
Lake Geneva,Switzerland,1,20,46.31011667,46.5109,6.2201,6.867666667,0.283,4.0,0.976,20,6,True,True,True,True,14.13427561837456
Lake Obłęże,Poland,1,21,54.24037,54.24037,16.91996,16.91996,0.891,9.31,3.52,20,20,True,True,True,True,10.448933782267115
Lake Constance,Germany,1,20,47.56871,47.59581,9.4832,9.5234,1.1808,6.29599999999999,1.66268,20,2,True,True,True,True,5.331978319783189
"Ha Long Bay, Quang Ninh Province",Viet Nam,3,20,20.859300565916,20.9537848385148,106.997758,107.191470467421,11.85,28.93,14.95,19,1,False,False,False,False,2.441350210970464
"West Lake, Hanoi",Viet Nam,1,19,21.0437,21.0619,105.815,105.838,23.8,81.25,28.75,19,2,True,False,True,True,3.4138655462184873
Arcachon Bay,France,3,25,44.6354,45.5174,-1.236,-0.628,0.8,1815.35,4.39,19,9,False,False,False,False,2269.1874999999995
Lake Rotoehu,New Zealand,1,18,-38.025536,-37.9982,176.53057,176.53315,0.51,5.4,3.1500000000000004,18,10,True,False,True,True,10.588235294117647
"Altamaha River, GA",United States of America (the),4,18,31.2846111111111,31.3556333333333,-81.4785166666667,-81.29129,6.04,81.2,11.09249999999985,18,4,False,False,False,False,13.443708609271523
Trasimeno,Italy,1,25,43.10445,43.1704,12.0492,12.1773833333333,2.86666666666667,28.0,4.91666666666666,18,5,True,False,True,True,9.767441860465105
