learner,k,median_delta_mae,mean_delta_mae,ci_lower,ci_upper,bootstrap_resolution,interval_relation_to_zero,classification
PLSR,1,-0.0149663979382132,-0.0526404405404249,-0.0991132494167521,-0.0130909383530953,"B=10,000",below zero,adverse
PLSR,3,0.0054177145203294,-0.0254332812073268,-0.0611063949099689,0.0002800954336828,"B=1,000,000",spans zero,unresolved boundary case
PLSR,5,0.0113650222148889,-0.0051726507806397,-0.0225073473992993,0.0097211109281235,"B=10,000",spans zero,unresolved
PLSR,10,0.0052072924392565,0.0044649329963526,-0.0119797467224615,0.0193669551322624,"B=10,000",spans zero,unresolved
XGBoost,1,-0.0192415847904005,-0.0519052529619986,-0.0932639387456223,-0.0159996316562541,"B=10,000",below zero,adverse
XGBoost,3,0.0021587712515881,-0.01987861011158,-0.0532617025241192,0.0051270294620294,"B=10,000",spans zero,unresolved
XGBoost,5,0.0013208876373743,-0.0043557950671579,-0.0216374417546629,0.0114789991125848,"B=10,000",spans zero,unresolved
XGBoost,10,0.0036583311325903,-0.0010821272832016,-0.0166180848744043,0.0142925093892464,"B=10,000",spans zero,unresolved
MLP,1,-0.0011386786232025,-0.0401927746990173,-0.0749122260129813,-0.007860406662372,"B=10,000",below zero,adverse
MLP,3,0.002295974674854,-0.0110297454878191,-0.0374481775558218,0.0092882864799693,"B=10,000",spans zero,unresolved
MLP,5,0.0046847181268388,0.0037733528767503,-0.0132526478181568,0.019084792528155,"B=10,000",spans zero,unresolved
MLP,10,0.0065619063174916,0.0052038234373099,-0.0074295866935366,0.0178910957430813,"B=10,000",spans zero,unresolved
