outer_lake,plsr_n_components,xgb_params,mlp_params
Lake Erie,8,"{'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [64], 'alpha': 0.001}"
Lake Kasumigaura,20,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [128, 64], 'alpha': 0.001}"
Taihu,16,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [64, 32], 'alpha': 0.001}"
High Rock Lake,16,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [128, 64], 'alpha': 0.001}"
Eagle Creek Reservoir,16,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [64, 32], 'alpha': 0.001}"
Lake Peipsi,16,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [128, 64], 'alpha': 0.001}"
Dianchi,20,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [64], 'alpha': 0.001}"
Geist Reservoir,16,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [64, 64], 'alpha': 0.001}"
Morse Reservoir,16,"{'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [64, 32], 'alpha': 0.001}"
Lake Winnipeg,16,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [32], 'alpha': 0.001}"
Branched Oak Lake,16,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [128, 64], 'alpha': 0.001}"
Lake Hume,16,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [32], 'alpha': 0.001}"
Garda,16,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [32], 'alpha': 0.001}"
Erhai,16,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [64], 'alpha': 0.001}"
Lake Łebsko,20,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [64, 64], 'alpha': 0.001}"
Mantova,16,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [128, 64], 'alpha': 0.001}"
Ibitinga Reservoir,16,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [128, 64], 'alpha': 0.001}"
Lake Kummerow,16,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [64], 'alpha': 0.001}"
Lake Jasień Południowy,16,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [64, 64], 'alpha': 0.001}"
Lake Jeleń,16,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [64], 'alpha': 0.001}"
Lake Chotkowskie,16,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [64, 32], 'alpha': 0.001}"
Chaohu,16,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [64, 64], 'alpha': 0.001}"
Lake Geneva,16,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [32], 'alpha': 0.001}"
Lake Obłęże,16,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}","{'hidden_layer_sizes': [32], 'alpha': 0.001}"
