learner,k,estimand,contrast,query_scope,delta_definition,positive_means,mean_delta_mae,median_delta_mae,ci_lo,ci_hi,classification,n_lakes,n_method_better,n_random_better,multiplicity_adjusted,B_random_median,B_weighted_median,M_random_median,M_weighted_median,rer_random_median,rer_weighted_median
PLSR,1,own_pool,weighted_vs_random,own_remaining_pool,MAE_random - MAE_method,method_better_than_random,-0.053153,-0.014966,-0.100526,-0.013571,random_better,24,9,14,False,0.251216,0.272829,0.221933,0.251057,0.086154,0.119965
PLSR,3,own_pool,weighted_vs_random,own_remaining_pool,MAE_random - MAE_method,method_better_than_random,-0.025915,0.00586,-0.061708,0.000566,unresolved,24,14,10,False,0.238809,0.230166,0.205566,0.203867,0.088259,0.157158
PLSR,5,own_pool,weighted_vs_random,own_remaining_pool,MAE_random - MAE_method,method_better_than_random,-0.00381,0.008886,-0.020124,0.010776,unresolved,24,13,11,False,0.23076,0.243263,0.190511,0.17662,0.102561,0.141558
PLSR,10,own_pool,weighted_vs_random,own_remaining_pool,MAE_random - MAE_method,method_better_than_random,0.003174,0.002571,-0.013487,0.018709,unresolved,24,13,11,False,0.228842,0.21514,0.173433,0.152898,0.199003,0.175719
XGBoost,1,own_pool,weighted_vs_random,own_remaining_pool,MAE_random - MAE_method,method_better_than_random,-0.052143,-0.018302,-0.091991,-0.017362,random_better,24,8,15,False,0.255894,0.272829,0.17202,0.191119,0.284989,0.21869
XGBoost,3,own_pool,weighted_vs_random,own_remaining_pool,MAE_random - MAE_method,method_better_than_random,-0.01957,0.00501,-0.051058,0.005426,unresolved,24,13,11,False,0.23735,0.230166,0.164181,0.175685,0.302954,0.328474
XGBoost,5,own_pool,weighted_vs_random,own_remaining_pool,MAE_random - MAE_method,method_better_than_random,-0.005151,0.005662,-0.021663,0.009609,unresolved,24,15,9,False,0.229546,0.243263,0.181673,0.174978,0.213938,0.313147
XGBoost,10,own_pool,weighted_vs_random,own_remaining_pool,MAE_random - MAE_method,method_better_than_random,0.002272,0.005878,-0.012847,0.017689,unresolved,24,14,10,False,0.23025,0.21514,0.156371,0.147233,0.236398,0.188214
MLP,1,own_pool,weighted_vs_random,own_remaining_pool,MAE_random - MAE_method,method_better_than_random,-0.03654,-0.012991,-0.070132,-0.007126,random_better,24,11,13,False,0.265025,0.272829,0.191347,0.195673,0.22466,0.312608
MLP,3,own_pool,weighted_vs_random,own_remaining_pool,MAE_random - MAE_method,method_better_than_random,-0.015675,0.002848,-0.044907,0.007809,unresolved,24,14,10,False,0.23562,0.230166,0.170881,0.156024,0.217406,0.289811
MLP,5,own_pool,weighted_vs_random,own_remaining_pool,MAE_random - MAE_method,method_better_than_random,-0.002165,0.002783,-0.018974,0.012775,unresolved,24,13,11,False,0.231661,0.243263,0.176829,0.152628,0.246408,0.27317
MLP,10,own_pool,weighted_vs_random,own_remaining_pool,MAE_random - MAE_method,method_better_than_random,0.004389,0.006808,-0.009911,0.018701,unresolved,24,17,7,False,0.226645,0.21514,0.14873,0.144462,0.281155,0.242522
