lake,learner,k,estimand,method,mae_log_median,rer_log_median,label_mae_log_median,delta_mae_median_manuscript,mae_method_median,mae_random_median,query_size_median,n_usable_repeats
Branched Oak Lake,MLP,1,own_pool,farthest_point_kennard_stone,0.1479016335477832,-0.0632883346076695,0.1390983311873466,,,,,
Branched Oak Lake,MLP,1,own_pool,proposed_weighted_d_optimal,0.1142739917800762,0.3031005034241053,0.1639748563064666,,,,,
Branched Oak Lake,MLP,1,own_pool,repeated_random,0.09188055009265761,0.3152662125214196,0.137502755446867,,,,,
Branched Oak Lake,MLP,1,own_pool,unweighted_d_optimal,0.3186000098806877,0.1580603951067352,0.3784119545031755,,,,,
Branched Oak Lake,MLP,3,own_pool,farthest_point_kennard_stone,0.0659022461117534,0.3852912652703383,0.1072089043824125,,,,,
Branched Oak Lake,MLP,3,own_pool,proposed_weighted_d_optimal,0.090835660214024,0.4443137031651352,0.1634657272899336,,,,,
Branched Oak Lake,MLP,3,own_pool,repeated_random,0.08581967395063195,0.3244686299498716,0.12399493054975194,,,,,
Branched Oak Lake,MLP,3,own_pool,unweighted_d_optimal,0.0941167482313667,0.3105606304863375,0.1365120059844623,,,,,
Branched Oak Lake,MLP,5,own_pool,farthest_point_kennard_stone,0.0860763302465819,0.2221966830782794,0.1106659364853436,,,,,
Branched Oak Lake,MLP,5,own_pool,proposed_weighted_d_optimal,0.0932316025779688,0.4507761559038633,0.1697515650274846,,,,,
Branched Oak Lake,MLP,5,own_pool,repeated_random,0.07789440791648165,0.3873609038187315,0.1216898830070364,,,,,
Branched Oak Lake,MLP,5,own_pool,unweighted_d_optimal,0.0764739046422927,0.4090925412690011,0.1294177414809578,,,,,
Branched Oak Lake,MLP,10,own_pool,farthest_point_kennard_stone,0.0516848348915365,0.465131993054466,0.0966310171326429,,,,,
Branched Oak Lake,MLP,10,own_pool,proposed_weighted_d_optimal,0.0649188155178362,0.3540713782023083,0.1005046329699305,,,,,
Branched Oak Lake,MLP,10,own_pool,repeated_random,0.06881702380269974,0.42577201096542916,0.11951003775983275,,,,,
Branched Oak Lake,MLP,10,own_pool,unweighted_d_optimal,0.0630751723474622,0.2718946899123544,0.0866291924980144,,,,,
Branched Oak Lake,PLSR,1,own_pool,farthest_point_kennard_stone,0.2559557720534802,-0.8401066459070308,0.1390983311873466,,,,,
Branched Oak Lake,PLSR,1,own_pool,proposed_weighted_d_optimal,0.1452980453140268,0.1139004495819082,0.1639748563064666,,,,,
Branched Oak Lake,PLSR,1,own_pool,repeated_random,0.1242733065320692,0.06477910384789755,0.13239202132884303,,,,,
Branched Oak Lake,PLSR,1,own_pool,unweighted_d_optimal,0.4978865927520396,-0.3157263761618232,0.3784119545031755,,,,,
Branched Oak Lake,PLSR,3,own_pool,farthest_point_kennard_stone,0.0996629122230954,0.0703858648582211,0.1072089043824125,,,,,
Branched Oak Lake,PLSR,3,own_pool,proposed_weighted_d_optimal,0.1284393744751355,0.2142733602496349,0.1634657272899336,,,,,
Branched Oak Lake,PLSR,3,own_pool,repeated_random,0.11563660950008664,0.0746816738109023,0.12538808979315447,,,,,
Branched Oak Lake,PLSR,3,own_pool,unweighted_d_optimal,0.1000940592183317,0.2667746608494565,0.1365120059844623,,,,,
Branched Oak Lake,PLSR,5,own_pool,farthest_point_kennard_stone,0.1603472417081262,-0.4489303783197869,0.1106659364853436,,,,,
Branched Oak Lake,PLSR,5,own_pool,proposed_weighted_d_optimal,0.156359203473994,0.0788938868539057,0.1697515650274846,,,,,
Branched Oak Lake,PLSR,5,own_pool,repeated_random,0.1195226080892387,0.043447087098074946,0.12152700243333835,,,,,
Branched Oak Lake,PLSR,5,own_pool,unweighted_d_optimal,0.121066730193321,0.0645275566301695,0.1294177414809578,,,,,
Branched Oak Lake,PLSR,10,own_pool,farthest_point_kennard_stone,0.0704493121263947,0.2709451175584554,0.0966310171326429,,,,,
Branched Oak Lake,PLSR,10,own_pool,proposed_weighted_d_optimal,0.0801294378193103,0.2027288943926319,0.1005046329699305,,,,,
Branched Oak Lake,PLSR,10,own_pool,repeated_random,0.09362090012664426,0.20304179351426166,0.11987574868527631,,,,,
Branched Oak Lake,PLSR,10,own_pool,unweighted_d_optimal,0.0752048467972344,0.1318763808433065,0.0866291924980144,,,,,
Branched Oak Lake,XGBoost,1,own_pool,farthest_point_kennard_stone,0.0863074116010739,0.3795222799614155,0.1390983311873466,,,,,
Branched Oak Lake,XGBoost,1,own_pool,proposed_weighted_d_optimal,0.1589783820294269,0.0304709763733019,0.1639748563064666,,,,,
Branched Oak Lake,XGBoost,1,own_pool,repeated_random,0.10107258390009324,0.2743489939955662,0.1335607920282562,,,,,
Branched Oak Lake,XGBoost,1,own_pool,unweighted_d_optimal,0.3776368487291465,0.0020483120163674,0.3784119545031755,,,,,
Branched Oak Lake,XGBoost,3,own_pool,farthest_point_kennard_stone,0.0963717489218291,0.1010844622670783,0.1072089043824125,,,,,
Branched Oak Lake,XGBoost,3,own_pool,proposed_weighted_d_optimal,0.0807648685976914,0.505921669356059,0.1634657272899336,,,,,
Branched Oak Lake,XGBoost,3,own_pool,repeated_random,0.08689367384500435,0.30475273556979154,0.12389004876867785,,,,,
Branched Oak Lake,XGBoost,3,own_pool,unweighted_d_optimal,0.0820718136980264,0.3987941419943,0.1365120059844623,,,,,
Branched Oak Lake,XGBoost,5,own_pool,farthest_point_kennard_stone,0.1484170268237015,-0.3411265302227146,0.1106659364853436,,,,,
Branched Oak Lake,XGBoost,5,own_pool,proposed_weighted_d_optimal,0.0972614681981707,0.4270363725201193,0.1697515650274846,,,,,
Branched Oak Lake,XGBoost,5,own_pool,repeated_random,0.0985136735597758,0.18407924602994358,0.1202603009342714,,,,,
Branched Oak Lake,XGBoost,5,own_pool,unweighted_d_optimal,0.0828019522634633,0.360196253481914,0.1294177414809578,,,,,
Branched Oak Lake,XGBoost,10,own_pool,farthest_point_kennard_stone,0.0795393287644537,0.176875780744086,0.0966310171326429,,,,,
Branched Oak Lake,XGBoost,10,own_pool,proposed_weighted_d_optimal,0.085907551816553,0.145237878788791,0.1005046329699305,,,,,
Branched Oak Lake,XGBoost,10,own_pool,repeated_random,0.0947656856171032,0.20785471199836694,0.11958571180680885,,,,,
Branched Oak Lake,XGBoost,10,own_pool,unweighted_d_optimal,0.08355733712232,0.0354598136323007,0.0866291924980144,,,,,
Chaohu,MLP,1,own_pool,farthest_point_kennard_stone,0.3668113434679133,0.3038074257556852,0.5268820152299736,,,,,
Chaohu,MLP,1,own_pool,proposed_weighted_d_optimal,0.3439361462489955,0.2709968572102779,0.4717896656011688,,,,,
Chaohu,MLP,1,own_pool,repeated_random,0.2320412124682009,0.3659536618441714,0.314329505228098,,,,,
Chaohu,MLP,1,own_pool,unweighted_d_optimal,0.3048771950509753,0.5642398836841253,0.6996445734202397,,,,,
Chaohu,MLP,3,own_pool,farthest_point_kennard_stone,0.1373068606888388,0.4077864706014024,0.2318536439147901,,,,,
Chaohu,MLP,3,own_pool,proposed_weighted_d_optimal,0.3373480953444496,0.3114168681200736,0.4899162974521489,,,,,
Chaohu,MLP,3,own_pool,repeated_random,0.1792650436632755,0.3932004336311214,0.2843444994791947,,,,,
Chaohu,MLP,3,own_pool,unweighted_d_optimal,0.1373068606888388,0.4077864706014024,0.2318536439147901,,,,,
Chaohu,MLP,5,own_pool,farthest_point_kennard_stone,0.2014003196419447,0.1709914193132669,0.2429411782264342,,,,,
Chaohu,MLP,5,own_pool,proposed_weighted_d_optimal,0.2192188916768166,0.3460997382364366,0.3352482143784169,,,,,
Chaohu,MLP,5,own_pool,repeated_random,0.19677723990917356,0.32260591818381945,0.28643142882136685,,,,,
Chaohu,MLP,5,own_pool,unweighted_d_optimal,0.1793228700102944,0.1087119487698001,0.2011951925641812,,,,,
Chaohu,MLP,10,own_pool,farthest_point_kennard_stone,0.1790916780762164,0.2470816576323231,0.2378633517996778,,,,,
Chaohu,MLP,10,own_pool,proposed_weighted_d_optimal,0.1514229963421282,0.3263251139070082,0.2247716260933577,,,,,
