lake,learner,k,variant,mae_log_median,rer_log_median,spearman_median,source_spearman_median,delta_spearman_median,delta_spearman_mean,delta_r2_log_median,delta_r2_log_mean
Branched Oak Lake,MLP,5,affine_only,0.081303958442859,0.3435079842805252,0.7492468632963261,0.7492468632963261,0.0,0.0,0.0004472906420353029,-0.000125718293625261
Branched Oak Lake,MLP,5,full,0.07462811714849629,0.417484097006778,0.7595096254997564,0.7492468632963261,0.028238104423280286,-0.0005832932121531726,0.10910195779701409,0.023987779600888177
Branched Oak Lake,MLP,5,full_minus_affine,0.07471314146777874,0.41648381044852045,0.7595096254997564,0.7492468632963261,0.027955870448544085,-0.0014520255862101588,0.10876671857579379,0.023126493928019142
Branched Oak Lake,MLP,5,full_minus_repr0,0.081303958442859,0.3435079842805252,0.7492468632963261,0.7492468632963261,0.0,0.0,0.0004472906420353029,-0.000125718293625261
Branched Oak Lake,MLP,5,intercept_only,0.08133887100361385,0.34352838973438016,0.7492468632963261,0.7492468632963261,0.0,0.0,0.0,9.992007221626408e-18
Branched Oak Lake,MLP,5,repr_only,0.07471314146777874,0.41648381044852045,0.7595096254997564,0.7492468632963261,0.027955870448544085,-0.0014520255862101588,0.10876671857579379,0.023126493928019142
Branched Oak Lake,MLP,5,source_only,0.09204461331029282,0.2554610504220385,0.7492468632963261,0.7492468632963261,0.0,0.0,0.0,0.0
Branched Oak Lake,MLP,10,affine_only,0.07877127246017887,0.3346981819905857,0.7427937232007096,0.7427937232007096,0.0,0.0,0.0005198462998116105,-0.0007547045733009106
Branched Oak Lake,MLP,10,full,0.0680642680430304,0.4159942823631083,0.769676288455456,0.7427937232007096,0.03094041383356838,0.015454564582674545,0.10254453390581914,0.0718723190396103
Branched Oak Lake,MLP,10,full_minus_affine,0.06785576639978087,0.41701033731649717,0.7692310027809085,0.7427937232007096,0.03016315848464035,0.015919735682435206,0.1031844478728065,0.07270636436585756
Branched Oak Lake,MLP,10,full_minus_repr0,0.08084771728549497,0.3202408501803672,0.7421798980521442,0.7427937232007096,-0.0010018927677320488,-0.004074238346231798,-0.011333396620577862,-0.03082701931980231
Branched Oak Lake,MLP,10,full_minus_repr1,0.06862926579535515,0.41157769364320496,0.761549824894963,0.7427937232007096,0.02760303753877319,0.012294183575505307,0.10346158809517692,0.07536922788407859
Branched Oak Lake,MLP,10,intercept_only,0.07849819919380502,0.33257935670749944,0.7427937232007096,0.7427937232007096,0.0,0.0,0.0,-1.3322676295501878e-17
Branched Oak Lake,MLP,10,repr_only,0.06785576639978087,0.41701033731649717,0.7692310027809085,0.7427937232007096,0.03016315848464035,0.015919735682435206,0.1031844478728065,0.07270636436585756
Branched Oak Lake,MLP,10,source_only,0.09096444327134967,0.2256529213775323,0.7427937232007096,0.7427937232007096,0.0,0.0,0.0,0.0
Branched Oak Lake,PLSR,5,affine_only,0.1147194388726675,0.06497816608123375,0.29483278607478813,0.29483278607478813,0.0,0.0,0.0005882255403650838,0.0008773375445826015
Branched Oak Lake,PLSR,5,full,0.12083722851012899,0.03014834870149119,0.27351386847807,0.29483278607478813,-0.007917906727658353,-0.07102658569339901,-0.025664633562223926,-0.207859792422033
Branched Oak Lake,PLSR,5,full_minus_affine,0.12083353209552228,0.030215301603357766,0.27351386847807,0.29483278607478813,-0.006515461299632819,-0.0706062166073122,-0.02565748498332482,-0.20764680912859432
Branched Oak Lake,PLSR,5,full_minus_repr0,0.1147194388726675,0.06497816608123375,0.29483278607478813,0.29483278607478813,0.0,0.0,0.0005882255403650838,0.0008773375445826015
Branched Oak Lake,PLSR,5,intercept_only,0.11488795660878985,0.06472722782325596,0.29483278607478813,0.29483278607478813,0.0,0.0,0.0,1.6653345369377347e-17
Branched Oak Lake,PLSR,5,repr_only,0.12083353209552228,0.030215301603357766,0.27351386847807,0.29483278607478813,-0.006515461299632819,-0.0706062166073122,-0.02565748498332482,-0.20764680912859432
Branched Oak Lake,PLSR,5,source_only,0.4256834843816476,-2.4525596310899593,0.29483278607478813,0.29483278607478813,0.0,0.0,0.0,0.0
Branched Oak Lake,PLSR,10,affine_only,0.10950161107681194,0.07290540918744842,0.3129657792526546,0.3129657792526546,0.0,0.0,0.0053351672819155205,0.0029579551389952163
Branched Oak Lake,PLSR,10,full,0.09161307192423855,0.21712715724333911,0.5991318751037409,0.3129657792526546,0.25847401202095394,0.22614292320323454,0.3360120445183421,0.27622260869468396
Branched Oak Lake,PLSR,10,full_minus_affine,0.09156275958802156,0.21727614682368057,0.5991318751037409,0.3129657792526546,0.2609230832309656,0.22585355322002962,0.3344807284277398,0.2754771698729218
Branched Oak Lake,PLSR,10,full_minus_repr0,0.09842059111105572,0.17139527670065677,0.5096247297501086,0.3129657792526546,0.19572723792593466,0.18619051153984592,0.2103853925534931,0.1834778995881753
Branched Oak Lake,PLSR,10,full_minus_repr1,0.11443509681177048,0.038338467538039656,0.23864646591064478,0.3129657792526546,-0.005787424379689418,-0.10657865002112593,0.01914782809105564,-0.08336187329351602
Branched Oak Lake,PLSR,10,intercept_only,0.10956060101914375,0.07636507471357672,0.3129657792526546,0.3129657792526546,0.0,0.0,0.0,-3.3306690738754695e-17
Branched Oak Lake,PLSR,10,repr_only,0.09156275958802156,0.21727614682368057,0.5991318751037409,0.3129657792526546,0.2609230832309656,0.22585355322002962,0.3344807284277398,0.2754771698729218
Branched Oak Lake,PLSR,10,source_only,0.4260406354188748,-2.6266195555406324,0.3129657792526546,0.3129657792526546,0.0,0.0,0.0,0.0
Branched Oak Lake,XGBoost,5,affine_only,0.0877524574146093,0.3063923420828433,0.651019504759578,0.651019504759578,0.0,0.0,0.004570411164706523,0.0035920326859480876
Branched Oak Lake,XGBoost,5,full,0.09471550767248327,0.25490958981356204,0.6037762825720219,0.651019504759578,-0.030759519470594965,-0.057194221409403986,-0.06878566219237053,-0.1774745751087425
Branched Oak Lake,XGBoost,5,full_minus_affine,0.09494827029865839,0.24986285256570373,0.6059907021659225,0.651019504759578,-0.030968655242051224,-0.05714939338208953,-0.07029560546068842,-0.180187161262787
Branched Oak Lake,XGBoost,5,full_minus_repr0,0.0877524574146093,0.3063923420828433,0.651019504759578,0.651019504759578,0.0,0.0,0.004570411164706523,0.0035920326859480876
Branched Oak Lake,XGBoost,5,intercept_only,0.08758898323873908,0.30385826542769373,0.651019504759578,0.651019504759578,0.0,0.0,0.0,1.2162437612595056e-10
Branched Oak Lake,XGBoost,5,repr_only,0.09494827029865839,0.24986285256570373,0.6059907021659225,0.651019504759578,-0.030968655242051224,-0.05714939338208953,-0.07029560546068842,-0.180187161262787
Branched Oak Lake,XGBoost,5,source_only,0.10618614146638511,0.14991057305808633,0.651019504759578,0.651019504759578,0.0,0.0,0.0,0.0
Branched Oak Lake,XGBoost,10,affine_only,0.08531931454427674,0.2990130521018666,0.649710790795756,0.649710790795756,0.0,0.0,0.009509713193380731,0.006781350139399128
Branched Oak Lake,XGBoost,10,full,0.09577542687416121,0.2009635938101919,0.6211808250539061,0.649710790795756,-0.017252836212673484,-0.047922216604119085,-0.07099860877371894,-0.14714575996218987
Branched Oak Lake,XGBoost,10,full_minus_affine,0.09632646772424444,0.19566218655545434,0.6169089167562266,0.649710790795756,-0.016920855632807263,-0.048914986025091034,-0.07588974398273057,-0.15364140809952517
Branched Oak Lake,XGBoost,10,full_minus_repr0,0.08767524212037409,0.2575068502179457,0.6376940577830033,0.649710790795756,-0.004118223110713692,-0.008133975365025463,-0.002270642421617508,-0.026326362626606734
Branched Oak Lake,XGBoost,10,full_minus_repr1,0.09082324290469077,0.21202115601308524,0.6076795959585614,0.649710790795756,-0.019699542694883887,-0.045463469521457564,-0.022788024834329457,-0.09337628222040475
Branched Oak Lake,XGBoost,10,intercept_only,0.08477133088804364,0.29694843607732657,0.649710790795756,0.649710790795756,0.0,0.0,0.0,1.97212439823069e-09
Branched Oak Lake,XGBoost,10,repr_only,0.09632646772424444,0.19566218655545434,0.6169089167562266,0.649710790795756,-0.016920855632807263,-0.048914986025091034,-0.07588974398273057,-0.15364140809952517
Branched Oak Lake,XGBoost,10,source_only,0.10563942579240822,0.11507082978851485,0.649710790795756,0.649710790795756,0.0,0.0,0.0,0.0
Chaohu,MLP,5,affine_only,0.1767705387002293,0.390513050246319,0.7808499050077218,0.7808499050077218,0.0,0.0,0.01551634425461279,0.011429532767300264
Chaohu,MLP,5,full,0.19877659736109504,0.32704452118093574,0.7005930186586556,0.7808499050077218,-0.06924354929210325,-0.09242169534661525,-0.06002850855891789,-0.18161909067443474
Chaohu,MLP,5,full_minus_affine,0.1993734778189499,0.3160776534082451,0.6998134182019303,0.7808499050077218,-0.07071522003636638,-0.10028566562954797,-0.06289139565796559,-0.19146898225008666
Chaohu,MLP,5,full_minus_repr0,0.1767705387002293,0.390513050246319,0.7808499050077218,0.7808499050077218,0.0,0.0,0.01551634425461279,0.011429532767300264
Chaohu,MLP,5,intercept_only,0.17733939886006256,0.3859973017675803,0.7808499050077218,0.7808499050077218,0.0,0.0,0.0,4.440892098500626e-18
Chaohu,MLP,5,repr_only,0.1993734778189499,0.3160776534082451,0.6998134182019303,0.7808499050077218,-0.07071522003636638,-0.10028566562954797,-0.06289139565796559,-0.19146898225008666
Chaohu,MLP,5,source_only,0.16295045614385303,0.4080097505836322,0.7808499050077218,0.7808499050077218,0.0,0.0,0.0,0.0
Chaohu,MLP,10,affine_only,0.16993458425736496,0.3878732362933943,0.7699336604071668,0.7699336604071668,0.0,0.0,0.025144117919879583,0.019631444886676327
