learner,k,variant,n_lakes,mean_delta_rho,median_delta_rho,mean_delta_r2_log,mae_log_median,rer_log_median
PLSR,5,source_only,24,0.0,0.0,0.0,0.2617,-0.2096
PLSR,5,intercept_only,24,0.0,0.0,-0.0,0.199,0.0892
PLSR,5,affine_only,24,0.0,0.0,0.2392,0.1877,0.0888
PLSR,5,repr_only,24,-0.1151,-0.0357,-0.3767,0.1963,0.1176
PLSR,5,full,24,-0.1125,-0.0339,-0.3477,0.1964,0.1195
PLSR,5,full_minus_affine,24,-0.1151,-0.0357,-0.3767,0.1963,0.1176
PLSR,5,full_minus_repr0,24,0.0,0.0,0.2392,0.1877,0.0888
PLSR,10,source_only,24,0.0,0.0,0.0,0.2609,-0.2398
PLSR,10,intercept_only,24,0.0,0.0,0.0,0.1911,0.0892
PLSR,10,affine_only,24,0.0,0.0,0.3775,0.1809,0.0996
PLSR,10,repr_only,24,-0.0038,0.0364,0.1409,0.1768,0.1781
PLSR,10,full,24,0.0013,0.0393,0.1902,0.175,0.1917
PLSR,10,full_minus_affine,24,-0.0038,0.0364,0.1409,0.1768,0.1781
PLSR,10,full_minus_repr0,24,0.0318,0.0443,0.2867,0.175,0.1671
PLSR,10,full_minus_repr1,24,-0.0543,-0.0117,0.3194,0.184,0.165
XGBoost,5,source_only,24,0.0,0.0,0.0,0.1771,0.1032
XGBoost,5,intercept_only,24,0.0,0.0,0.0,0.1627,0.3027
XGBoost,5,affine_only,24,0.0,0.0,0.0569,0.1614,0.3043
XGBoost,5,repr_only,24,-0.1012,-0.0265,-0.8228,0.181,0.2313
XGBoost,5,full,24,-0.0996,-0.021,-0.7529,0.1806,0.2362
XGBoost,5,full_minus_affine,24,-0.1012,-0.0265,-0.8228,0.181,0.2313
XGBoost,5,full_minus_repr0,24,0.0,0.0,0.0569,0.1614,0.3043
XGBoost,10,source_only,24,0.0,0.0,0.0,0.1791,0.0673
XGBoost,10,intercept_only,24,0.0,0.0,0.0,0.1582,0.2997
XGBoost,10,affine_only,24,0.0,0.0,0.1,0.1592,0.3002
XGBoost,10,repr_only,24,-0.016,-0.0035,-0.2189,0.1657,0.217
XGBoost,10,full,24,-0.0095,-0.0035,-0.1367,0.1578,0.2193
XGBoost,10,full_minus_affine,24,-0.016,-0.0035,-0.2189,0.1657,0.217
XGBoost,10,full_minus_repr0,24,0.0271,0.003,0.0468,0.1444,0.2772
XGBoost,10,full_minus_repr1,24,-0.0507,-0.0097,-0.033,0.1724,0.243
MLP,5,source_only,24,0.0,0.0,0.0,0.2116,0.0985
MLP,5,intercept_only,24,0.0,0.0,0.0,0.1669,0.2227
MLP,5,affine_only,24,0.0,0.0,0.2777,0.1666,0.2255
MLP,5,repr_only,24,-0.0755,-0.0177,-0.1477,0.1787,0.2442
MLP,5,full,24,-0.0746,-0.0174,-0.1242,0.1763,0.2573
MLP,5,full_minus_affine,24,-0.0755,-0.0177,-0.1477,0.1787,0.2442
MLP,5,full_minus_repr0,24,0.0,0.0,0.2777,0.1666,0.2255
MLP,10,source_only,24,0.0,0.0,0.0,0.2081,0.0901
MLP,10,intercept_only,24,0.0,0.0,-0.0,0.1652,0.2104
MLP,10,affine_only,24,0.0,0.0,0.4563,0.1606,0.2157
MLP,10,repr_only,24,-0.0087,0.0208,0.3773,0.1576,0.2751
MLP,10,full,24,-0.0039,0.0227,0.4058,0.1548,0.2845
MLP,10,full_minus_affine,24,-0.0087,0.0208,0.3773,0.1576,0.2751
MLP,10,full_minus_repr0,24,0.0369,0.0267,0.4373,0.1632,0.3099
MLP,10,full_minus_repr1,24,-0.028,-0.012,0.4805,0.1649,0.2738
