lake,learner,k,variant,delta_spearman_lake,delta_r2_log_lake,mae_log_lake,rer_log_lake,delta_spearman_lake_altmean,delta_r2_log_lake_altmean
Branched Oak Lake,MLP,5,affine_only,0.0,0.00044729064203525,0.08130395844285895,0.3435079842805252,0.0,-0.00012571829362526953
Branched Oak Lake,MLP,5,full,0.02823810442328025,0.10910195779701405,0.07462811714849624,0.417484097006778,-0.0005832932121531935,0.02398777960088816
Branched Oak Lake,MLP,5,full_minus_affine,0.02795587044854405,0.10876671857579376,0.07471314146777869,0.41648381044852045,-0.0014520255862101755,0.023126493928019114
Branched Oak Lake,MLP,5,full_minus_repr0,0.0,0.00044729064203525,0.08130395844285895,0.3435079842805252,0.0,-0.00012571829362526953
Branched Oak Lake,MLP,5,intercept_only,0.0,0.0,0.08133887100361385,0.34352838973438016,0.0,9.992007221626407e-18
Branched Oak Lake,MLP,5,repr_only,0.02795587044854405,0.10876671857579376,0.07471314146777869,0.41648381044852045,-0.0014520255862101755,0.023126493928019114
Branched Oak Lake,MLP,5,source_only,0.0,0.0,0.09204461331029279,0.2554610504220385,0.0,0.0
Branched Oak Lake,MLP,10,affine_only,0.0,0.00051984629981155,0.0787712724601788,0.33469818199058565,0.0,-0.0007547045733009221
Branched Oak Lake,MLP,10,full,0.030940413833568353,0.10254453390581911,0.06806426804303034,0.4159942823631083,0.01545456458267453,0.07187231903961028
Branched Oak Lake,MLP,10,full_minus_affine,0.030163158484640303,0.1031844478728065,0.0678557663997808,0.41701033731649717,0.015919735682435196,0.07270636436585755
Branched Oak Lake,MLP,10,full_minus_repr0,-0.0010018927677319998,-0.0113333966205778,0.08084771728549495,0.3202408501803672,-0.004074238346231792,-0.030827019319802293
Branched Oak Lake,MLP,10,full_minus_repr1,0.02760303753877315,0.1034615880951769,0.0686292657953551,0.41157769364320496,0.012294183575505291,0.07536922788407856
Branched Oak Lake,MLP,10,intercept_only,0.0,0.0,0.07849819919380495,0.3325793567074994,0.0,-1.3322676295501878e-17
Branched Oak Lake,MLP,10,repr_only,0.030163158484640303,0.1031844478728065,0.0678557663997808,0.41701033731649717,0.015919735682435196,0.07270636436585755
Branched Oak Lake,MLP,10,source_only,0.0,0.0,0.0909644432713496,0.22565292137753223,0.0,0.0
Branched Oak Lake,PLSR,5,affine_only,0.0,0.0005882255403650001,0.11471943887266745,0.06497816608123369,0.0,0.0008773375445825992
