learner,k,variant,n_lakes,aggregation,across_lake_mean_delta_rho,across_lake_mean_delta_rho_ci,note
PLSR,5,source_only,24,mean_over_repeats,0.0,"(0.0, 0.0)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
PLSR,5,intercept_only,24,mean_over_repeats,0.0,"(0.0, 0.0)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
PLSR,5,affine_only,24,mean_over_repeats,0.0,"(0.0, 0.0)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
PLSR,5,repr_only,24,mean_over_repeats,-0.1151,"(-0.17, -0.0523)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
PLSR,5,full,24,mean_over_repeats,-0.1125,"(-0.1677, -0.0496)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
PLSR,5,full_minus_affine,24,mean_over_repeats,-0.1151,"(-0.17, -0.0523)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
PLSR,5,full_minus_repr0,24,mean_over_repeats,0.0,"(0.0, 0.0)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
PLSR,10,source_only,24,mean_over_repeats,0.0,"(0.0, 0.0)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
PLSR,10,intercept_only,24,mean_over_repeats,0.0,"(0.0, 0.0)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
PLSR,10,affine_only,24,mean_over_repeats,0.0,"(0.0, 0.0)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
PLSR,10,repr_only,24,mean_over_repeats,-0.0038,"(-0.0721, 0.0566)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
PLSR,10,full,24,mean_over_repeats,0.0013,"(-0.0669, 0.0614)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
PLSR,10,full_minus_affine,24,mean_over_repeats,-0.0038,"(-0.0721, 0.0566)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
PLSR,10,full_minus_repr0,24,mean_over_repeats,0.0318,"(-0.0161, 0.0824)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
PLSR,10,full_minus_repr1,24,mean_over_repeats,-0.0543,"(-0.1087, 0.0052)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
XGBoost,5,source_only,24,mean_over_repeats,0.0,"(0.0, 0.0)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
XGBoost,5,intercept_only,24,mean_over_repeats,0.0,"(0.0, 0.0)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
XGBoost,5,affine_only,24,mean_over_repeats,0.0,"(0.0, 0.0)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
XGBoost,5,repr_only,24,mean_over_repeats,-0.1012,"(-0.1314, -0.0721)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
XGBoost,5,full,24,mean_over_repeats,-0.0996,"(-0.1298, -0.0705)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
XGBoost,5,full_minus_affine,24,mean_over_repeats,-0.1012,"(-0.1314, -0.0721)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
XGBoost,5,full_minus_repr0,24,mean_over_repeats,0.0,"(0.0, 0.0)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
XGBoost,10,source_only,24,mean_over_repeats,0.0,"(0.0, 0.0)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
XGBoost,10,intercept_only,24,mean_over_repeats,0.0,"(0.0, 0.0)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
XGBoost,10,affine_only,24,mean_over_repeats,0.0,"(0.0, 0.0)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
XGBoost,10,repr_only,24,mean_over_repeats,-0.016,"(-0.0547, 0.0247)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
XGBoost,10,full,24,mean_over_repeats,-0.0095,"(-0.0486, 0.0325)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
XGBoost,10,full_minus_affine,24,mean_over_repeats,-0.016,"(-0.0547, 0.0247)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
XGBoost,10,full_minus_repr0,24,mean_over_repeats,0.0271,"(-0.0167, 0.0772)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
XGBoost,10,full_minus_repr1,24,mean_over_repeats,-0.0507,"(-0.0692, -0.0331)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
MLP,5,source_only,24,mean_over_repeats,0.0,"(0.0, 0.0)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
MLP,5,intercept_only,24,mean_over_repeats,0.0,"(0.0, 0.0)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
MLP,5,affine_only,24,mean_over_repeats,0.0,"(0.0, 0.0)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
MLP,5,repr_only,24,mean_over_repeats,-0.0755,"(-0.1215, -0.0251)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
MLP,5,full,24,mean_over_repeats,-0.0746,"(-0.1208, -0.0236)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
MLP,5,full_minus_affine,24,mean_over_repeats,-0.0755,"(-0.1215, -0.0251)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
MLP,5,full_minus_repr0,24,mean_over_repeats,0.0,"(0.0, 0.0)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
MLP,10,source_only,24,mean_over_repeats,0.0,"(0.0, 0.0)",ALTERNATIVE aggregation; do NOT use for Phase 0 CI classification
