learner,k,variant,n_lakes,mean_delta_rho,mean_delta_rho_ci,median_delta_rho,median_delta_rho_ci,mean_delta_r2_log,mean_delta_r2_log_ci,mae_log_lake_median,rer_log_lake_median
PLSR,5,source_only,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.2617,-0.2096
PLSR,5,intercept_only,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.199,0.0892
PLSR,5,affine_only,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.2587,"(0.0413, 0.581)",0.1877,0.0888
PLSR,5,repr_only,24,-0.0307,"(-0.0795, 0.0303)",-0.0357,"(-0.0625, -0.0087)",0.3343,"(0.0307, 0.7482)",0.1963,0.1176
PLSR,5,full,24,-0.029,"(-0.0777, 0.0324)",-0.0339,"(-0.0613, -0.0079)",0.3665,"(0.037, 0.8332)",0.1964,0.1195
PLSR,5,full_minus_affine,24,-0.0307,"(-0.0795, 0.0303)",-0.0357,"(-0.0625, -0.0087)",0.3343,"(0.0307, 0.7482)",0.1963,0.1176
PLSR,5,full_minus_repr0,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.2587,"(0.0413, 0.581)",0.1877,0.0888
PLSR,10,source_only,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.2609,-0.2398
PLSR,10,intercept_only,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.1911,0.0892
PLSR,10,affine_only,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.4004,"(0.0747, 0.907)",0.1809,0.0996
PLSR,10,repr_only,24,0.0353,"(-0.0334, 0.0952)",0.0364,"(-0.005, 0.1096)",0.3824,"(0.0834, 0.8103)",0.1768,0.1781
PLSR,10,full,24,0.0389,"(-0.03, 0.0987)",0.0393,"(-0.0045, 0.1121)",0.4288,"(0.0904, 0.9371)",0.175,0.1917
PLSR,10,full_minus_affine,24,0.0353,"(-0.0334, 0.0952)",0.0364,"(-0.005, 0.1096)",0.3824,"(0.0834, 0.8103)",0.1768,0.1781
PLSR,10,full_minus_repr0,24,0.0689,"(0.0291, 0.1165)",0.0443,"(0.0, 0.1057)",0.4028,"(0.0924, 0.8617)",0.175,0.1671
PLSR,10,full_minus_repr1,24,-0.0119,"(-0.0568, 0.0433)",-0.0117,"(-0.0324, 0.0)",0.478,"(0.0955, 1.0561)",0.184,0.165
XGBoost,5,source_only,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.1771,0.1032
XGBoost,5,intercept_only,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.1627,0.3027
XGBoost,5,affine_only,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.0592,"(0.0096, 0.1467)",0.1614,0.3043
