lake,learner,k,rep,method,mae_log,mae_orig,rer_log,demeaned_spearman,anomaly_r2
Lake Erie,PLSR,0,0,source_only,0.3504768844752889,349.0965960752518,,0.7310627688327969,-102358.1691629412
Lake Erie,XGBoost,0,0,source_only,0.2554247538293229,8.964091586523432,,0.7840159118481286,-0.3901008329597644
Lake Erie,MLP,0,0,source_only,0.245653023027792,189.2269081761513,,0.8051405015429922,-58335.217701922746
Lake Erie,PLSR,1,0,calibrated,0.3635225421711171,361.7206056311725,-0.1283891029225365,0.7312099049526055,-104044.32533789812
Lake Erie,XGBoost,1,0,calibrated,0.2048259375668588,6.865755959700797,0.3642117501380434,0.7840208874559953,0.0932154379986173
Lake Erie,MLP,1,0,calibrated,0.2155947486672616,161.81527963209302,0.3307849131383796,0.8054044546383954,-42500.96050773666
Lake Erie,PLSR,3,0,calibrated,0.4409842499826785,14.277401997572255,0.1828953286682678,0.7303058757455254,-30.176222090111708
Lake Erie,XGBoost,3,0,calibrated,0.2640403089702275,7.288715189428871,0.5107567375330632,0.7827189810729313,0.3353112888650356
Lake Erie,MLP,3,0,calibrated,0.2303682517534663,101.83663773064474,0.5731480692469109,0.8038600998594133,-16048.985684148727
Lake Erie,PLSR,5,0,calibrated,0.3050207649423159,279.1903035904285,0.1277259675750906,0.7673035841296428,-95725.13451387608
Lake Erie,XGBoost,5,0,calibrated,0.1900947520661892,5.908820048309883,0.4563821933712984,0.8151083186931034,0.3291162726376747
Lake Erie,MLP,5,0,calibrated,0.2124837058731944,266.2456751931508,0.3923560527823343,0.7997727281267984,-97476.10807736444
Lake Erie,PLSR,10,0,calibrated,0.2700052440746077,228.3216017798108,0.1474941153794116,0.7846249904693234,-93003.32035724916
Lake Erie,XGBoost,10,0,calibrated,0.2708847446053151,584.6407340129773,0.1447172087576321,0.8509712300012889,-234139.142124146
Lake Erie,MLP,10,0,calibrated,0.2734695299384291,792.3193681996992,0.136556090876749,0.853844674704943,-379954.5926579942
Lake Erie,PLSR,0,1,source_only,0.3504768844752889,349.0965960752518,,0.7310627688327969,-102358.1691629412
Lake Erie,XGBoost,0,1,source_only,0.2554247538293229,8.964091586523432,,0.7840159118481286,-0.3901008329597644
Lake Erie,MLP,0,1,source_only,0.245653023027792,189.2269081761513,,0.8051405015429922,-58335.217701922746
Lake Erie,PLSR,1,1,calibrated,0.7132024037232038,85.82907224599687,-1.024825475196699,0.7338933986509296,-8540.410937691457
Lake Erie,XGBoost,1,1,calibrated,0.5208710464005738,9.827492527165983,-0.4787849339806364,0.7870822474667675,0.2488423393684159
Lake Erie,MLP,1,1,calibrated,0.3229265099546177,74.53558024196472,0.0831917676676651,0.8060753902595917,-7988.888889433319
Lake Erie,PLSR,3,1,calibrated,0.4387284811168547,94.61201452117328,0.2015128145731139,0.7291965384917358,-9317.538794788485
Lake Erie,XGBoost,3,1,calibrated,0.2542256217644262,7.147086957261742,0.5373085785831014,0.7835328899360804,0.3062241617245002
Lake Erie,MLP,3,1,calibrated,0.2319838700389564,174.88679601642772,0.5777886342298719,0.8032259630580447,-49266.40046389809
Lake Erie,PLSR,5,1,calibrated,0.2654720190703141,51.33575140503223,0.1702469155143508,0.7699782804501982,-2856.992077754791
Lake Erie,XGBoost,5,1,calibrated,0.2137292782162674,6.154514141397409,0.3319728004361677,0.7975829368591356,0.3078855342887938
Lake Erie,MLP,5,1,calibrated,0.2425221430904544,24.7458582564636,0.2419785041473962,0.6697688999615423,-557.7606569689787
Lake Erie,PLSR,10,1,calibrated,0.3018298619717904,707.530038613689,0.0534583921229423,0.7693350448447785,-301053.8748745474
Lake Erie,XGBoost,10,1,calibrated,0.241348842146273,352.54447135299387,0.243127497363261,0.8087542702341071,-116030.41950476015
Lake Erie,MLP,10,1,calibrated,0.2607299737284119,744.8237821549266,0.1823480677780107,0.8250456182719235,-338643.0666347149
Lake Erie,PLSR,0,2,source_only,0.3504768844752889,349.0965960752518,,0.7310627688327969,-102358.1691629412
Lake Erie,XGBoost,0,2,source_only,0.2554247538293229,8.964091586523432,,0.7840159118481286,-0.3901008329597644
Lake Erie,MLP,0,2,source_only,0.245653023027792,189.2269081761513,,0.8051405015429922,-58335.217701922746
Lake Erie,PLSR,1,2,calibrated,0.3316633799574955,315.47876017443497,0.0946439572512623,0.7303873754477743,-98226.7953901411
Lake Erie,XGBoost,1,2,calibrated,0.2175414701114845,6.675007989663969,0.4061675194459135,0.7836283852027145,0.3064728386939823
Lake Erie,MLP,1,2,calibrated,0.2055761009194548,118.65840224942012,0.4388299103812288,0.8045651320474395,-22425.59937976632
Lake Erie,PLSR,3,2,calibrated,0.2909488120418235,22.65770239056237,0.1147532609031754,0.7305078261121232,-165.5440145627467
Lake Erie,XGBoost,3,2,calibrated,0.2076887382882684,6.598558140561666,0.3680820362872554,0.7832903141845038,0.2605054280098811
Lake Erie,MLP,3,2,calibrated,0.2285189834655037,166.11782238141842,0.3047035132592973,0.8050126639454168,-46896.90786866983
Lake Erie,PLSR,5,2,calibrated,0.285283844880428,55.49619593335812,0.4533446777628856,0.7276390826857507,-3440.589747183689
Lake Erie,XGBoost,5,2,calibrated,0.2548591794016703,16.748474262610426,0.5116438244784179,0.7371885915361596,-18.36864106817126
Lake Erie,MLP,5,2,calibrated,0.2586511343582086,389.5262735627311,0.504377754831596,0.7771240892246145,-129295.28274582529
Lake Erie,PLSR,10,2,calibrated,0.2852118419265568,15.06197760706984,0.1156391274533028,0.4956434429051558,-99.68433912194912
Lake Erie,XGBoost,10,2,calibrated,0.2694336866456919,298.7874904629208,0.1645627015513246,0.7491079748899548,-103993.13453033932
Lake Erie,MLP,10,2,calibrated,0.1907673569911973,336.4438320643327,0.4084846264761322,0.844761864168444,-116885.42998083172
Lake Erie,PLSR,0,3,source_only,0.3504768844752889,349.0965960752518,,0.7310627688327969,-102358.1691629412
Lake Erie,XGBoost,0,3,source_only,0.2554247538293229,8.964091586523432,,0.7840159118481286,-0.3901008329597644
Lake Erie,MLP,0,3,source_only,0.245653023027792,189.2269081761513,,0.8051405015429922,-58335.217701922746
Lake Erie,PLSR,1,3,calibrated,0.4060410726038655,232.5148429896677,0.1227713857812167,0.7312097390949648,-71304.17195688093
Lake Erie,XGBoost,1,3,calibrated,0.2996542008057405,7.669247277024501,0.3526141581432174,0.7837304706186851,0.3291162869204619
