lake,learner,k,method,median_rer_log,median_mae_log,median_demeaned_spearman
Branched Oak Lake,MLP,0,source_only,,0.0911916537652532,0.7489090809087846
Branched Oak Lake,MLP,1,calibrated,0.31181562460690804,0.09630063486726459,0.7490128927056013
Branched Oak Lake,MLP,3,calibrated,0.34067348063668895,0.08281080639534935,0.7531651972534583
Branched Oak Lake,MLP,5,calibrated,0.417484097006778,0.07462811714849624,0.7595096254997564
Branched Oak Lake,MLP,10,calibrated,0.4159942823631083,0.06806426804303034,0.769676288455456
Branched Oak Lake,PLSR,0,source_only,,0.4264042607079933,0.3110131195653774
Branched Oak Lake,PLSR,1,calibrated,0.0636036284060255,0.1297553347327569,0.3047947255830329
Branched Oak Lake,PLSR,3,calibrated,0.06418692545540045,0.12071269273889434,0.30591796611062205
Branched Oak Lake,PLSR,5,calibrated,0.03014834870149115,0.1208372285101289,0.27351386847807
Branched Oak Lake,PLSR,10,calibrated,0.2171271572433391,0.0916130719242385,0.5991318751037409
Branched Oak Lake,XGBoost,0,source_only,,0.1051213822980658,0.6522453774832147
Branched Oak Lake,XGBoost,1,calibrated,0.27408374803636615,0.1005499495736173,0.6555452072390366
Branched Oak Lake,XGBoost,3,calibrated,0.3060927829196337,0.08822769936735055,0.6560527066567563
Branched Oak Lake,XGBoost,5,calibrated,0.25490958981356204,0.0947155076724832,0.6037762825720219
Branched Oak Lake,XGBoost,10,calibrated,0.20096359381019185,0.09577542687416116,0.6211808250539061
Chaohu,MLP,0,source_only,,0.1617478194884039,0.775033165049346
Chaohu,MLP,1,calibrated,0.3887816929268493,0.18705863236400166,0.7665671343894808
Chaohu,MLP,3,calibrated,0.39496911859583805,0.17677966498417594,0.7642208692898463
Chaohu,MLP,5,calibrated,0.3270445211809357,0.198776597361095,0.7005930186586556
Chaohu,MLP,10,calibrated,0.3241856354713961,0.18861250636697902,0.7090909090909092
Chaohu,PLSR,0,source_only,,0.170546382226734,0.7711319913997688
Chaohu,PLSR,1,calibrated,0.36009722492353413,0.20593457816869,0.759037005367973
Chaohu,PLSR,3,calibrated,0.3896864432386836,0.17430520781511474,0.7652549976650693
Chaohu,PLSR,5,calibrated,0.2877843355846974,0.1981734120454462,0.7079676820129573
Chaohu,PLSR,10,calibrated,0.21478085789279683,0.21514598230683107,0.6621151663123807
Chaohu,XGBoost,0,source_only,,0.163598536391576,0.7854362947815521
Chaohu,XGBoost,1,calibrated,0.3646243767340824,0.1880085990503119,0.7769838834541307
Chaohu,XGBoost,3,calibrated,0.35120031081105574,0.1891250292852813,0.7776645381677463
Chaohu,XGBoost,5,calibrated,0.26988727755483055,0.2052583937646339,0.7108672584168898
Chaohu,XGBoost,10,calibrated,0.2285739796036614,0.21754255039619141,0.7167228164398003
Dianchi,MLP,0,source_only,,0.5204218099577826,0.3202729726742833
Dianchi,MLP,1,calibrated,-1.8888713372179462,0.31629126712497657,0.31657984922634075
Dianchi,MLP,3,calibrated,-1.663895260919832,0.31063627348455747,0.31691352602716005
Dianchi,MLP,5,calibrated,-0.684483525974247,0.1808056175168712,-0.0017832661909547003
Dianchi,MLP,10,calibrated,-0.3345320516208077,0.14115957997606135,0.469899194311556
Dianchi,PLSR,0,source_only,,0.2659424457446546,0.5210561433026342
Dianchi,PLSR,1,calibrated,-1.6199381912968636,0.32429925143371224,0.5210935474611003
