learner,k,protocol,median_RER,mean_RER,mean_CI_lo,mean_CI_hi,frac_pos
PLSR,1,global-tuned,7.75,0.32,-16.31,13.31,0.75
PLSR,1,true-nested,7.39,-1.76,-20.6,12.32,0.71
PLSR,3,global-tuned,9.77,6.51,-5.21,15.7,0.79
PLSR,3,true-nested,9.67,4.42,-9.55,14.82,0.71
PLSR,5,global-tuned,10.7,9.09,-1.33,17.24,0.79
PLSR,5,true-nested,11.95,8.28,-2.47,16.93,0.71
PLSR,10,global-tuned,19.17,13.64,3.77,21.38,0.83
PLSR,10,true-nested,19.17,12.76,2.7,20.8,0.79
XGBoost,1,global-tuned,25.92,15.12,-0.65,27.63,0.83
XGBoost,1,true-nested,29.01,16.26,0.35,28.22,0.79
XGBoost,3,global-tuned,28.94,16.98,2.63,28.58,0.83
XGBoost,3,true-nested,30.79,19.7,5.32,30.64,0.92
XGBoost,5,global-tuned,20.7,10.68,-3.33,22.35,0.75
XGBoost,5,true-nested,23.62,14.71,0.78,25.85,0.79
XGBoost,10,global-tuned,22.52,15.13,3.05,25.79,0.79
XGBoost,10,true-nested,21.93,19.13,7.7,28.75,0.83
MLP,1,global-tuned,22.4,9.96,-12.65,25.56,0.79
MLP,1,true-nested,24.67,11.34,-10.3,26.17,0.75
MLP,3,global-tuned,24.56,14.54,-5.17,28.31,0.83
MLP,3,true-nested,23.19,14.51,-5.19,27.96,0.83
MLP,5,global-tuned,16.61,12.11,-1.34,23.55,0.79
MLP,5,true-nested,25.73,17.59,6.09,27.05,0.83
MLP,10,global-tuned,18.73,17.78,7.13,27.31,0.79
MLP,10,true-nested,28.45,20.82,11.07,29.63,0.79
