lake,learner,k,rep,worst_metric,diff_val
Lake Erie,PLSR,1,0,mae_log,0.0
Lake Erie,XGBoost,1,0,mae_log,5.551115123125783e-17
Lake Erie,MLP,1,0,mae_log,0.0
Lake Erie,PLSR,3,0,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,3,0,mae_log,0.0
Lake Erie,MLP,3,0,anomaly_r2,1.8189894035458565e-12
Lake Erie,PLSR,5,0,mae_log,0.0
Lake Erie,XGBoost,5,0,rer_log,5.551115123125783e-17
Lake Erie,MLP,5,0,anomaly_r2,1.4551915228366852e-11
Lake Erie,PLSR,10,0,rer_log,8.326672684688674e-17
Lake Erie,XGBoost,10,0,anomaly_r2,2.9103830456733704e-11
Lake Erie,MLP,10,0,mae_log,5.551115123125783e-17
Lake Erie,PLSR,1,1,mae_log,0.0
Lake Erie,XGBoost,1,1,anomaly_r2,2.7755575615628914e-17
Lake Erie,MLP,1,1,mae_log,0.0
Lake Erie,PLSR,3,1,rer_log,8.326672684688674e-17
Lake Erie,XGBoost,3,1,mae_log,0.0
Lake Erie,MLP,3,1,mae_log,5.551115123125783e-17
Lake Erie,PLSR,5,1,rer_log,5.551115123125783e-17
Lake Erie,XGBoost,5,1,anomaly_r2,5.551115123125783e-17
Lake Erie,MLP,5,1,mae_log,8.326672684688674e-17
Lake Erie,PLSR,10,1,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,10,1,mae_log,5.551115123125783e-17
Lake Erie,MLP,10,1,mae_log,5.551115123125783e-17
Lake Erie,PLSR,1,2,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,1,2,mae_log,5.551115123125783e-17
Lake Erie,MLP,1,2,mae_log,8.326672684688674e-17
Lake Erie,PLSR,3,2,rer_log,1.3877787807814457e-17
Lake Erie,XGBoost,3,2,mae_log,0.0
Lake Erie,MLP,3,2,mae_log,8.326672684688674e-17
Lake Erie,PLSR,5,2,mae_log,0.0
Lake Erie,XGBoost,5,2,mae_log,0.0
Lake Erie,MLP,5,2,mae_log,0.0
Lake Erie,PLSR,10,2,anomaly_r2,1.4210854715202004e-14
Lake Erie,XGBoost,10,2,mae_log,5.551115123125783e-17
Lake Erie,MLP,10,2,anomaly_r2,1.4551915228366852e-11
Lake Erie,PLSR,1,3,rer_log,5.551115123125783e-17
Lake Erie,XGBoost,1,3,mae_log,0.0
Lake Erie,MLP,1,3,rer_log,5.551115123125783e-17
Lake Erie,PLSR,3,3,rer_log,4.163336342344337e-17
