lake,learner,k,calibrated_spearman,source_spearman,delta_spearman,calibrated_anomaly_r2_logspace,source_anomaly_r2_logspace,delta_anomaly_r2_logspace,delta_anomaly_r2_origspace
Branched Oak Lake,MLP,1,0.7490128927056013,0.7490128927056013,0.0,0.5236760266229518,0.5236760266229518,0.0,-0.0034685924634884624
Branched Oak Lake,MLP,3,0.7531651972534583,0.7531651972534583,0.0,0.5330333749003784,0.5325858130320693,0.0003778844540594517,0.0012649216534273422
Branched Oak Lake,MLP,5,0.7595096254997564,0.7492468632963261,0.028238104423280286,0.6224561776896068,0.5189522580333685,0.10910195779701409,0.12052869973384855
Branched Oak Lake,MLP,10,0.769676288455456,0.7427937232007096,0.03094041383356838,0.6329469323021201,0.5245807571007174,0.10254453390581914,0.12294470640165728
Branched Oak Lake,PLSR,1,0.3047947255830329,0.3047947255830329,0.0,-0.04314730579776116,-0.04314730579776116,0.0,-0.09959586015254218
Branched Oak Lake,PLSR,3,0.30591796611062216,0.30591796611062216,0.0,-0.047014687229528285,-0.04649145874702176,0.0006568408808719228,-0.11746967615217013
Branched Oak Lake,PLSR,5,0.27351386847807,0.29483278607478813,-0.007917906727658353,-0.08581837234415701,-0.05598115045109098,-0.025664633562223926,-0.11533383369263173
Branched Oak Lake,PLSR,10,0.5991318751037409,0.3129657792526546,0.25847401202095394,0.30860376896395514,-0.03290243780689028,0.3360120445183421,0.2498140555492132
Branched Oak Lake,XGBoost,1,0.6555452072390366,0.6555452072390366,0.0,0.4034458614042301,0.4034458614042301,0.0,-0.01753858565375066
Branched Oak Lake,XGBoost,3,0.6560527066567563,0.6560527066567563,0.0,0.41889191700900014,0.4145564128014088,0.0024463780031539484,-0.026311265072581747
Branched Oak Lake,XGBoost,5,0.6037762825720219,0.651019504759578,-0.030759519470594965,0.30622268167876515,0.4092319477182427,-0.06878566219237053,-0.08753892799199087
Branched Oak Lake,XGBoost,10,0.6211808250539061,0.649710790795756,-0.017252836212673484,0.32536466775730205,0.41072266266030494,-0.07099860877371894,-0.06442415021665837
Chaohu,MLP,1,0.7665671343894808,0.7665671343894808,0.0,0.5869490868938596,0.5869490868938597,0.0,0.030248429967128454
Chaohu,MLP,3,0.7642208692898463,0.7642208692898463,0.0,0.5835689265023218,0.5850325443442739,0.004839448430161708,0.029713204215237488
Chaohu,MLP,5,0.7005930186586556,0.7808499050077218,-0.06924354929210325,0.5063637077684091,0.5826526833120957,-0.06002850855891789,0.01650506657600509
Chaohu,MLP,10,0.7090909090909092,0.7699336604071668,-0.036698792170878625,0.5273399727460543,0.5911842253919012,-0.04050255947449011,0.025245197856719193
Chaohu,PLSR,1,0.759037005367973,0.759037005367973,0.0,0.6103996233640913,0.6103996233640913,0.0,0.3039612967237796
Chaohu,PLSR,3,0.7652549976650693,0.7652549976650693,0.0,0.6066050945449966,0.6120640468822316,-0.002449796816465677,0.6358999745188975
Chaohu,PLSR,5,0.7079676820129573,0.7684399215182307,-0.04277304745494953,0.5053582662295115,0.6164100441155421,-0.06324292227513828,0.23057815313580554
Chaohu,PLSR,10,0.6621151663123807,0.7576837370005286,-0.040909090909091006,0.4549622733654444,0.6091606151838012,-0.08838768347731535,-0.07444870276015164
Chaohu,XGBoost,1,0.7769838834541307,0.7769838834541307,0.0,0.4853380366992145,0.4853380397242322,0.0,-0.005395633642342523
Chaohu,XGBoost,3,0.7776645381677463,0.7776645381677463,0.0,0.4857762627737403,0.4864861418961776,0.0014519435976561579,-0.006250173630936995
Chaohu,XGBoost,5,0.7108672584168898,0.7826408885622334,-0.05966790367460095,0.44280555283972894,0.49379587355726345,-0.024131135104521917,-0.04372612154783306
Chaohu,XGBoost,10,0.7167228164398003,0.7744894808829488,-0.04095055463040098,0.3797550080521665,0.4788508860289359,-0.07031755362528236,-0.13901764914556441
Dianchi,MLP,1,0.31657984922634075,0.31657984922634075,0.0,-13.893250907881692,-13.89325090788169,0.0,-122389.82272661995
Dianchi,MLP,3,0.31691352602716005,0.31691352602716005,0.0,-9.369075099090992,-13.92014275177062,5.0346890951917596,7.743089722007577
Dianchi,MLP,5,-0.001783266190954667,0.3153587047259748,-0.30287264300229955,-1.3088512250547188,-14.101676778484748,11.976339508951867,19744.087679514272
