lake,learner,k,rep,calibrated_spearman,source_spearman,delta_spearman,calibrated_anomaly_r2_origspace,source_anomaly_r2_origspace,delta_anomaly_r2_origspace,calibrated_anomaly_r2_logspace,source_anomaly_r2_logspace,delta_anomaly_r2_logspace
Lake Erie,PLSR,1,0,0.7312099049526055,0.7312099049526055,0.0,-104044.32533789812,-102363.36637390235,-1680.9589639957703,-0.5213562960288769,-0.5213562960288771,2.220446049250313e-16
Lake Erie,XGBoost,1,0,0.7840208874559953,0.7840208874559953,0.0,0.09321543799861731,-0.39017011746392516,0.48338555546254247,0.559423290160521,0.5594232934944692,-3.3339482286010025e-09
Lake Erie,MLP,1,0,0.8054044546383954,0.8054044546383954,0.0,-42500.96050773666,-58338.49367196498,15837.53316422832,0.3806609275298405,0.3806609275298406,-1.1102230246251565e-16
Lake Erie,PLSR,3,0,0.7303058757455254,0.7303058757455254,0.0,-30.176222090111708,-102576.34887142498,102546.17264933487,0.1656070500399005,-0.5193249327202973,0.6849319827601978
Lake Erie,XGBoost,3,0,0.7827189810729313,0.7827189810729313,0.0,0.3353112888650356,-0.38919300081983255,0.7245042896848681,0.5609612313472812,0.5579985980437068,0.00296263330357438
Lake Erie,MLP,3,0,0.8038600998594133,0.8038600998594133,0.0,-16048.985684148729,-58459.90726550697,42410.92158135824,0.3763721087032854,0.37709896876074755,-0.000726860057462142
Lake Erie,PLSR,5,0,0.7673035841296428,0.7305934149330229,0.03671016919661996,-95725.13451387608,-103338.8725090834,7613.737995207324,-0.2839170437741869,-0.5358727575655009,0.251955713791314
Lake Erie,XGBoost,5,0,0.8151083186931034,0.7841611886231817,0.03094713006992167,0.32911627263767473,-0.4009720057518191,0.7300882783894939,0.5866835770616641,0.5602642163745096,0.026419360687154447
Lake Erie,MLP,5,0,0.7997727281267984,0.8025165964626991,-0.002743868335900679,-97476.10807736445,-58895.71244360869,-38580.39563375576,0.19507759068292596,0.374512277705648,-0.17943468702272203
Lake Erie,PLSR,10,0,0.7846249904693234,0.7247991933589801,0.059825797110343304,-93003.32035724916,-106686.91209702601,13683.59173977685,0.05213377743774139,-0.5481335206783164,0.6002672981160578
Lake Erie,XGBoost,10,0,0.8509712300012889,0.7798342458559829,0.071136984145306,-234139.14212414596,-0.4213073452960072,-234138.72081680066,-0.17711326433702146,0.554324656388413,-0.7314379207254345
Lake Erie,MLP,10,0,0.853844674704943,0.801460422263123,0.05238425244181999,-379954.5926579942,-60804.4471275412,-319150.145530453,-1.0998681147274851,0.3710822423485761,-1.4709503570760614
Lake Erie,PLSR,1,1,0.7338933986509296,0.7338933986509296,0.0,-8540.410937691457,-102409.44804204069,93869.03710434923,-0.5181492213084327,-0.5181492213084329,2.220446049250313e-16
Lake Erie,XGBoost,1,1,0.7870822474667675,0.7870822474667675,0.0,0.24884233936841593,-0.3875901313795922,0.6364324707480081,0.5624199061367341,0.562419908369995,-2.2332609095343514e-09
Lake Erie,MLP,1,1,0.8060753902595917,0.8060753902595917,0.0,-7988.888889433319,-58364.65393413194,50375.765044698615,0.3811125879513946,0.3811125879513946,0.0
Lake Erie,PLSR,3,1,0.7291965384917358,0.7291965384917358,0.0,-9317.538794788485,-102676.03557070429,93358.4967759158,-0.3264962194860881,-0.5355423769092855,0.20904615742319743
Lake Erie,XGBoost,3,1,0.7835328899360804,0.7835328899360804,0.0,0.3062241617245002,-0.39409175740367974,0.7003159191281799,0.552518520946909,0.5595762247353853,-0.007057703788476255
Lake Erie,MLP,3,1,0.8032259630580447,0.8032259630580447,0.0,-49266.40046389809,-58517.02436063029,9250.623896732199,0.37892003601858737,0.3768209921757064,0.0020990438428809544
Lake Erie,PLSR,5,1,0.7699782804501982,0.7311225888804245,0.038855691569773754,-2856.992077754791,-102563.76974336323,99706.77766560843,0.20776498815969335,-0.5209067853842544,0.7286717735439477
Lake Erie,XGBoost,5,1,0.7975829368591356,0.784633899024525,0.012949037834610655,0.30788553428879384,-0.3903246111988128,0.6982101454876066,0.5360116482247363,0.5613091609321407,-0.025297512707404324
Lake Erie,MLP,5,1,0.6697688999615423,0.8063464040262538,-0.13657750406471147,-557.7606569689787,-58453.86555696462,57896.10489999564,0.30061506774016034,0.3837194438105085,-0.08310437607034815
Lake Erie,PLSR,10,1,0.7693350448447785,0.7309863946260593,0.03834865021871925,-301053.8748745474,-104369.70552844452,-196684.1693461029,-0.8085132974383029,-0.5408862786791913,-0.26762701875911166
Lake Erie,XGBoost,10,1,0.8087542702341071,0.784935778254679,0.02381849197942809,-116030.41950476015,-0.40581030886459724,-116030.01369445129,-0.08179571746289582,0.5591051756311465,-0.6409008930940423
Lake Erie,MLP,10,1,0.8250456182719235,0.8085151653328037,0.01653045293911981,-338643.0666347149,-59484.809615382925,-279158.25701933197,-0.8914079200673,0.3787028759181075,-1.2701107959854074
Lake Erie,PLSR,1,2,0.7303873754477743,0.7303873754477743,0.0,-98226.7953901411,-102416.54024981408,4189.744859672981,-0.5227608099058225,-0.5227608099058227,2.220446049250313e-16
Lake Erie,XGBoost,1,2,0.7836283852027145,0.7836283852027145,0.0,0.30647283869398234,-0.39090805738209067,0.697380896076073,0.5593056828867554,0.5593056799349776,2.9517778221688218e-09
Lake Erie,MLP,1,2,0.8045651320474395,0.8045651320474395,0.0,-22425.59937976632,-58368.795313986724,35943.195934220406,0.3802364928721128,0.3802364928721128,0.0
Lake Erie,PLSR,3,2,0.7305078261121232,0.7305078261121232,0.0,-165.5440145627467,-102767.84761697681,102602.30360241406,0.1623098470912665,-0.520122870978712,0.6824327180699785
Lake Erie,XGBoost,3,2,0.7832903141845038,0.7832903141845038,0.0,0.2605054280098811,-0.3931577605964107,0.6536631886062918,0.5561832628619667,0.5582460605338309,-0.002062797671864125
Lake Erie,MLP,3,2,0.8050126639454168,0.8050126639454168,0.0,-46896.90786866983,-58569.34953348407,11672.441664814243,0.3309300807699376,0.3789298079317347,-0.04799972716179712
Lake Erie,PLSR,5,2,0.7276390826857507,0.7293841393696533,-0.0017450566839025683,-3440.589747183689,-103317.34605467007,99876.75630748637,0.22469187317157457,-0.534055982886922,0.7587478560584966
Lake Erie,XGBoost,5,2,0.7371885915361596,0.782406948766047,-0.04521835722988743,-18.36864106817126,-0.3996823658920694,-17.968958702279192,0.2778294734093313,0.5569415455205595,-0.27911207211122824
Lake Erie,MLP,5,2,0.7771240892246145,0.8039795743818782,-0.02685548515726366,-129295.28274582529,-58882.945677388634,-70412.33706843665,-0.12268601261045631,0.3763102464939363,-0.4989962591043926
Lake Erie,PLSR,10,2,0.49564344290515583,0.7309463951676413,-0.23530295226248543,-99.68433912194911,-104296.92139951882,104197.23706039687,0.13950927499666832,-0.4945309825676607,0.634040257564329
