learner,k,source_rho_median,calibrated_rho_median,mean_delta_rho,mean_delta_rho_ci,mean_delta_rho_classification,median_delta_rho,median_delta_rho_ci,n_lakes_pos,n_lakes_neg,n_lakes_zero,mean_delta_R2_logspace,mean_delta_R2_logspace_ci,median_delta_R2_logspace,median_delta_R2_logspace_ci,mean_delta_R2_origspace,mean_delta_R2_origspace_ci,median_delta_R2_origspace,median_delta_R2_origspace_ci
PLSR,1,0.5644,0.5644,0.0,"(0.0, 0.0)",identity,0.0,"(0.0, 0.0)",0,0,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",326.8792,"(1.9159, 850.4297)",-0.0059,"(-0.0996, 0.278)"
PLSR,3,0.5608,0.5608,0.0,"(0.0, 0.0)",unresolved,0.0,"(0.0, 0.0)",0,0,24,0.128,"(0.0149, 0.285)",0.003,"(0.0007, 0.0158)",2066.8755,"(4.9415, 5859.5369)",0.0041,"(-0.0804, 0.6359)"
PLSR,5,0.5644,0.5151,-0.029,"(-0.0777, 0.0324)",unresolved,-0.0339,"(-0.0613, -0.0079)",4,19,1,0.3665,"(0.037, 0.8332)",0.0013,"(-0.0337, 0.1213)",4506.8548,"(12.8759, 13112.4735)",0.0354,"(-0.2094, 0.2306)"
PLSR,10,0.5776,0.6701,0.0389,"(-0.03, 0.0987)",unresolved,0.0393,"(-0.0045, 0.1121)",16,8,0,0.4288,"(0.0904, 0.9371)",0.0861,"(0.0071, 0.2844)",2601.2017,"(17.3679, 7396.6396)",0.086,"(-0.0746, 0.2498)"
XGBoost,1,0.6614,0.6614,0.0,"(0.0, 0.0)",identity,0.0,"(0.0, 0.0)",0,0,24,0.0,"(-0.0, 0.0)",0.0,"(0.0, 0.0)",0.5912,"(-0.0788, 1.4781)",-0.0164,"(-0.0442, 0.1201)"
XGBoost,3,0.6609,0.6609,0.0,"(0.0, 0.0)",unresolved,0.0,"(0.0, 0.0)",0,0,24,0.0326,"(0.0052, 0.082)",0.0025,"(0.0015, 0.0111)",0.8074,"(0.008, 1.9691)",-0.0023,"(-0.0252, 0.1084)"
XGBoost,5,0.6578,0.6036,-0.0259,"(-0.0418, -0.009)",negative,-0.021,"(-0.04, -0.0079)",2,21,1,0.0107,"(-0.0684, 0.1269)",-0.0391,"(-0.0676, -0.0207)",0.8545,"(-0.0108, 2.2095)",-0.0282,"(-0.0875, 0.1498)"
XGBoost,10,0.656,0.6452,0.0261,"(-0.0072, 0.0639)",unresolved,-0.0035,"(-0.028, 0.0483)",11,12,1,0.0607,"(-0.0255, 0.1953)",-0.0306,"(-0.0575, 0.0779)",-20.5969,"(-63.9988, 1.7444)",0.0046,"(-0.095, 0.2112)"
MLP,1,0.6339,0.6339,0.0,"(0.0, 0.0)",identity,0.0,"(0.0, 0.0)",0,0,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",-3785.6039,"(-15298.6637, 3941.475)",0.0075,"(-0.096, 0.0884)"
MLP,3,0.6319,0.6319,0.0,"(0.0, 0.0)",unresolved,0.0,"(0.0, 0.0)",0,0,24,0.2185,"(0.0051, 0.6407)",0.0035,"(0.0012, 0.0087)",1655.6307,"(0.0643, 4966.2174)",0.0167,"(-0.0577, 0.2007)"
MLP,5,0.6311,0.6783,-0.0027,"(-0.0465, 0.0455)",unresolved,-0.0174,"(-0.0305, 0.0)",6,16,2,0.5274,"(-0.0272, 1.5652)",-0.0039,"(-0.06, 0.0603)",2790.8753,"(0.0713, 7549.6855)",0.0306,"(-0.0585, 0.2824)"
MLP,10,0.6304,0.7182,0.041,"(-0.0076, 0.0911)",unresolved,0.0227,"(-0.0175, 0.0999)",14,8,2,0.5764,"(-0.0425, 1.7208)",0.0177,"(-0.0405, 0.0468)",-7000.416,"(-23527.946, 2527.3807)",-0.0056,"(-0.094, 0.1229)"
