learner,k,mean_delta_rho,mean_delta_rho_ci_lo,mean_delta_rho_ci_hi,median_delta_rho,median_delta_rho_ci_lo,median_delta_rho_ci_hi,mean_delta_R2_logspace,mean_delta_R2_logspace_ci_lo,mean_delta_R2_logspace_ci_hi,mean_delta_R2_origspace,mean_delta_R2_origspace_ci_lo,mean_delta_R2_origspace_ci_hi
PLSR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.8791917466328,1.9159317452568247,850.4297214917633
PLSR,3,0.0,0.0,0.0,0.0,0.0,0.0,0.1280000307712049,0.014918804911099821,0.2849829382346045,2066.8754850299597,4.941543848800114,5859.536858754283
PLSR,5,-0.02903022800563543,-0.07766091378523075,0.03240079975341396,-0.03390389699556205,-0.0612745098039215,-0.0079179067276583,0.36645067361423983,0.03695323132491636,0.8331616491996862,4506.854808896272,12.875862188695203,13112.473482759124
PLSR,10,0.03892496743719346,-0.029951263312942178,0.09871179305618653,0.039335393925107445,-0.0045356113847042,0.1120842349341354,0.42880572925885946,0.09042425735507181,0.9370719348804993,2601.2016802423477,17.367925783569916,7396.639557091058
XGBoost,1,0.0,0.0,0.0,0.0,0.0,0.0,1.4889889807245821e-09,-2.7154753260219543e-09,7.38930335866343e-09,0.5911678605206735,-0.07882988074351968,1.478052654515241
XGBoost,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0326138013298688,0.005237731283525315,0.082027457228088,0.8073676975198971,0.008001727904545633,1.9690814775098981
XGBoost,5,-0.025851814778182703,-0.04177270633848568,-0.00902232806028735,-0.020993130007044447,-0.0400153934968176,-0.0079469719256588,0.010699436927686328,-0.06836747770595221,0.12689525646053124,0.8545037856007327,-0.01081340454047918,2.2095471456549065
XGBoost,10,0.02607705673742256,-0.007212933893114857,0.06393863099896256,-0.0034965034965034,-0.0280210587335338,0.048322711792989,0.06074558371758864,-0.02554993692815943,0.19533115450092742,-20.596886147534327,-63.99883679955303,1.7444070794646183
MLP,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3785.6038584181865,-15298.663739745349,3941.4749808951574
MLP,3,0.0,0.0,0.0,0.0,0.0,0.0,0.21854313615425794,0.00508767877208279,0.6407360956895595,1655.6306988091983,0.06425345551807964,4966.217425050005
MLP,5,-0.002702700590155515,-0.046530912109802355,0.045481618542351304,-0.01738067736985975,-0.0304907759606855,0.0,0.5273634480142521,-0.02724405829555466,1.565205012124861,2790.875268518794,0.07130280827730981,7549.685489954531
MLP,10,0.04097900704424925,-0.007579999663471859,0.09108134698218946,0.022663018388919147,-0.0174825174825175,0.0998634359371133,0.5764465086031231,-0.04252204328032221,1.7207909412616222,-7000.416017076749,-23527.946012748922,2527.380690620509
