lake,mean_support_distance,median_rer_log
Lake Erie,2.518373100761923,0.1227449722703373
Lake Kasumigaura,0.4724183884195403,-0.1813973347195241
Taihu,1.678452388576703,0.2069009741722157
High Rock Lake,1.1180972119968515,0.1727396482493191
Eagle Creek Reservoir,0.4061975125582354,0.1161934582631372
Lake Peipsi,0.2267439316419238,0.0743529955136013
Dianchi,2.266515047826384,-0.8430363705896833
Geist Reservoir,0.4269532681420211,-0.1519155565228844
Morse Reservoir,0.8389479017278896,0.3656928137868951
Lake Winnipeg,0.5473207269397332,0.0979046946535771
Branched Oak Lake,0.36548613438691474,0.0301483487014911
Lake Hume,0.2136964697367248,0.2660376327799648
Garda,0.5931083329979857,-0.0635300223392646
Erhai,0.4346081893224673,0.2434486302875649
Lake Łebsko,0.655173009722431,-0.0095003641116691
Mantova,0.499360011491576,-0.0103682388517819
Ibitinga Reservoir,0.6122535962385436,0.3023436429108909
Lake Kummerow,0.17251970674058256,-0.0550025905690853
Lake Jasień Południowy,0.14332395601916922,0.0552436528272207
Lake Jeleń,0.15692018315720752,0.18364298747283
Lake Chotkowskie,0.24171396879609713,0.3470963438992965
Chaohu,1.7124491234313919,0.2877843355846974
Lake Geneva,0.2902787354701949,0.2086237903877817
Lake Obłęże,0.21686285721373952,0.2213623441130672
