lake,mean_support_distance
Lake Erie,2.518373100761923
Lake Kasumigaura,0.4724183884195403
Taihu,1.678452388576703
High Rock Lake,1.1180972119968515
Eagle Creek Reservoir,0.4061975125582354
Lake Peipsi,0.2267439316419238
Dianchi,2.266515047826384
Geist Reservoir,0.4269532681420211
Morse Reservoir,0.8389479017278896
Lake Winnipeg,0.5473207269397332
Branched Oak Lake,0.36548613438691474
Lake Hume,0.2136964697367248
Garda,0.5931083329979857
Erhai,0.4346081893224673
Lake Łebsko,0.655173009722431
Mantova,0.499360011491576
Ibitinga Reservoir,0.6122535962385436
Lake Kummerow,0.17251970674058256
Lake Jasień Południowy,0.14332395601916922
Lake Jeleń,0.15692018315720752
Lake Chotkowskie,0.24171396879609713
Chaohu,1.7124491234313919
Lake Geneva,0.2902787354701949
Lake Obłęże,0.21686285721373952
