lake,learner,k,rep,mae_log,rer_log,label_only_mae_algebraic,delta_mae_label_minus_calibrated
Lake Erie,PLSR,1,0,0.3635225421711171,-0.1283891029225365,0.3221606269909022,-0.041361915180214925
Lake Erie,XGBoost,1,0,0.2048259375668588,0.3642117501380434,0.32216062699090214,0.11733468942404335
Lake Erie,MLP,1,0,0.2155947486672616,0.3307849131383796,0.32216062699090225,0.10656587832364064
Lake Erie,PLSR,3,0,0.4409842499826785,0.1828953286682678,0.5396912626786327,0.09870701269595417
Lake Erie,XGBoost,3,0,0.2640403089702275,0.5107567375330632,0.5396912626786328,0.27565095370840526
Lake Erie,MLP,3,0,0.2303682517534663,0.5731480692469109,0.5396912626786328,0.30932301092516645
Lake Erie,PLSR,5,0,0.3050207649423159,0.1277259675750906,0.3496845657225656,0.04466380078024973
Lake Erie,XGBoost,5,0,0.1900947520661892,0.4563821933712984,0.3496845657225655,0.1595898136563763
Lake Erie,MLP,5,0,0.2124837058731944,0.3923560527823343,0.3496845657225655,0.1372008598493711
Lake Erie,PLSR,10,0,0.2700052440746077,0.1474941153794116,0.3167195094139625,0.0467142653393548
Lake Erie,XGBoost,10,0,0.2708847446053151,0.1447172087576321,0.3167195094139624,0.04583476480864729
Lake Erie,MLP,10,0,0.2734695299384291,0.136556090876749,0.31671950941396243,0.04324997947553333
Lake Erie,PLSR,1,1,0.7132024037232038,-1.024825475196699,0.3522290697205229,-0.36097333400268083
Lake Erie,XGBoost,1,1,0.5208710464005738,-0.4787849339806364,0.3522290697205229,-0.16864197668005088
Lake Erie,MLP,1,1,0.3229265099546177,0.0831917676676651,0.352229069720523,0.02930255976590529
Lake Erie,PLSR,3,1,0.4387284811168547,0.2015128145731139,0.5494496231613666,0.11072114204451189
Lake Erie,XGBoost,3,1,0.2542256217644262,0.5373085785831014,0.5494496231613667,0.2952240013969405
Lake Erie,MLP,3,1,0.2319838700389564,0.5777886342298719,0.5494496231613665,0.3174657531224101
Lake Erie,PLSR,5,1,0.2654720190703141,0.1702469155143508,0.3199409869471533,0.05446896787683919
Lake Erie,XGBoost,5,1,0.2137292782162674,0.3319728004361677,0.3199409869471532,0.10621170873088584
Lake Erie,MLP,5,1,0.2425221430904544,0.2419785041473962,0.31994098694715317,0.07741884385669878
Lake Erie,PLSR,10,1,0.3018298619717904,0.0534583921229423,0.3188764867751886,0.01704662480339819
Lake Erie,XGBoost,10,1,0.241348842146273,0.243127497363261,0.3188764867751886,0.07752764462891559
Lake Erie,MLP,10,1,0.2607299737284119,0.1823480677780107,0.3188764867751886,0.058146513046776704
Lake Erie,PLSR,1,2,0.3316633799574955,0.0946439572512623,0.3663347514608473,0.03467137150335181
Lake Erie,XGBoost,1,2,0.2175414701114845,0.4061675194459135,0.3663347514608473,0.14879328134936282
Lake Erie,MLP,1,2,0.2055761009194548,0.4388299103812288,0.3663347514608472,0.1607586505413924
Lake Erie,PLSR,3,2,0.2909488120418235,0.1147532609031754,0.3286640891625282,0.037715277120704715
Lake Erie,XGBoost,3,2,0.2076887382882684,0.3680820362872554,0.32866408916252826,0.12097535087425987
Lake Erie,MLP,3,2,0.2285189834655037,0.3047035132592973,0.32866408916252804,0.10014510569702434
Lake Erie,PLSR,5,2,0.285283844880428,0.4533446777628856,0.5218715300280777,0.23658768514764972
Lake Erie,XGBoost,5,2,0.2548591794016703,0.5116438244784179,0.5218715300280777,0.26701235062640744
Lake Erie,MLP,5,2,0.2586511343582086,0.504377754831596,0.5218715300280778,0.26322039566986927
Lake Erie,PLSR,10,2,0.2852118419265568,0.1156391274533028,0.32250617585739916,0.03729433393084236
Lake Erie,XGBoost,10,2,0.2694336866456919,0.1645627015513246,0.3225061758573991,0.05307248921170721
Lake Erie,MLP,10,2,0.1907673569911973,0.4084846264761322,0.32250617585739894,0.13173881886620165
Lake Erie,PLSR,1,3,0.4060410726038655,0.1227713857812167,0.4628680223720012,0.05682694976813568
Lake Erie,XGBoost,1,3,0.2996542008057405,0.3526141581432174,0.46286802237200125,0.16321382156626074
Lake Erie,MLP,1,3,0.4344193780633373,0.0614616744277558,0.4628680223720012,0.028448644308663895
Lake Erie,PLSR,3,3,0.3598162058766538,-0.1090693750512744,0.324430746065209,-0.03538545981144481
Lake Erie,XGBoost,3,3,0.2171873514612292,0.3305586557349216,0.3244307460652089,0.10724339460397969
Lake Erie,MLP,3,3,0.2102348245352922,0.3519885812150433,0.32443074606520883,0.11419592152991664
Lake Erie,PLSR,5,3,0.334716566094887,0.1228993750924012,0.3816170662962902,0.04690050020140324
Lake Erie,XGBoost,5,3,0.2750916433481336,0.2791421809055775,0.3816170662962902,0.10652542294815665
Lake Erie,MLP,5,3,0.2383054146888035,0.3755378375579256,0.3816170662962902,0.1433116516074867
Lake Erie,PLSR,10,3,0.365451221745325,-0.1195355378891378,0.32643110306173995,-0.03902011868358507
Lake Erie,XGBoost,10,3,0.2498064183656037,0.2347346243360196,0.32643110306173995,0.07662468469613626
Lake Erie,MLP,10,3,0.2222947128188561,0.319014904143613,0.32643110306173995,0.10413639024288385
Lake Erie,PLSR,1,4,0.5155705937375166,0.3409076922693484,0.7822433839681368,0.2666727902306202
Lake Erie,XGBoost,1,4,0.4885253451034492,0.3754816482050747,0.7822433839681368,0.29371803886468756
Lake Erie,MLP,1,4,0.3942411297855779,0.4960121838988178,0.7822433839681368,0.38800225418255885
Lake Erie,PLSR,3,4,0.41069538267117,-0.1072028589068133,0.37093056461635027,-0.03976481805481974
Lake Erie,XGBoost,3,4,0.2470196417293713,0.3340542175989099,0.3709305646163502,0.12391092288697891
Lake Erie,MLP,3,4,0.2246285454693138,0.3944188728533772,0.37093056461635016,0.14630201914703636
Lake Erie,PLSR,5,4,0.2897769273968897,0.1382349220201527,0.3362597721626583,0.04648284476576858
Lake Erie,XGBoost,5,4,0.224005943764379,0.3338306700739461,0.33625977216265845,0.11225382839827946
Lake Erie,MLP,5,4,0.2220521591562076,0.339641012885702,0.33625977216265834,0.11420761300645074
Lake Erie,PLSR,10,4,0.2633014063339993,0.1808788115521455,0.3214437763985997,0.058142370064600435
Lake Erie,XGBoost,10,4,0.1956662381338139,0.3912893749603172,0.3214437763985997,0.12577753826478583
Lake Erie,MLP,10,4,0.2027907487292981,0.3691252800331574,0.3214437763985996,0.11865302766930153
Lake Erie,PLSR,1,5,0.7300336760079229,0.3789170381671034,1.175420555158475,0.4453868791505522
Lake Erie,XGBoost,1,5,0.3840201757473558,0.6732912481452283,1.1754205551584755,0.7914003794111197
Lake Erie,MLP,1,5,0.3564108292597819,0.6967801569715355,1.1754205551584753,0.8190097258986935
Lake Erie,PLSR,3,5,0.4476496490874564,-0.3999624678972868,0.3197583187784968,-0.1278913303089596
Lake Erie,XGBoost,3,5,0.2385829392128617,0.2538647855576795,0.3197583187784967,0.081175379565635
Lake Erie,MLP,3,5,0.2090434529604446,0.3462454480575754,0.3197583187784967,0.1107148658180521
Lake Erie,PLSR,5,5,0.281639826100486,0.1225905694482734,0.3209901985545025,0.03935037245401651
Lake Erie,XGBoost,5,5,0.1990929602836699,0.3797537589067457,0.32099019855450245,0.12189723827083254
Lake Erie,MLP,5,5,0.2037555764403855,0.3652280318519783,0.32099019855450245,0.11723462211411695
Lake Erie,PLSR,10,5,0.2666986618108793,0.1768299235481436,0.323989745507685,0.05729108369680569
Lake Erie,XGBoost,10,5,0.1947626798369256,0.3988615796455148,0.323989745507685,0.1292270656707594
Lake Erie,MLP,10,5,0.1978984864238777,0.3891828582240972,0.323989745507685,0.1260912590838073
Lake Erie,PLSR,1,6,0.4628232967865909,-0.3508896624987647,0.3426062883785799,-0.12021700840801097
Lake Erie,XGBoost,1,6,0.3033349412922262,0.1146252922734038,0.3426062883785799,0.039271347086353714
Lake Erie,MLP,1,6,0.3021011251460334,0.1182265574924963,0.34260628837857987,0.04050516323254649
Lake Erie,PLSR,3,6,0.5483674751250533,-0.1031984723655823,0.49707055242490256,-0.05129692270015079
Lake Erie,XGBoost,3,6,0.3447818842433975,0.3063723336151349,0.4970705524249025,0.152288668181505
Lake Erie,MLP,3,6,0.2479850139138282,0.50110700037423,0.49707055242490256,0.24908553851107434
Lake Erie,PLSR,5,6,0.2776494222632405,0.1441967452026562,0.32443137152003004,0.04678194925678952
Lake Erie,XGBoost,5,6,0.2865410953819927,0.116789799927841,0.32443137152003004,0.03789027613803736
Lake Erie,MLP,5,6,0.2669825229448194,0.1770754983875188,0.32443137152002993,0.05744884857521054
Lake Erie,PLSR,10,6,0.3619631807348517,-0.1259552661425081,0.32147207829612534,-0.040491102438726334
Lake Erie,XGBoost,10,6,0.2718214067569257,0.1544478458529928,0.3214720782961253,0.04965067153919961
Lake Erie,MLP,10,6,0.2539443340750651,0.2100578764986178,0.3214720782961254,0.06752774422106028
Lake Erie,PLSR,1,7,0.3507074168557393,0.2662469742878435,0.4779638478189906,0.1272564309632513
Lake Erie,XGBoost,1,7,0.2340706293947525,0.5102754411958126,0.47796384781899054,0.24389321842423803
Lake Erie,MLP,1,7,0.2006720411674585,0.5801522481571088,0.47796384781899054,0.2772918066515321
Lake Erie,PLSR,3,7,0.3634723367613278,0.1239785917205667,0.4149126203604985,0.05144028359917069
Lake Erie,XGBoost,3,7,0.2220940081785891,0.4647209992483914,0.41491262036049836,0.19281861218190927
Lake Erie,MLP,3,7,0.220415480405419,0.4687664961803882,0.4149126203604983,0.1944971399550793
Lake Erie,PLSR,5,7,0.2786438606082508,0.2862655681600137,0.39040271989200637,0.11175885928375556
Lake Erie,XGBoost,5,7,0.199208675072201,0.489735419813006,0.3904027198920062,0.1911940448198052
Lake Erie,MLP,5,7,0.2010204777405097,0.4850945642820782,0.3904027198920064,0.1893822421514967
Lake Erie,PLSR,10,7,0.3697724150906233,-0.1634439276139081,0.31782572815051385,-0.051946686940109454
Lake Erie,XGBoost,10,7,0.2041409826834231,0.3576952141404378,0.3178257281505139,0.11368474546709081
Lake Erie,MLP,10,7,0.2153361216395733,0.3224710720640381,0.3178257281505137,0.10248960651094038
Lake Erie,PLSR,1,8,0.3576557128194399,0.3962388456517203,0.5923794768941273,0.23472376407468737
Lake Erie,XGBoost,1,8,0.2183612097976923,0.6313828810268731,0.5923794768941272,0.3740182670964349
Lake Erie,MLP,1,8,0.2006764105653704,0.6612367156440105,0.5923794768941273,0.3917030663287569
Lake Erie,PLSR,3,8,0.3514437771033543,-0.0138487402841749,0.3466432052441665,-0.004800571859187808
Lake Erie,XGBoost,3,8,0.1996887002999666,0.4239359043582865,0.3466432052441664,0.14695450494419982
Lake Erie,MLP,3,8,0.2040271266134359,0.4114203664141398,0.34664320524416636,0.14261607863073048
Lake Erie,PLSR,5,8,0.2627956455677944,0.1786970044424516,0.31997405193483247,0.05717840636703808
Lake Erie,XGBoost,5,8,0.2344076902508475,0.2674165561001371,0.31997405193483236,0.08556636168398485
Lake Erie,MLP,5,8,0.2474146573187793,0.2267664890625755,0.31997405193483225,0.07255939461605296
Lake Erie,PLSR,10,8,0.302863779665095,0.2025561866024678,0.3797932551514784,0.0769294754863834
Lake Erie,XGBoost,10,8,0.2202996263905376,0.4199485441041921,0.3797932551514784,0.15949362876094078
Lake Erie,MLP,10,8,0.1912653482521915,0.4963961296788494,0.3797932551514784,0.1885279068992869
Lake Erie,PLSR,1,9,0.8525970839441875,-0.2334242572894453,0.6912439710595603,-0.16135311288462728
Lake Erie,XGBoost,1,9,0.3756849974819961,0.4565088192071712,0.6912439710595599,0.31555897357756385
Lake Erie,MLP,1,9,0.2715597795491486,0.6071433574974593,0.69124397105956,0.4196841915104114
Lake Erie,PLSR,3,9,0.2889250203535504,0.3754238108738201,0.46259372217184935,0.17366870181829897
Lake Erie,XGBoost,3,9,0.2172039385830172,0.5304649988160067,0.46259372217184946,0.24538978358883226
Lake Erie,MLP,3,9,0.2723239042500961,0.4113108429473266,0.4625937221718493,0.19026981792175318
Lake Erie,PLSR,5,9,0.2621527008506885,0.2323047873811335,0.341480184928398,0.07932748407770951
Lake Erie,XGBoost,5,9,0.2109675218974649,0.3821968739894246,0.341480184928398,0.1305126630309331
Lake Erie,MLP,5,9,0.2184267975784025,0.3603529258140358,0.34148018492839793,0.12305338734999544
Lake Erie,PLSR,10,9,0.2727803625430451,0.1920312694894892,0.33761252652810336,0.06483216398505826
Lake Erie,XGBoost,10,9,0.2191428415817969,0.3509042826567101,0.33761252652810336,0.11846968494630647
Lake Erie,MLP,10,9,0.1918562496269005,0.431726494519761,0.3376125265281033,0.1457562769012028
Lake Erie,PLSR,1,10,0.3795446524120574,0.4239252340368041,0.6588461760110457,0.27930152359898824
Lake Erie,XGBoost,1,10,0.3408403024473493,0.4826708878578299,0.6588461760110456,0.31800587356369625
Lake Erie,MLP,1,10,0.2641080723007097,0.5991354463175387,0.6588461760110457,0.39473810371033596
Lake Erie,PLSR,3,10,0.3371547320141975,-0.0325561512663649,0.3265243553826463,-0.010630376631551197
Lake Erie,XGBoost,3,10,0.2175517580698654,0.3337349639592085,0.3265243553826463,0.10897259731278089
Lake Erie,MLP,3,10,0.2056382783353782,0.3702206936551411,0.32652435538264624,0.12088607704726803
Lake Erie,PLSR,5,10,0.2829723806184619,0.1278469972205295,0.3244526831818789,0.041480302563417004
Lake Erie,XGBoost,5,10,0.1951140312252645,0.3986363949955283,0.3244526831818789,0.12933865195661443
Lake Erie,MLP,5,10,0.2224961050509882,0.3142417377738846,0.3244526831818788,0.1019565781308906
Lake Erie,PLSR,10,10,0.3205416570842717,0.0626186440782411,0.3419543771438239,0.021412720059552193
Lake Erie,XGBoost,10,10,0.2294451192860748,0.3290183196580203,0.3419543771438239,0.11250925785774907
Lake Erie,MLP,10,10,0.2291839629931657,0.329782036407176,0.34195437714382376,0.11277041415065805
Lake Erie,PLSR,1,11,0.3529419370880162,0.1652683038280468,0.42282081818538475,0.06987888109736856
Lake Erie,XGBoost,1,11,0.5217881379532112,-0.2340644385768869,0.4228208181853848,-0.09896731976782641
Lake Erie,MLP,1,11,0.2072568251587465,0.5098234965192507,0.4228208181853847,0.2155639930266382
Lake Erie,PLSR,3,11,0.3395255224087751,-0.0490816380589633,0.323640705928432,-0.015884816480343067
Lake Erie,XGBoost,3,11,0.200149322116576,0.3815693691617101,0.3236407059284321,0.12349138381185609
Lake Erie,MLP,3,11,0.2023827331955763,0.3746684726765653,0.323640705928432,0.12125797273285574
Lake Erie,PLSR,5,11,0.4045394401340534,-0.2591159825156875,0.3212884620324112,-0.08325097810164223
Lake Erie,XGBoost,5,11,0.2144606417047231,0.3324981430298919,0.3212884620324112,0.10682782032768809
Lake Erie,MLP,5,11,0.2133409175626897,0.3359832482842144,0.3212884620324112,0.10794754446972149
Lake Erie,PLSR,10,11,0.3188781821763376,0.065604530702608,0.341266833273667,0.022388651097329404
Lake Erie,XGBoost,10,11,0.2194055153097252,0.3570851384065441,0.34126683327366697,0.12186131796394176
Lake Erie,MLP,10,11,0.2266327730350514,0.3359074064710378,0.341266833273667,0.11463406023861564
Lake Erie,PLSR,1,12,0.4642558354198495,0.4557344594600937,0.8529951014658336,0.3887392660459841
Lake Erie,XGBoost,1,12,0.5438762244288318,0.3623923195829281,0.8529951014658335,0.3091188770370017
Lake Erie,MLP,1,12,0.3908308368277679,0.541813497434771,0.8529951014658336,0.46216426463806565
Lake Erie,PLSR,3,12,0.3359308097250816,0.0945682029161204,0.37101724475846176,0.03508643503338016
Lake Erie,XGBoost,3,12,0.2097649042778347,0.4346222134213271,0.37101724475846176,0.16125234048062706
Lake Erie,MLP,3,12,0.2159669599986829,0.4179058595555591,0.3710172447584617,0.1550502847597788
Lake Erie,PLSR,5,12,0.3194003910173803,0.0753795733185045,0.34543947175979933,0.026039080742419007
Lake Erie,XGBoost,5,12,0.2745543271575105,0.205202787594438,0.34543947175979933,0.07088514460228884
Lake Erie,MLP,5,12,0.215100716194629,0.3773128505785597,0.3454394717597992,0.13033875556517022
Lake Erie,PLSR,10,12,0.2691261356191179,0.156170321613533,0.31893419261506895,0.04980805699595103
Lake Erie,XGBoost,10,12,0.3570533498151046,-0.1195204430490095,0.318934192615069,-0.038119157200035614
Lake Erie,MLP,10,12,0.2669465701712211,0.1630042247510007,0.318934192615069,0.051987622443847914
Lake Erie,PLSR,1,13,0.3537279944951447,0.1912637083506208,0.43738360706723123,0.08365561257208654
Lake Erie,XGBoost,1,13,0.226995771143913,0.4810144406734352,0.4373836070672311,0.2103878359233181
Lake Erie,MLP,1,13,0.2583376056684299,0.4093568995550187,0.43738360706723123,0.17904600139880134
Lake Erie,PLSR,3,13,0.3488586210394102,-0.06875970540999,0.32641445835384153,-0.022444162685568647
Lake Erie,XGBoost,3,13,0.2050020694772047,0.3719577428321058,0.32641445835384136,0.12141238887663666
Lake Erie,MLP,3,13,0.245968655481431,0.2464529323044748,0.3264144583538414,0.08044580287241043
Lake Erie,PLSR,5,13,0.284589775028474,0.1391809371099681,0.33060347834866577,0.04601370332019178
Lake Erie,XGBoost,5,13,0.2005441291448632,0.3933998090989212,0.3306034783486657,0.13005934920380252
Lake Erie,MLP,5,13,0.2474216305568654,0.2516060801635398,0.33060347834866566,0.08318184779180027
Lake Erie,PLSR,10,13,0.2631006149851438,0.1846752720253913,0.3226942686817296,0.05959365369658581
Lake Erie,XGBoost,10,13,0.2372226118425742,0.2648688324699284,0.3226942686817297,0.08547165683915547
Lake Erie,MLP,10,13,0.2072584178131652,0.3577251240404474,0.3226942686817296,0.11543585086856442
Lake Erie,PLSR,1,14,0.3397595062090306,0.3147764742444272,0.4958374845378434,0.15607797832881276
Lake Erie,XGBoost,1,14,0.2221075552669925,0.5520557285123973,0.4958374845378435,0.273729929270851
Lake Erie,MLP,1,14,0.2425600658287301,0.5108073138865512,0.4958374845378434,0.25327741870911324
Lake Erie,PLSR,3,14,0.3369309364897279,-0.0541378820988511,0.3196270067417552,-0.01730392974797268
Lake Erie,XGBoost,3,14,0.2040775968345962,0.3615132759585149,0.3196270067417552,0.115549409907159
Lake Erie,MLP,3,14,0.2284630443367735,0.2852198269542345,0.31962700674175515,0.09116396240498165
Lake Erie,PLSR,5,14,0.517305157889603,-0.6197538274290558,0.3193726990681998,-0.19793245882140315
Lake Erie,XGBoost,5,14,0.4825803622149383,-0.5110257029253135,0.31937269906819976,-0.1632076631467385
Lake Erie,MLP,5,14,0.322772294291402,-0.0106446015162685,0.3193726990681999,-0.003399595223202101
Lake Erie,PLSR,10,14,0.5602160304290885,-0.6637668466039889,0.33671546282756476,-0.22350056760152376
Lake Erie,XGBoost,10,14,0.3823808758697848,-0.135620180025424,0.3367154628275647,-0.045665413042220104
Lake Erie,MLP,10,14,0.3533330463314652,-0.0493520044218772,0.3367154628275647,-0.016617583503900468
Lake Erie,PLSR,1,15,0.6433445247759831,-0.91377388864056,0.336165374319764,-0.30717915045621913
Lake Erie,XGBoost,1,15,0.2531212585990659,0.2470335126525273,0.336165374319764,0.08304411572069809
Lake Erie,MLP,1,15,0.9184621724701052,-1.7321735827400189,0.33616537431976407,-0.5822967981503411
Lake Erie,PLSR,3,15,0.3221077458348342,-0.0049362415365317,0.32052555423115614,-0.0015821916036780626
Lake Erie,XGBoost,3,15,0.2009311090036043,0.3731198337156747,0.3205255542311561,0.11959444522755178
Lake Erie,MLP,3,15,0.2184783303671599,0.318374679750667,0.3205255542311561,0.10204722386399617
Lake Erie,PLSR,5,15,0.4083821003274727,0.2007058388136324,0.5109284193048305,0.10254631897735778
Lake Erie,XGBoost,5,15,0.3150138201655512,0.3834482246482951,0.5109284193048302,0.19591459913927906
Lake Erie,MLP,5,15,0.2455672790731403,0.5193704734589553,0.5109284193048305,0.26536114023169016
Lake Erie,PLSR,10,15,0.3987809685106594,-0.1285317306531985,0.35336265378601817,-0.04541831472464125
Lake Erie,XGBoost,10,15,0.3203598879538977,0.0933963013480835,0.35336265378601817,0.03300276583212047
Lake Erie,MLP,10,15,0.2926129991364103,0.1719187137620042,0.35336265378601805,0.06074965464960774
Lake Erie,PLSR,1,16,0.8899932142338466,-1.7037918762551336,0.32916483143983927,-0.5608283827940073
Lake Erie,XGBoost,1,16,0.3071522345986623,0.0668740827388762,0.3291648314398392,0.0220125968411769
