lake,learner,k,lake_label_only_log_mae,lake_calibrated_log_mae,lake_source_only_log_mae,lake_paired_delta_mae,repeat_count,positive_delta_repeat_fraction,median_component_difference,median_pairing_gap
Branched Oak Lake,MLP,1,0.13297640667854957,0.09630063486726459,,0.03580894182156219,100,0.83,0.03667577181128498,-0.0008668299897227894
Branched Oak Lake,MLP,3,0.12461374854946228,0.08281080639534935,,0.0416182962472901,100,0.94,0.041802942154112926,-0.00018464590682282928
Branched Oak Lake,MLP,5,0.12299841143623078,0.07462811714849624,,0.050935960715932704,100,0.96,0.04837029428773454,0.0025656664281981656
Branched Oak Lake,MLP,10,0.11729998048735434,0.06806426804303034,,0.048141274112370555,100,0.99,0.049235712444323995,-0.00109443833195344
Branched Oak Lake,PLSR,1,0.1329764066785496,0.1297553347327569,,0.008249081670630737,100,0.69,0.003221071945792686,0.005028009724838051
Branched Oak Lake,PLSR,3,0.12461374854946235,0.12071269273889434,,0.007502530151917909,100,0.68,0.003901055810568002,0.003601474341349907
Branched Oak Lake,PLSR,5,0.12299841143623083,0.1208372285101289,,0.003391964901278445,100,0.61,0.002161182926101929,0.0012307819751765162
Branched Oak Lake,PLSR,10,0.1172999804873543,0.0916130719242385,,0.026300912394254736,100,0.93,0.0256869085631158,0.0006140038311389373
Branched Oak Lake,XGBoost,1,0.13297640667854957,0.1005499495736173,,0.03754231600470486,100,0.74,0.03242645710493226,0.005115858899772598
Branched Oak Lake,XGBoost,3,0.1246137485494623,0.08822769936735055,,0.03824945053938374,100,0.92,0.03638604918211176,0.0018634013572719835
Branched Oak Lake,XGBoost,5,0.12299841143623086,0.0947155076724832,,0.031667026886576695,100,0.88,0.02828290376374766,0.0033841231228290344
Branched Oak Lake,XGBoost,10,0.11729998048735432,0.09577542687416116,,0.0239202967848144,100,0.92,0.021524553613193165,0.002395743171621237
Chaohu,MLP,1,0.2959754521899238,0.18705863236400166,,0.11811804329766729,100,1.0,0.10891681982592216,0.009201223471745124
Chaohu,MLP,3,0.2867006262760693,0.17677966498417594,,0.10958438660907281,100,0.99,0.10992096129189335,-0.00033657468282054237
Chaohu,MLP,5,0.28058440879997676,0.198776597361095,,0.09114487270060372,100,0.9,0.08180781143888177,0.009337061261721943
Chaohu,MLP,10,0.2808181702762701,0.18861250636697902,,0.0904119878337256,100,0.92,0.09220566390929108,-0.0017936760755654785
Chaohu,PLSR,1,0.29597545218992394,0.20593457816869,,0.10281674045279293,100,1.0,0.09004087402123392,0.012775866431559008
Chaohu,PLSR,3,0.2867006262760693,0.17430520781511474,,0.10730538783461754,100,0.98,0.11239541846095455,-0.005090030626337005
Chaohu,PLSR,5,0.2805844087999768,0.1981734120454462,,0.07944332261828012,100,0.89,0.08241099675453062,-0.0029676741362505005
Chaohu,PLSR,10,0.2808181702762701,0.21514598230683107,,0.05579231640391158,100,0.82,0.06567218796943902,-0.009879871565527443
Chaohu,XGBoost,1,0.29597545218992394,0.1880085990503119,,0.11004396605948441,100,1.0,0.10796685313961205,0.002077112919872365
Chaohu,XGBoost,3,0.28670062627606935,0.1891250292852813,,0.09993096171884354,100,0.92,0.09757559699078805,0.0023553647280554896
Chaohu,XGBoost,5,0.2805844087999767,0.2052583937646339,,0.07374977208481523,100,0.85,0.07532601503534281,-0.0015762429505275788
Chaohu,XGBoost,10,0.2808181702762701,0.21754255039619141,,0.05937546334657491,100,0.89,0.06327561988007868,-0.003900156533503771
Dianchi,MLP,1,0.11186664937867585,0.31629126712497657,,-0.20680516985182512,100,0.0,-0.20442461774630072,-0.0023805521055244028
Dianchi,MLP,3,0.11082710624276673,0.31063627348455747,,-0.19215466764897263,100,0.02,-0.19980916724179074,0.007654499592818109
Dianchi,MLP,5,0.10763553221052043,0.1808056175168712,,-0.07426084609289157,100,0.01,-0.07317008530635076,-0.0010907607865408148
Dianchi,MLP,10,0.1047490976182657,0.14115957997606135,,-0.03365513105287823,100,0.04,-0.03641048235779565,0.002755351304917421
Dianchi,PLSR,1,0.11186664937867585,0.32429925143371224,,-0.18313907243817562,100,0.0,-0.2124326020550364,0.02929352961686077
Dianchi,PLSR,3,0.11082710624276673,0.2551225156715957,,-0.1401184203420956,100,0.01,-0.14429540942882899,0.00417698908673339
Dianchi,PLSR,5,0.1076355322105204,0.20251696113258205,,-0.09015186214509968,100,0.01,-0.09488142892206165,0.0047295667769619715
Dianchi,PLSR,10,0.10474909761826573,0.18334951986505343,,-0.076530130368369,100,0.02,-0.0786004222467877,0.0020702918784187008
Dianchi,XGBoost,1,0.11186664937867583,0.2562317391760235,,-0.13720143751778865,100,0.0,-0.14436508979734766,0.007163652279559007
Dianchi,XGBoost,3,0.11082710624276673,0.23136900557522205,,-0.11427575124041728,100,0.02,-0.12054189933245532,0.006266148092038043
Dianchi,XGBoost,5,0.10763553221052041,0.2043294284915556,,-0.0967105869356432,100,0.01,-0.0966938962810352,-1.669065460800645e-05
Dianchi,XGBoost,10,0.10474909761826576,0.16687301511968894,,-0.06371405594545984,100,0.01,-0.06212391750142318,-0.0015901384440366595
Eagle Creek Reservoir,MLP,1,0.18641168986549328,0.1302906088852774,,0.05121814720523728,100,0.8,0.05612108098021587,-0.004902933774978593
Eagle Creek Reservoir,MLP,3,0.16403819964163738,0.1218843387936144,,0.043018683191562615,100,0.93,0.04215386084802297,0.0008648223435396424
Eagle Creek Reservoir,MLP,5,0.15457507387280323,0.13259142464281445,,0.02779363100999361,100,0.74,0.021983649229988772,0.005809981780004837
Eagle Creek Reservoir,MLP,10,0.15411084241874534,0.12276879028540635,,0.03134886686231882,100,0.92,0.03134205213333899,6.81472897982871e-06
Eagle Creek Reservoir,PLSR,1,0.18641168986549328,0.1794327889529338,,0.013637734039535984,100,0.61,0.0069789009125594825,0.006658833126976502
Eagle Creek Reservoir,PLSR,3,0.1640381996416374,0.16490969019714935,,0.0006490035754764395,100,0.5,-0.0008714905555119445,0.001520494130988384
Eagle Creek Reservoir,PLSR,5,0.15457507387280328,0.14150278846471304,,0.018258283816122767,100,0.71,0.013072285408090245,0.005185998408032522
Eagle Creek Reservoir,PLSR,10,0.15411084241874537,0.12348302060996745,,0.030219003441847192,100,0.88,0.03062782180877792,-0.00040881836693072715
Eagle Creek Reservoir,XGBoost,1,0.18641168986549328,0.1611917418356564,,0.007913753663124398,100,0.73,0.025219948029836875,-0.017306194366712477
Eagle Creek Reservoir,XGBoost,3,0.1640381996416374,0.15396067836813485,,0.009506363421323438,100,0.71,0.01007752127350256,-0.0005711578521791216
Eagle Creek Reservoir,XGBoost,5,0.15457507387280328,0.16320382961648922,,-0.0070171031688170404,100,0.35,-0.008628755743685934,0.0016116525748688937
Eagle Creek Reservoir,XGBoost,10,0.15411084241874537,0.13299644407244648,,0.02156472659612814,100,0.83,0.021114398346298885,0.00045032824982925435
Erhai,MLP,1,0.147949451772947,0.1632048328340375,,-0.014445016381506734,100,0.34,-0.015255381061090506,0.0008103646795837721
Erhai,MLP,3,0.14776791113532367,0.14899031744831853,,0.0016946170975478264,100,0.52,-0.0012224063129948615,0.002917023410542688
Erhai,MLP,5,0.14336541700649347,0.12382750396913411,,0.01773133112053471,100,0.62,0.019537913037359356,-0.0018065819168246455
Erhai,MLP,10,0.13795211322824114,0.0995039557592757,,0.039528837118613075,100,0.89,0.03844815746896543,0.0010806796496476423
Erhai,PLSR,1,0.14794945177294694,0.0970554921766154,,0.05298004380241603,100,0.85,0.05089395959633154,0.0020860842060844847
Erhai,PLSR,3,0.14776791113532373,0.10053047493404235,,0.0441089225824042,100,0.84,0.047237436201281374,-0.003128513618877171
Erhai,PLSR,5,0.14336541700649347,0.11233778437627745,,0.033124699059512284,100,0.71,0.031027632630216018,0.002097066429296267
Erhai,PLSR,10,0.1379521132282412,0.10300221896438765,,0.03488426305581322,100,0.86,0.034949894263853545,-6.563120804032457e-05
Erhai,XGBoost,1,0.14794945177294694,0.1153995045283598,,0.03024525372846284,100,0.8,0.03254994724458714,-0.0023046935161242996
Erhai,XGBoost,3,0.14776791113532364,0.11311905317084645,,0.028390476207881092,100,0.76,0.0346488579644772,-0.006258381756596106
Erhai,XGBoost,5,0.14336541700649347,0.12845741870904054,,0.01442267876629106,100,0.56,0.014907998297452929,-0.0004853195311618694
Erhai,XGBoost,10,0.13795211322824114,0.12097146459792775,,0.02279167665789268,100,0.76,0.016980648630313386,0.005811028027579296
Garda,MLP,1,0.30984806431434975,0.26851124751137556,,0.03271305833761062,100,0.67,0.041336816802974186,-0.008623758465363562
Garda,MLP,3,0.2947525449558406,0.2581272168865152,,0.032726683442115864,100,0.83,0.03662532806932539,-0.003898644627209527
Garda,MLP,5,0.28626304701103095,0.283507994504661,,0.007937041142023538,100,0.6,0.002755052506369926,0.0051819886356536116
Garda,MLP,10,0.27639322652450715,0.28912715875025846,,-0.00749905350377883,100,0.44,-0.01273393222575131,0.00523487872197248
Garda,PLSR,1,0.3098480643143498,0.31770728017925215,,-0.010846524756282228,100,0.27,-0.007859215864902347,-0.0029873088913798806
Garda,PLSR,3,0.29475254495584063,0.3009289715933586,,-0.009892165239713618,100,0.35,-0.00617642663751794,-0.0037157386021956784
Garda,PLSR,5,0.2862630470110309,0.31424396179887804,,-0.01830572515007836,100,0.37,-0.027980914787847144,0.009675189637768783
Garda,PLSR,10,0.2763932265245071,0.29207399128390443,,-0.01993617622144582,100,0.35,-0.015680764759397336,-0.004255411462048483
Garda,XGBoost,1,0.3098480643143498,0.3302345579148568,,-0.01549712504713932,100,0.42,-0.020386493600506983,0.004889368553367662
Garda,XGBoost,3,0.29475254495584063,0.29433922892173425,,0.005848570089352412,100,0.55,0.0004133160341063813,0.0054352540552460304
Garda,XGBoost,5,0.286263047011031,0.3226581036494709,,-0.04085928366013128,100,0.31,-0.03639505663843989,-0.004464227021691386
Garda,XGBoost,10,0.27639322652450704,0.2865570561832762,,-0.019150994549523515,100,0.38,-0.010163829658769163,-0.008987164890754351
Geist Reservoir,MLP,1,0.11524119228820695,0.1423703557851745,,-0.03029664509760243,100,0.15,-0.027129163496967562,-0.003167481600634868
Geist Reservoir,MLP,3,0.10281388333483264,0.12735962107836063,,-0.02120544664014553,100,0.1,-0.024545737743527987,0.0033402911033824575
Geist Reservoir,MLP,5,0.10238960800373732,0.1357883664384142,,-0.030881459193647466,100,0.03,-0.033398758434676865,0.0025172992410293984
Geist Reservoir,MLP,10,0.10342183909404679,0.12610843103935454,,-0.02587170400931605,100,0.03,-0.022686591945307755,-0.0031851120640082956
Geist Reservoir,PLSR,1,0.115241192288207,0.1463988098660124,,-0.019412077203287928,100,0.29,-0.031157617577805385,0.011745540374517457
Geist Reservoir,PLSR,3,0.10281388333483264,0.1227357351425715,,-0.018494835863696574,100,0.15,-0.019921851807738852,0.0014270159440422786
Geist Reservoir,PLSR,5,0.1023896080037373,0.1208787272909832,,-0.015342965154218471,100,0.1,-0.018489119287245906,0.0031461541330274345
Geist Reservoir,PLSR,10,0.10342183909404676,0.11549586082330054,,-0.013731343514697875,100,0.17,-0.012074021729253787,-0.001657321785444088
Geist Reservoir,XGBoost,1,0.115241192288207,0.1649590063421045,,-0.04063958148935825,100,0.23,-0.0497178140538975,0.009078232564539247
Geist Reservoir,XGBoost,3,0.10281388333483263,0.14514387373497106,,-0.03826448811845075,100,0.02,-0.042329990400138434,0.004065502281687686
Geist Reservoir,XGBoost,5,0.10238960800373736,0.15535393798492464,,-0.0512978260861964,100,0.02,-0.052964329981187275,0.0016665038949908728
Geist Reservoir,XGBoost,10,0.10342183909404679,0.14363348593800868,,-0.038953340483209496,100,0.01,-0.04021164684396189,0.001258306360752394
High Rock Lake,MLP,1,0.2624087705767716,0.3024791497590484,,-0.03356810304326188,100,0.38,-0.040070379182276794,0.006502276139014912
High Rock Lake,MLP,3,0.23626673185838032,0.2197441670718781,,0.021134521300937043,100,0.71,0.016522564786502214,0.0046119565144348285
High Rock Lake,MLP,5,0.2296289182946229,0.21519728601061405,,0.01937163761094106,100,0.65,0.014431632284008844,0.004940005326932215
High Rock Lake,MLP,10,0.22966553357713432,0.2198406076765187,,0.006665153751539685,100,0.59,0.009824925900615622,-0.0031597721490759373
High Rock Lake,PLSR,1,0.2624087705767716,0.4405916218443443,,-0.17423007279578445,100,0.16,-0.17818285126757272,0.003952778471788265
High Rock Lake,PLSR,3,0.23626673185838032,0.3149059600124161,,-0.05269730851061774,100,0.26,-0.07863922815403579,0.02594191964341805
High Rock Lake,PLSR,5,0.22962891829462284,0.19768128330671486,,0.0386455039086063,100,0.71,0.03194763498790798,0.006697868920698319
High Rock Lake,PLSR,10,0.22966553357713435,0.20951158981687895,,0.019459690821745923,100,0.63,0.020153943760255394,-0.0006942529385094709
High Rock Lake,XGBoost,1,0.2624087705767716,0.30336427350966355,,-0.007415667906222889,100,0.49,-0.04095550293289196,0.033539835026669074
High Rock Lake,XGBoost,3,0.23626673185838032,0.21751952924683693,,0.02439284613428977,100,0.76,0.01874720261154339,0.00564564352274638
High Rock Lake,XGBoost,5,0.22962891829462284,0.19284389295792745,,0.040617641253043485,100,0.75,0.03678502533669539,0.003832615916348092
