lake,learner,k,rep,label_only_log_mae,calibrated_log_mae,source_only_log_mae,paired_delta_mae,rer_log,rer_reconstruction_denominator,reconstructed_rer
Lake Erie,PLSR,1,0,0.3221606269909022,0.3635225421711171,,-0.041361915180214925,-0.1283891029225365,1.1283891029225366,-0.1283891029225367
Lake Erie,XGBoost,1,0,0.32216062699090214,0.2048259375668588,,0.11733468942404335,0.3642117501380434,0.6357882498619566,0.3642117501380434
Lake Erie,MLP,1,0,0.32216062699090225,0.2155947486672616,,0.10656587832364064,0.3307849131383796,0.6692150868616205,0.3307849131383796
Lake Erie,PLSR,3,0,0.5396912626786327,0.4409842499826785,,0.09870701269595417,0.1828953286682678,0.8171046713317323,0.1828953286682676
Lake Erie,XGBoost,3,0,0.5396912626786328,0.2640403089702275,,0.27565095370840526,0.5107567375330632,0.48924326246693683,0.5107567375330632
Lake Erie,MLP,3,0,0.5396912626786328,0.2303682517534663,,0.30932301092516645,0.5731480692469109,0.42685193075308914,0.5731480692469108
Lake Erie,PLSR,5,0,0.3496845657225656,0.3050207649423159,,0.04466380078024973,0.1277259675750906,0.8722740324249094,0.1277259675750906
Lake Erie,XGBoost,5,0,0.3496845657225655,0.1900947520661892,,0.1595898136563763,0.4563821933712984,0.5436178066287016,0.4563821933712984
Lake Erie,MLP,5,0,0.3496845657225655,0.2124837058731944,,0.1372008598493711,0.3923560527823343,0.6076439472176657,0.3923560527823344
Lake Erie,PLSR,10,0,0.3167195094139625,0.2700052440746077,,0.0467142653393548,0.1474941153794116,0.8525058846205884,0.14749411537941168
Lake Erie,XGBoost,10,0,0.3167195094139624,0.2708847446053151,,0.04583476480864729,0.1447172087576321,0.855282791242368,0.14471720875763205
Lake Erie,MLP,10,0,0.31671950941396243,0.2734695299384291,,0.04324997947553333,0.136556090876749,0.863443909123251,0.13655609087674903
Lake Erie,PLSR,1,1,0.3522290697205229,0.7132024037232038,,-0.36097333400268083,-1.024825475196699,2.0248254751966988,-1.024825475196699
Lake Erie,XGBoost,1,1,0.3522290697205229,0.5208710464005738,,-0.16864197668005088,-0.4787849339806364,1.4787849339806365,-0.4787849339806364
Lake Erie,MLP,1,1,0.352229069720523,0.3229265099546177,,0.02930255976590529,0.0831917676676651,0.9168082323323349,0.08319176766766526
Lake Erie,PLSR,3,1,0.5494496231613666,0.4387284811168547,,0.11072114204451189,0.2015128145731139,0.7984871854268861,0.20151281457311382
