learner,k,method,estimand,contrast,query_scope,delta_definition,positive_means,mean_delta_mae,median_delta_mae,ci_lo,ci_hi,classification,n_lakes,mean_n_usable_repeats_per_lake,multiplicity_adjusted,candidate_repeats,usable_repeats,usable_repeat_fraction,n_lakes_available_repeat,n_lakes_usable_repeats_50plus,n_lakes_usable_repeats_lt50,min_usable_repeats_per_lake,median_usable_repeats_per_lake,max_usable_repeats_per_lake,frozen_summary_n_lakes,all_lakes_entered_frozen_summary
PLSR,1,farthest_point_kennard_stone,fourway_common_query,farthest_point_kennard_stone_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.110233,-0.061432,-0.166498,-0.059592,random_better,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
PLSR,1,unweighted_d_optimal,fourway_common_query,unweighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.413283,-0.06673,-0.762953,-0.144841,random_better,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
PLSR,1,proposed_weighted_d_optimal,fourway_common_query,proposed_weighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.055926,-0.010955,-0.105629,-0.014834,random_better,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
PLSR,3,farthest_point_kennard_stone,fourway_common_query,farthest_point_kennard_stone_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.027428,0.002893,-0.06675,0.004399,unresolved,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
PLSR,3,unweighted_d_optimal,fourway_common_query,unweighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.020881,0.003427,-0.068728,0.01435,unresolved,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
PLSR,3,proposed_weighted_d_optimal,fourway_common_query,proposed_weighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.030776,0.001848,-0.068077,-0.003024,random_better,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
PLSR,5,farthest_point_kennard_stone,fourway_common_query,farthest_point_kennard_stone_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.010741,-0.001556,-0.030428,0.004899,unresolved,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
PLSR,5,unweighted_d_optimal,fourway_common_query,unweighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.01493,-0.001644,-0.035863,0.002058,unresolved,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
PLSR,5,proposed_weighted_d_optimal,fourway_common_query,proposed_weighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.012946,-0.002483,-0.027481,-0.000511,random_better,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
PLSR,10,farthest_point_kennard_stone,fourway_common_query,farthest_point_kennard_stone_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.002248,0.004368,-0.012104,0.006014,unresolved,24,75.1,False,2400,1803,0.7512500000000001,24,18,6,3,100.0,100,24,True
PLSR,10,unweighted_d_optimal,fourway_common_query,unweighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.023321,-0.008457,-0.040739,-0.008329,random_better,24,75.1,False,2400,1803,0.7512500000000001,24,18,6,3,100.0,100,24,True
PLSR,10,proposed_weighted_d_optimal,fourway_common_query,proposed_weighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.01464,-0.005009,-0.026261,-0.004819,random_better,24,75.1,False,2400,1803,0.7512500000000001,24,18,6,3,100.0,100,24,True
XGBoost,1,farthest_point_kennard_stone,fourway_common_query,farthest_point_kennard_stone_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.045058,-0.007881,-0.090241,-0.009799,random_better,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,1,unweighted_d_optimal,fourway_common_query,unweighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.07661,-0.00253,-0.147836,-0.018163,random_better,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,1,proposed_weighted_d_optimal,fourway_common_query,proposed_weighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.05591,-0.018183,-0.097484,-0.019071,random_better,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,3,farthest_point_kennard_stone,fourway_common_query,farthest_point_kennard_stone_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.014326,0.001647,-0.035555,0.00301,unresolved,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,3,unweighted_d_optimal,fourway_common_query,unweighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,0.003635,0.00876,-0.009926,0.015173,unresolved,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,3,proposed_weighted_d_optimal,fourway_common_query,proposed_weighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.024911,0.003917,-0.056552,0.000508,unresolved,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,5,farthest_point_kennard_stone,fourway_common_query,farthest_point_kennard_stone_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,0.006142,0.012127,-0.004005,0.015908,unresolved,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,5,unweighted_d_optimal,fourway_common_query,unweighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.004229,0.005524,-0.019618,0.009787,unresolved,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,5,proposed_weighted_d_optimal,fourway_common_query,proposed_weighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.007525,0.001391,-0.023651,0.006024,unresolved,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,10,farthest_point_kennard_stone,fourway_common_query,farthest_point_kennard_stone_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.005221,0.001072,-0.013389,0.002157,unresolved,24,75.8,False,2400,1819,0.7579166666666667,24,18,6,1,100.0,100,24,True
XGBoost,10,unweighted_d_optimal,fourway_common_query,unweighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.006674,0.000714,-0.021022,0.005067,unresolved,24,75.8,False,2400,1819,0.7579166666666667,24,18,6,1,100.0,100,24,True
