learner,k,method,available_repeat_n_lakes,available_repeat_mean_delta_mae,available_repeat_median_delta_mae,available_repeat_ci_lo,available_repeat_ci_hi,available_repeat_classification,threshold50_n_lakes,threshold50_n_lakes_excluded,threshold50_mean_delta_mae,threshold50_median_delta_mae,threshold50_ci_lo,threshold50_ci_hi,threshold50_classification,threshold50_positive_lake_fraction,mean_delta_mae_change_threshold50_minus_available,classification_changed
PLSR,1,farthest_point_kennard_stone,24,-0.110233,-0.061432,-0.166498,-0.059592,random_better,24,0,-0.11023275028726102,-0.06143204996603025,-0.16649763291687947,-0.05959219559994062,random_better,0.25,2.497127389727849e-07,False
PLSR,1,unweighted_d_optimal,24,-0.413283,-0.06673,-0.762953,-0.144841,random_better,24,0,-0.413283096089931,-0.0667300362777101,-0.7629530889145255,-0.14484094392313393,random_better,0.20833333333333334,-9.608993101206664e-08,False
PLSR,1,proposed_weighted_d_optimal,24,-0.055926,-0.010955,-0.105629,-0.014834,random_better,24,0,-0.05592624795303048,-0.010955180739785875,-0.1056292538163113,-0.014833622342104258,random_better,0.375,-2.479530304827504e-07,False
PLSR,3,farthest_point_kennard_stone,24,-0.027428,0.002893,-0.06675,0.004399,unresolved,24,0,-0.027428009416784787,0.0028934583338508253,-0.0667495553403626,0.004398782691376245,unresolved,0.625,-9.416784785970522e-09,False
PLSR,3,unweighted_d_optimal,24,-0.020881,0.003427,-0.068728,0.01435,unresolved,24,0,-0.020880741732759278,0.003427104489000775,-0.06872798889581215,0.014349974439146122,unresolved,0.5416666666666666,2.582672407221154e-07,False
PLSR,3,proposed_weighted_d_optimal,24,-0.030776,0.001848,-0.068077,-0.003024,random_better,24,0,-0.03077600883662725,0.00184790156178415,-0.06807661575445072,-0.00302370631829102,random_better,0.5416666666666666,-8.836627249375617e-09,False
PLSR,5,farthest_point_kennard_stone,24,-0.010741,-0.001556,-0.030428,0.004899,unresolved,24,0,-0.010741169734116726,-0.0015555212434888496,-0.030428255172633333,0.004899451709259386,unresolved,0.5,-1.6973411672525918e-07,False
PLSR,5,unweighted_d_optimal,24,-0.01493,-0.001644,-0.035863,0.002058,unresolved,24,0,-0.01492997407387951,-0.0016437761512809001,-0.03586335816652445,0.0020578324080001847,unresolved,0.5,2.5926120490044058e-08,False
PLSR,5,proposed_weighted_d_optimal,24,-0.012946,-0.002483,-0.027481,-0.000511,random_better,24,0,-0.01294600396710175,-0.002482641082321,-0.027481199837907935,-0.00051117161549873,random_better,0.4583333333333333,-3.967101751267688e-09,False
PLSR,10,farthest_point_kennard_stone,24,-0.002248,0.004368,-0.012104,0.006014,unresolved,18,6,-0.0040004125897880214,0.0043684481022779505,-0.016523088685274617,0.006755609186461312,unresolved,0.6666666666666666,-0.0017524125897880214,False
