learner,k,method,candidate_repeats,usable_repeats,usable_repeat_fraction,n_lakes_available_repeat,n_lakes_usable_repeats_50plus,n_lakes_usable_repeats_lt50,min_usable_repeats_per_lake,median_usable_repeats_per_lake,max_usable_repeats_per_lake,frozen_summary_n_lakes,all_lakes_entered_frozen_summary
MLP,1,farthest_point_kennard_stone,2400,2400,1.0,24,24,0,100,100.0,100,24,True
MLP,1,proposed_weighted_d_optimal,2400,2400,1.0,24,24,0,100,100.0,100,24,True
MLP,1,unweighted_d_optimal,2400,2400,1.0,24,24,0,100,100.0,100,24,True
MLP,3,farthest_point_kennard_stone,2400,2400,1.0,24,24,0,100,100.0,100,24,True
MLP,3,proposed_weighted_d_optimal,2400,2400,1.0,24,24,0,100,100.0,100,24,True
MLP,3,unweighted_d_optimal,2400,2400,1.0,24,24,0,100,100.0,100,24,True
MLP,5,farthest_point_kennard_stone,2400,2400,1.0,24,24,0,100,100.0,100,24,True
MLP,5,proposed_weighted_d_optimal,2400,2400,1.0,24,24,0,100,100.0,100,24,True
MLP,5,unweighted_d_optimal,2400,2400,1.0,24,24,0,100,100.0,100,24,True
MLP,10,farthest_point_kennard_stone,2400,1812,0.755,24,18,6,1,100.0,100,24,True
MLP,10,proposed_weighted_d_optimal,2400,1812,0.755,24,18,6,1,100.0,100,24,True
MLP,10,unweighted_d_optimal,2400,1812,0.755,24,18,6,1,100.0,100,24,True
PLSR,1,farthest_point_kennard_stone,2400,2400,1.0,24,24,0,100,100.0,100,24,True
PLSR,1,proposed_weighted_d_optimal,2400,2400,1.0,24,24,0,100,100.0,100,24,True
PLSR,1,unweighted_d_optimal,2400,2400,1.0,24,24,0,100,100.0,100,24,True
PLSR,3,farthest_point_kennard_stone,2400,2400,1.0,24,24,0,100,100.0,100,24,True
PLSR,3,proposed_weighted_d_optimal,2400,2400,1.0,24,24,0,100,100.0,100,24,True
PLSR,3,unweighted_d_optimal,2400,2400,1.0,24,24,0,100,100.0,100,24,True
PLSR,5,farthest_point_kennard_stone,2400,2400,1.0,24,24,0,100,100.0,100,24,True
PLSR,5,proposed_weighted_d_optimal,2400,2400,1.0,24,24,0,100,100.0,100,24,True
PLSR,5,unweighted_d_optimal,2400,2400,1.0,24,24,0,100,100.0,100,24,True
PLSR,10,farthest_point_kennard_stone,2400,1803,0.7512500000000001,24,18,6,3,100.0,100,24,True
PLSR,10,proposed_weighted_d_optimal,2400,1803,0.7512500000000001,24,18,6,3,100.0,100,24,True
PLSR,10,unweighted_d_optimal,2400,1803,0.7512500000000001,24,18,6,3,100.0,100,24,True
XGBoost,1,farthest_point_kennard_stone,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,1,proposed_weighted_d_optimal,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,1,unweighted_d_optimal,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,3,farthest_point_kennard_stone,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,3,proposed_weighted_d_optimal,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,3,unweighted_d_optimal,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,5,farthest_point_kennard_stone,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,5,proposed_weighted_d_optimal,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,5,unweighted_d_optimal,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,10,farthest_point_kennard_stone,2400,1819,0.7579166666666667,24,18,6,1,100.0,100,24,True
XGBoost,10,proposed_weighted_d_optimal,2400,1819,0.7579166666666667,24,18,6,1,100.0,100,24,True
XGBoost,10,unweighted_d_optimal,2400,1819,0.7579166666666667,24,18,6,1,100.0,100,24,True
