learner,k,method,estimand,query_scope,delta_definition,positive_means,threshold_usable_repeats,n_lakes,n_lakes_excluded,mean_delta_mae,median_delta_mae,ci_lo,ci_hi,positive_lake_fraction,classification,bootstrap_n,bootstrap_seed,multiplicity_adjusted
MLP,1,farthest_point_kennard_stone,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.06777962936533148,-0.036042537699614054,-0.12780014286427524,-0.02282048626192281,0.375,random_better,10000,0,False
MLP,1,proposed_weighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.03996950533572659,-0.013086491323245901,-0.07448494077507246,-0.009167273796764921,0.4583333333333333,random_better,10000,0,False
MLP,1,unweighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.3251660760832386,-0.04852960328668415,-0.6888883948349205,-0.06148276702483486,0.4166666666666667,random_better,10000,0,False
MLP,3,farthest_point_kennard_stone,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.026897179299812123,0.008316490278768124,-0.060718918181699416,0.0006102541965610002,0.625,unresolved,10000,0,False
MLP,3,proposed_weighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.01922711354236427,0.0038209218369684,-0.0490677493857805,0.004192426309088049,0.5833333333333334,unresolved,10000,0,False
MLP,3,unweighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.003928947985806359,0.007570373203294025,-0.02254740620292053,0.016241035839445937,0.5416666666666666,unresolved,10000,0,False
MLP,5,farthest_point_kennard_stone,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.008864245765868972,-1.0075470376750043e-05,-0.029753140699240416,0.005672703682887134,0.5,unresolved,10000,0,False
MLP,5,proposed_weighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.012573607723750947,-0.010370238347323774,-0.029786144636172955,0.0014408267113199772,0.4583333333333333,unresolved,10000,0,False
MLP,5,unweighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.004534095686512894,0.0044380403662849744,-0.016709782464586907,0.0060514127349832495,0.5416666666666666,unresolved,10000,0,False
MLP,10,farthest_point_kennard_stone,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,18,6,-0.0007621836806804047,0.00337931727095425,-0.012057229416411677,0.00781772707906838,0.6111111111111112,unresolved,10000,0,False
MLP,10,proposed_weighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,18,6,-0.009578661928000439,0.0005922708476651,-0.02520089517797655,0.003719247444843584,0.5,unresolved,10000,0,False
MLP,10,unweighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,18,6,-0.018797586243557974,-0.0044561494532359,-0.040389924772615764,-0.0026801329017707627,0.3333333333333333,random_better,10000,0,False
PLSR,1,farthest_point_kennard_stone,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.11023275028726102,-0.06143204996603025,-0.16649763291687947,-0.05959219559994062,0.25,random_better,10000,0,False
PLSR,1,proposed_weighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.05592624795303048,-0.010955180739785875,-0.1056292538163113,-0.014833622342104258,0.375,random_better,10000,0,False
PLSR,1,unweighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.413283096089931,-0.0667300362777101,-0.7629530889145255,-0.14484094392313393,0.20833333333333334,random_better,10000,0,False
PLSR,3,farthest_point_kennard_stone,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.027428009416784787,0.0028934583338508253,-0.0667495553403626,0.004398782691376245,0.625,unresolved,10000,0,False
PLSR,3,proposed_weighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.03077600883662725,0.00184790156178415,-0.06807661575445072,-0.00302370631829102,0.5416666666666666,random_better,10000,0,False
