learner,k,method,estimand,contrast,query_scope,delta_definition,positive_means,mean_delta_mae,median_delta_mae,ci_lo,ci_hi,classification,n_lakes,multiplicity_adjusted,frozen_classification,n_lakes_with_repeat_provenance,n_repeat_rows,min_repeats_per_lake,max_repeats_per_lake,min_repeat,max_repeat,min_query_size,max_query_size,duplicate_repeat_keys,audited_delta_definition,classification_rule,bootstrap_note,repeat_level_pairing_status
PLSR,1,farthest_point_kennard_stone,pairwise_common_query,farthest_point_kennard_stone_vs_random,Q_sR = pool \ (S_method ∪ S_random),MAE_random - MAE_method,method_better_than_random,-0.109775,-0.062404,-0.16567,-0.058791,random_better,24,False,random_better,24,2400,100,100,0,99,18,524,0,MAE_random - MAE_selector,ci_lo > 0: selector_better; ci_hi < 0: random_better; otherwise unresolved,nominal cell-wise 10000-resample percentile lake bootstrap; not multiplicity-adjusted,verified from frozen lake-learner-k-method-repeat rows
PLSR,1,unweighted_d_optimal,pairwise_common_query,unweighted_d_optimal_vs_random,Q_sR = pool \ (S_method ∪ S_random),MAE_random - MAE_method,method_better_than_random,-0.413209,-0.069445,-0.763337,-0.144903,random_better,24,False,random_better,24,2400,100,100,0,99,18,524,0,MAE_random - MAE_selector,ci_lo > 0: selector_better; ci_hi < 0: random_better; otherwise unresolved,nominal cell-wise 10000-resample percentile lake bootstrap; not multiplicity-adjusted,verified from frozen lake-learner-k-method-repeat rows
PLSR,1,proposed_weighted_d_optimal,pairwise_common_query,proposed_weighted_d_optimal_vs_random,Q_sR = pool \ (S_method ∪ S_random),MAE_random - MAE_method,method_better_than_random,-0.054316,-0.015491,-0.102407,-0.01397,random_better,24,False,random_better,24,2400,100,100,0,99,18,524,0,MAE_random - MAE_selector,ci_lo > 0: selector_better; ci_hi < 0: random_better; otherwise unresolved,nominal cell-wise 10000-resample percentile lake bootstrap; not multiplicity-adjusted,verified from frozen lake-learner-k-method-repeat rows
PLSR,3,farthest_point_kennard_stone,pairwise_common_query,farthest_point_kennard_stone_vs_random,Q_sR = pool \ (S_method ∪ S_random),MAE_random - MAE_method,method_better_than_random,-0.025269,0.005317,-0.063535,0.005738,unresolved,24,False,unresolved,24,2400,100,100,0,99,14,521,0,MAE_random - MAE_selector,ci_lo > 0: selector_better; ci_hi < 0: random_better; otherwise unresolved,nominal cell-wise 10000-resample percentile lake bootstrap; not multiplicity-adjusted,verified from frozen lake-learner-k-method-repeat rows
PLSR,3,unweighted_d_optimal,pairwise_common_query,unweighted_d_optimal_vs_random,Q_sR = pool \ (S_method ∪ S_random),MAE_random - MAE_method,method_better_than_random,-0.019248,0.004541,-0.067029,0.015794,unresolved,24,False,unresolved,24,2400,100,100,0,99,14,521,0,MAE_random - MAE_selector,ci_lo > 0: selector_better; ci_hi < 0: random_better; otherwise unresolved,nominal cell-wise 10000-resample percentile lake bootstrap; not multiplicity-adjusted,verified from frozen lake-learner-k-method-repeat rows
PLSR,3,proposed_weighted_d_optimal,pairwise_common_query,proposed_weighted_d_optimal_vs_random,Q_sR = pool \ (S_method ∪ S_random),MAE_random - MAE_method,method_better_than_random,-0.029991,0.003001,-0.065783,-0.00344,random_better,24,False,random_better,24,2400,100,100,0,99,14,521,0,MAE_random - MAE_selector,ci_lo > 0: selector_better; ci_hi < 0: random_better; otherwise unresolved,nominal cell-wise 10000-resample percentile lake bootstrap; not multiplicity-adjusted,verified from frozen lake-learner-k-method-repeat rows
PLSR,5,farthest_point_kennard_stone,pairwise_common_query,farthest_point_kennard_stone_vs_random,Q_sR = pool \ (S_method ∪ S_random),MAE_random - MAE_method,method_better_than_random,-0.004072,0.008232,-0.023282,0.010325,unresolved,24,False,unresolved,24,2400,100,100,0,99,10,517,0,MAE_random - MAE_selector,ci_lo > 0: selector_better; ci_hi < 0: random_better; otherwise unresolved,nominal cell-wise 10000-resample percentile lake bootstrap; not multiplicity-adjusted,verified from frozen lake-learner-k-method-repeat rows
PLSR,5,unweighted_d_optimal,pairwise_common_query,unweighted_d_optimal_vs_random,Q_sR = pool \ (S_method ∪ S_random),MAE_random - MAE_method,method_better_than_random,-0.010068,0.006115,-0.030263,0.006453,unresolved,24,False,unresolved,24,2400,100,100,0,99,10,517,0,MAE_random - MAE_selector,ci_lo > 0: selector_better; ci_hi < 0: random_better; otherwise unresolved,nominal cell-wise 10000-resample percentile lake bootstrap; not multiplicity-adjusted,verified from frozen lake-learner-k-method-repeat rows
PLSR,5,proposed_weighted_d_optimal,pairwise_common_query,proposed_weighted_d_optimal_vs_random,Q_sR = pool \ (S_method ∪ S_random),MAE_random - MAE_method,method_better_than_random,-0.007913,0.004088,-0.024524,0.007012,unresolved,24,False,unresolved,24,2400,100,100,0,99,10,517,0,MAE_random - MAE_selector,ci_lo > 0: selector_better; ci_hi < 0: random_better; otherwise unresolved,nominal cell-wise 10000-resample percentile lake bootstrap; not multiplicity-adjusted,verified from frozen lake-learner-k-method-repeat rows
PLSR,10,farthest_point_kennard_stone,pairwise_common_query,farthest_point_kennard_stone_vs_random,Q_sR = pool \ (S_method ∪ S_random),MAE_random - MAE_method,method_better_than_random,0.001747,0.007511,-0.007388,0.009618,unresolved,24,False,unresolved,24,2400,100,100,0,99,2,508,0,MAE_random - MAE_selector,ci_lo > 0: selector_better; ci_hi < 0: random_better; otherwise unresolved,nominal cell-wise 10000-resample percentile lake bootstrap; not multiplicity-adjusted,verified from frozen lake-learner-k-method-repeat rows
PLSR,10,unweighted_d_optimal,pairwise_common_query,unweighted_d_optimal_vs_random,Q_sR = pool \ (S_method ∪ S_random),MAE_random - MAE_method,method_better_than_random,-0.018341,-0.003362,-0.03681,-0.002747,random_better,24,False,random_better,24,2400,100,100,0,99,2,508,0,MAE_random - MAE_selector,ci_lo > 0: selector_better; ci_hi < 0: random_better; otherwise unresolved,nominal cell-wise 10000-resample percentile lake bootstrap; not multiplicity-adjusted,verified from frozen lake-learner-k-method-repeat rows
