overall_classification,domain,learner,k,headline,primary_value,sensitivity_value,absolute_change,primary_status,sensitivity_status,status_changed
NUMERICALLY_SENSITIVE_BUT_INTERPRETIVELY_STABLE,H1,PLSR,1,False,-1.76,-1.76,0,crosses_zero,crosses_zero,False
NUMERICALLY_SENSITIVE_BUT_INTERPRETIVELY_STABLE,H1,PLSR,3,False,4.42,4.42,0,crosses_zero,crosses_zero,False
NUMERICALLY_SENSITIVE_BUT_INTERPRETIVELY_STABLE,H1,PLSR,5,True,8.28,8.28,0,crosses_zero,crosses_zero,False
NUMERICALLY_SENSITIVE_BUT_INTERPRETIVELY_STABLE,H1,PLSR,10,False,12.76,12.76,0,excludes_zero_positive,excludes_zero_positive,False
NUMERICALLY_SENSITIVE_BUT_INTERPRETIVELY_STABLE,H1,XGBoost,1,False,16.26,16.19,-0.0700000000000003,excludes_zero_positive,excludes_zero_positive,False
NUMERICALLY_SENSITIVE_BUT_INTERPRETIVELY_STABLE,H1,XGBoost,3,False,19.7,19.8,0.100000000000001,excludes_zero_positive,excludes_zero_positive,False
NUMERICALLY_SENSITIVE_BUT_INTERPRETIVELY_STABLE,H1,XGBoost,5,True,14.71,14.83,0.119999999999999,excludes_zero_positive,excludes_zero_positive,False
NUMERICALLY_SENSITIVE_BUT_INTERPRETIVELY_STABLE,H1,XGBoost,10,False,19.13,19.06,-0.0700000000000003,excludes_zero_positive,excludes_zero_positive,False
NUMERICALLY_SENSITIVE_BUT_INTERPRETIVELY_STABLE,H1,MLP,1,False,11.34,10.93,-0.41,crosses_zero,crosses_zero,False
NUMERICALLY_SENSITIVE_BUT_INTERPRETIVELY_STABLE,H1,MLP,3,False,14.51,14.02,-0.49,crosses_zero,crosses_zero,False
NUMERICALLY_SENSITIVE_BUT_INTERPRETIVELY_STABLE,H1,MLP,5,True,17.59,17.14,-0.449999999999999,excludes_zero_positive,excludes_zero_positive,False
NUMERICALLY_SENSITIVE_BUT_INTERPRETIVELY_STABLE,H1,MLP,10,False,20.82,20.79,-0.0300000000000011,excludes_zero_positive,excludes_zero_positive,False
NUMERICALLY_SENSITIVE_BUT_INTERPRETIVELY_STABLE,H2_own_pool,PLSR,1,True,-0.053153,-0.053151,2.000000000002e-06,random_better,random_better,False
NUMERICALLY_SENSITIVE_BUT_INTERPRETIVELY_STABLE,H2_own_pool,PLSR,3,True,-0.025915,-0.025916,-1.000000000001e-06,unresolved,unresolved,False
NUMERICALLY_SENSITIVE_BUT_INTERPRETIVELY_STABLE,H2_own_pool,PLSR,5,True,-0.00381,-0.00381,0,unresolved,unresolved,False
NUMERICALLY_SENSITIVE_BUT_INTERPRETIVELY_STABLE,H2_own_pool,PLSR,10,True,0.003174,0.003175,9.99999999999699e-07,unresolved,unresolved,False
NUMERICALLY_SENSITIVE_BUT_INTERPRETIVELY_STABLE,H2_own_pool,XGBoost,1,True,-0.052143,-0.054027,-0.001884,random_better,random_better,False
NUMERICALLY_SENSITIVE_BUT_INTERPRETIVELY_STABLE,H2_own_pool,XGBoost,3,True,-0.01957,-0.018769,0.000801,unresolved,unresolved,False
NUMERICALLY_SENSITIVE_BUT_INTERPRETIVELY_STABLE,H2_own_pool,XGBoost,5,True,-0.005151,-0.005829,-0.000678,unresolved,unresolved,False
