learner,k,median_rer_pct_primary,mean_rer_pct_primary,ci_lo_pct_primary,ci_hi_pct_primary,median_rer_pct_sensitivity,mean_rer_pct_sensitivity,ci_lo_pct_sensitivity,ci_hi_pct_sensitivity,median_rer_pct_change,mean_rer_pct_change,ci_lo_pct_change,ci_hi_pct_change,zero_status_primary,zero_status_sensitivity,zero_status_changed,threshold_10pct_primary,threshold_10pct_sensitivity,threshold_10pct_changed
PLSR,1,7.39,-1.76,-20.6,12.32,7.39,-1.76,-20.6,12.32,0,0,0,0,crosses_zero,crosses_zero,False,False,False,False
PLSR,3,9.67,4.42,-9.55,14.82,9.67,4.42,-9.55,14.82,0,0,0,0,crosses_zero,crosses_zero,False,False,False,False
PLSR,5,11.95,8.28,-2.47,16.93,11.95,8.28,-2.48,16.93,0,0,-0.00999999999999979,0,crosses_zero,crosses_zero,False,True,True,False
PLSR,10,19.17,12.76,2.7,20.8,19.17,12.76,2.7,20.8,0,0,0,0,excludes_zero_positive,excludes_zero_positive,False,True,True,False
XGBoost,1,29.01,16.26,0.35,28.22,29.01,16.19,0.34,28.13,0,-0.0700000000000003,-0.00999999999999995,-0.0899999999999999,excludes_zero_positive,excludes_zero_positive,False,True,True,False
XGBoost,3,30.79,19.7,5.32,30.64,30.79,19.8,5.4,30.75,0,0.100000000000001,0.0800000000000001,0.109999999999999,excludes_zero_positive,excludes_zero_positive,False,True,True,False
XGBoost,5,23.62,14.71,0.78,25.85,23.62,14.83,0.9,26.04,0,0.119999999999999,0.12,0.189999999999998,excludes_zero_positive,excludes_zero_positive,False,True,True,False
XGBoost,10,21.93,19.13,7.7,28.75,21.93,19.06,7.63,28.65,0,-0.0700000000000003,-0.0700000000000003,-0.100000000000001,excludes_zero_positive,excludes_zero_positive,False,True,True,False
MLP,1,24.67,11.34,-10.3,26.17,23.41,10.93,-10.6,25.6,-1.26,-0.41,-0.299999999999999,-0.57,crosses_zero,crosses_zero,False,True,True,False
MLP,3,23.19,14.51,-5.19,27.96,23.19,14.02,-5.66,27.27,0,-0.49,-0.47,-0.690000000000001,crosses_zero,crosses_zero,False,True,True,False
MLP,5,25.73,17.59,6.09,27.05,25.27,17.14,5.71,26.47,-0.460000000000001,-0.449999999999999,-0.38,-0.580000000000002,excludes_zero_positive,excludes_zero_positive,False,True,True,False
MLP,10,28.45,20.82,11.07,29.63,28.45,20.79,11.06,29.58,0,-0.0300000000000011,-0.00999999999999979,-0.0500000000000007,excludes_zero_positive,excludes_zero_positive,False,True,True,False
