learner,k,mean_delta_mae_primary,median_delta_mae_primary,ci_lo_primary,ci_hi_primary,mean_delta_mae_sensitivity,median_delta_mae_sensitivity,ci_lo_sensitivity,ci_hi_sensitivity,mean_delta_mae_change,median_delta_mae_change,ci_lo_change,ci_hi_change,classification_primary,classification_sensitivity,classification_changed
PLSR,1,-0.053153,-0.014966,-0.100526,-0.013571,-0.053151,-0.014949,-0.100526,-0.013569,2.000000000002e-06,1.69999999999997e-05,0,2.00000000000027e-06,random_better,random_better,False
PLSR,3,-0.025915,0.00586,-0.061708,0.000566,-0.025916,0.00586,-0.061709,0.000566,-1.000000000001e-06,0,-1.000000000001e-06,0,unresolved,unresolved,False
PLSR,5,-0.00381,0.008886,-0.020124,0.010776,-0.00381,0.008886,-0.020124,0.010776,0,0,0,0,unresolved,unresolved,False
PLSR,10,0.003174,0.002571,-0.013487,0.018709,0.003175,0.002571,-0.013487,0.018709,9.99999999999699e-07,0,0,0,unresolved,unresolved,False
XGBoost,1,-0.052143,-0.018302,-0.091991,-0.017362,-0.054027,-0.020337,-0.093875,-0.019109,-0.001884,-0.002035,-0.001884,-0.001747,random_better,random_better,False
XGBoost,3,-0.01957,0.00501,-0.051058,0.005426,-0.018769,0.005814,-0.05031,0.006289,0.000801,0.000804,0.000747999999999999,0.000863,unresolved,unresolved,False
XGBoost,5,-0.005151,0.005662,-0.021663,0.009609,-0.005829,0.002774,-0.02224,0.008891,-0.000678,-0.002888,-0.000576999999999998,-0.000718,unresolved,unresolved,False
XGBoost,10,0.002272,0.005878,-0.012847,0.017689,0.002272,0.005878,-0.012847,0.017689,0,0,0,0,unresolved,unresolved,False
MLP,1,-0.03654,-0.012991,-0.070132,-0.007126,-0.035791,-0.009433,-0.069571,-0.006466,0.000749,0.003558,0.000561000000000006,0.00066,random_better,random_better,False
MLP,3,-0.015675,0.002848,-0.044907,0.007809,-0.015726,0.002848,-0.044924,0.007756,-5.0999999999999e-05,0,-1.69999999999962e-05,-5.30000000000001e-05,unresolved,unresolved,False
MLP,5,-0.002165,0.002783,-0.018974,0.012775,-0.001317,0.006964,-0.018094,0.013701,0.000848,0.004181,0.000880000000000002,0.000926,unresolved,unresolved,False
MLP,10,0.004389,0.006808,-0.009911,0.018701,0.005187,0.009128,-0.009304,0.019564,0.000798,0.00232,0.000607,0.000863000000000003,unresolved,unresolved,False
