learner,k,mean_delta_rho_primary,mean_delta_rho_ci_lo_primary,mean_delta_rho_ci_hi_primary,mean_delta_R2_logspace_primary,mean_delta_R2_logspace_ci_lo_primary,mean_delta_R2_logspace_ci_hi_primary,mean_delta_rho_sensitivity,mean_delta_rho_ci_lo_sensitivity,mean_delta_rho_ci_hi_sensitivity,mean_delta_R2_logspace_sensitivity,mean_delta_R2_logspace_ci_lo_sensitivity,mean_delta_R2_logspace_ci_hi_sensitivity,mean_delta_rho_change,mean_delta_rho_ci_lo_change,mean_delta_rho_ci_hi_change,mean_delta_R2_logspace_change,mean_delta_R2_logspace_ci_lo_change,mean_delta_R2_logspace_ci_hi_change,classification_primary,classification_sensitivity,classification_changed
PLSR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,identity,identity,False
PLSR,3,0,0,0,0.128000030771205,0.0149188049110998,0.284982938234605,0,0,0,0.128000060927942,0.0149188644706565,0.284982939742441,0,0,0,3.01567375515788e-08,5.9559556677205e-08,1.50783685537448e-09,unresolved,unresolved,False
PLSR,5,-0.0290302280056354,-0.0776609137852308,0.032400799753414,0.36645067361424,0.0369532313249164,0.833161649199686,-0.0290302280056354,-0.0776609137852308,0.032400799753414,0.366447292153675,0.0369432901194858,0.833161564663172,0,0,0,-3.38146056466648e-06,-9.94120543055393e-06,-8.45365141222132e-08,unresolved,unresolved,False
PLSR,10,0.0389249674371935,-0.0299512633129422,0.0987117930561865,0.428805729258859,0.0904242573550718,0.937071934880499,0.0389249674371935,-0.0299512633129422,0.0987117930561865,0.42880223591524,0.0904174453350136,0.937071934880499,1.38777878078145e-17,1.04083408558608e-17,0,-3.49334361954279e-06,-6.81202005822779e-06,0,unresolved,unresolved,False
XGBoost,1,0,0,0,1.48898898072458e-09,-2.71547532602195e-09,7.38930335866343e-09,0,0,0,1.45470988958489e-09,-2.7481385191791e-09,7.36180284036566e-09,0,0,0,-3.4279091139696e-11,-3.26631931571454e-11,-2.75005182977702e-11,identity,identity,False
XGBoost,3,0,0,0,0.0326138013298688,0.00523773128352532,0.082027457228088,0,0,0,0.0325301841088213,0.00513288667653983,0.0819865416323412,0,0,0,-8.36172210475286e-05,-0.000104844606985486,-4.09155957468155e-05,unresolved,unresolved,False
XGBoost,5,-0.0258518147781827,-0.0417727063384857,-0.00902232806028735,0.0106994369276863,-0.0683674777059522,0.126895256460531,-0.0254433180461566,-0.0414966092487513,-0.00861035881557125,0.0112749748716034,-0.0675909532065211,0.127308683172034,0.000408496732026132,0.000276097089734383,0.000411969244716094,0.00057553794391706,0.000776524499431122,0.000413426711502823,negative,negative,False
XGBoost,10,0.0260770567374226,-0.00721293389311486,0.0639386309989626,0.0607455837175886,-0.0255499369281594,0.195331154500927,0.0263684320287979,-0.00692026857257703,0.0640460081025915,0.0587493528727753,-0.0281807645797488,0.193661137047395,0.000291375291375295,0.000292665320537823,0.000107377103628917,-0.00199623084481333,-0.0026308276515894,-0.00167001745353221,unresolved,unresolved,False
MLP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,identity,identity,False
MLP,3,0,0,0,0.218543136154258,0.00508767877208279,0.640736095689559,0,0,0,0.218629564442107,0.0052060067315541,0.640772895987487,0,0,0,8.64282878487721e-05,0.000118327959471312,3.68002979275195e-05,unresolved,unresolved,False
MLP,5,-0.00270270059015551,-0.0465309121098024,0.0454816185423513,0.527363448014252,-0.0272440582955547,1.56520501212486,-0.00597067444636467,-0.050445114147036,0.0432875593948149,0.526433548103251,-0.0280918450470185,1.56520251911628,-0.00326797385620915,-0.00391420203723363,-0.00219405914753645,-0.000929899911001009,-0.000847786751463842,-2.49300857846357e-06,unresolved,unresolved,False
MLP,10,0.0409790070442492,-0.00757999966347186,0.0910813469821895,0.576446508603123,-0.0425220432803222,1.72079094126162,0.0405419441071863,-0.00825041527515634,0.09069117082495,0.58118754257976,-0.0379580227571085,1.72409313650306,-0.000437062937062943,-0.000670415611684486,-0.000390176157239422,0.00474103397663717,0.00456402052321373,0.00330219524144004,unresolved,unresolved,False
