learner,k,mean_delta_rho,mean_delta_rho_ci_lo,mean_delta_rho_ci_hi,mean_delta_R2_logspace,mean_delta_R2_logspace_ci_lo,mean_delta_R2_logspace_ci_hi,mean_delta_R2_origspace,mean_delta_R2_origspace_ci_lo,mean_delta_R2_origspace_ci_hi,classification,n_lakes
PLSR,1,0,0,0,0,0,0,326.879176942089,1.91593137514323,850.429721491763,identity,24
PLSR,3,0,0,0,0.128000060927942,0.0149188644706565,0.284982939742441,2066.87547231289,4.94154321294669,5859.53685843636,unresolved,24
PLSR,5,-0.0290302280056354,-0.0776609137852308,0.032400799753414,0.366447292153675,0.0369432901194858,0.833161564663172,4506.85478685808,12.8758401505084,13112.4734386827,unresolved,24
PLSR,10,0.0389249674371935,-0.0299512633129422,0.0987117930561865,0.42880223591524,0.0904174453350136,0.937071934880499,2601.20165559645,17.3679011376672,7396.63955709106,unresolved,24
XGBoost,1,0,0,0,1.45470988958489e-09,-2.7481385191791e-09,7.36180284036566e-09,0.590722671843985,-0.0790112326744212,1.47760746583855,identity,24
XGBoost,3,0,0,0,0.0325301841088213,0.00513288667653983,0.0819865416323412,0.80810109154092,0.00863739648199759,1.96909981236042,unresolved,24
XGBoost,5,-0.0254433180461566,-0.0414966092487513,-0.00861035881557125,0.0112749748716034,-0.0675909532065211,0.127308683172034,0.855674001311431,-0.00979688119578173,2.21086512376568,negative,24
XGBoost,10,0.0263684320287979,-0.00692026857257703,0.0640460081025915,0.0587493528727753,-0.0281807645797488,0.193661137047395,-20.5983598056719,-64.0017841158282,1.74077862912375,unresolved,24
MLP,1,0,0,0,0,0,0,-3785.60646098416,-15298.6650496555,3941.46985472095,identity,24
MLP,3,0,0,0,0.218629564442107,0.0052060067315541,0.640772895987487,1655.62856698196,0.0609375027584143,4966.21740857175,unresolved,24
MLP,5,-0.00597067444636467,-0.050445114147036,0.0432875593948149,0.526433548103251,-0.0280918450470185,1.56520251911628,2790.87178113086,0.0670783790738952,7549.68259842604,unresolved,24
MLP,10,0.0405419441071863,-0.00825041527515634,0.09069117082495,0.58118754257976,-0.0379580227571085,1.72409313650306,-7000.41328422532,-23527.945982046,2527.38314028751,unresolved,24
