learner,k,contrast,estimand,effect,n_targets,valid_target_count,n_repeats_per_target,n_nonfinite_episodes,positive_means,interval,lo,hi,n_boot,rng,quantiles
PLSR,5,D14,mean_target_median_repeat_paired_delta_logMAE,0.026851,24,24,100,0,full_variant_lower_logMAE,nominal_95,0.008842,0.044315,10000,default_rng(0),
PLSR,5,D24,mean_target_median_repeat_paired_delta_logMAE,0.016369,24,24,100,0,full_variant_lower_logMAE,nominal_95,8.5e-05,0.036412,10000,default_rng(0),
PLSR,5,D24,mean_target_median_repeat_paired_delta_logMAE,0.016369,24,24,100,0,full_variant_lower_logMAE,bonferroni_95_family6,-0.003899,0.044299,100000,default_rng(0),"[0.0041667,0.9958333]"
PLSR,5,D34,mean_target_median_repeat_paired_delta_logMAE,0.003567,24,24,100,0,full_variant_lower_logMAE,nominal_95,-0.005044,0.013341,10000,default_rng(0),
PLSR,5,D34,mean_target_median_repeat_paired_delta_logMAE,0.003567,24,24,100,0,full_variant_lower_logMAE,bonferroni_95_family6,-0.007539,0.017481,100000,default_rng(0),"[0.0041667,0.9958333]"
PLSR,5,L0L2_diag,mean_target_median_repeat_paired_delta_logMAE,0.108486,24,24,100,0,full_variant_lower_logMAE,nominal_95,0.046789,0.179727,10000,default_rng(0),
PLSR,5,L2L3_diag,mean_target_median_repeat_paired_delta_logMAE,0.011587,24,24,100,0,full_variant_lower_logMAE,nominal_95,0.003228,0.0224,10000,default_rng(0),
XGBoost,5,D14,mean_target_median_repeat_paired_delta_logMAE,0.045092,24,24,100,0,full_variant_lower_logMAE,nominal_95,0.020397,0.069144,10000,default_rng(0),
XGBoost,5,D24,mean_target_median_repeat_paired_delta_logMAE,-0.001706,24,24,100,0,full_variant_lower_logMAE,nominal_95,-0.008058,0.005549,10000,default_rng(0),
XGBoost,5,D24,mean_target_median_repeat_paired_delta_logMAE,-0.001706,24,24,100,0,full_variant_lower_logMAE,bonferroni_95_family6,-0.010039,0.008082,100000,default_rng(0),"[0.0041667,0.9958333]"
XGBoost,5,D34,mean_target_median_repeat_paired_delta_logMAE,-0.005766,24,24,100,0,full_variant_lower_logMAE,nominal_95,-0.010655,-0.000388,10000,default_rng(0),
XGBoost,5,D34,mean_target_median_repeat_paired_delta_logMAE,-0.005766,24,24,100,0,full_variant_lower_logMAE,bonferroni_95_family6,-0.012129,0.001571,100000,default_rng(0),"[0.0041667,0.9958333]"
XGBoost,5,L0L2_diag,mean_target_median_repeat_paired_delta_logMAE,0.056073,24,24,100,0,full_variant_lower_logMAE,nominal_95,0.028367,0.088841,10000,default_rng(0),
XGBoost,5,L2L3_diag,mean_target_median_repeat_paired_delta_logMAE,0.003717,24,24,100,0,full_variant_lower_logMAE,nominal_95,0.001084,0.007217,10000,default_rng(0),
MLP,5,D14,mean_target_median_repeat_paired_delta_logMAE,0.048931,24,24,100,0,full_variant_lower_logMAE,nominal_95,0.02644,0.071033,10000,default_rng(0),
MLP,5,D24,mean_target_median_repeat_paired_delta_logMAE,0.007272,24,24,100,0,full_variant_lower_logMAE,nominal_95,-0.004074,0.023253,10000,default_rng(0),
MLP,5,D24,mean_target_median_repeat_paired_delta_logMAE,0.007272,24,24,100,0,full_variant_lower_logMAE,bonferroni_95_family6,-0.006672,0.030415,100000,default_rng(0),"[0.0041667,0.9958333]"
MLP,5,D34,mean_target_median_repeat_paired_delta_logMAE,0.000232,24,24,100,0,full_variant_lower_logMAE,nominal_95,-0.006542,0.007446,10000,default_rng(0),
MLP,5,D34,mean_target_median_repeat_paired_delta_logMAE,0.000232,24,24,100,0,full_variant_lower_logMAE,bonferroni_95_family6,-0.008686,0.010173,100000,default_rng(0),"[0.0041667,0.9958333]"
MLP,5,L0L2_diag,mean_target_median_repeat_paired_delta_logMAE,0.062365,24,24,100,0,full_variant_lower_logMAE,nominal_95,0.033914,0.093535,10000,default_rng(0),
MLP,5,L2L3_diag,mean_target_median_repeat_paired_delta_logMAE,0.006018,24,24,100,0,full_variant_lower_logMAE,nominal_95,0.001253,0.014293,10000,default_rng(0),
