outer_lake,inner_validation_lake,inner_training_group_count,inner_training_site_count,outer_groups_in_inner_training,inner_validation_groups_in_inner_training,inner_validation_group_count,exclusion_status
Branched Oak Lake,Chaohu,4231,396,0,0,21,VERIFIED
Branched Oak Lake,Dianchi,4188,396,0,0,64,VERIFIED
Branched Oak Lake,Eagle Creek Reservoir,4174,396,0,0,78,VERIFIED
Branched Oak Lake,Erhai,4215,396,0,0,37,VERIFIED
Branched Oak Lake,Garda,4215,396,0,0,37,VERIFIED
Branched Oak Lake,Geist Reservoir,4196,396,0,0,56,VERIFIED
Branched Oak Lake,High Rock Lake,4166,396,0,0,86,VERIFIED
Branched Oak Lake,Ibitinga Reservoir,4224,396,0,0,28,VERIFIED
Branched Oak Lake,Lake Chotkowskie,4230,396,0,0,22,VERIFIED
Branched Oak Lake,Lake Erie,3726,396,0,0,526,VERIFIED
Branched Oak Lake,Lake Geneva,4232,396,0,0,20,VERIFIED
Branched Oak Lake,Lake Hume,4213,396,0,0,39,VERIFIED
Branched Oak Lake,Lake Jasień Południowy,4230,396,0,0,22,VERIFIED
Branched Oak Lake,Lake Jeleń,4230,396,0,0,22,VERIFIED
Branched Oak Lake,Lake Kasumigaura,4064,396,0,0,188,VERIFIED
Branched Oak Lake,Lake Kummerow,4226,396,0,0,26,VERIFIED
Branched Oak Lake,Lake Obłęże,4232,396,0,0,20,VERIFIED
Branched Oak Lake,Lake Peipsi,4178,396,0,0,74,VERIFIED
Branched Oak Lake,Lake Winnipeg,4207,396,0,0,45,VERIFIED
Branched Oak Lake,Lake Łebsko,4220,396,0,0,32,VERIFIED
Branched Oak Lake,Mantova,4221,396,0,0,31,VERIFIED
Branched Oak Lake,Morse Reservoir,4199,396,0,0,53,VERIFIED
Branched Oak Lake,Taihu,4064,396,0,0,188,VERIFIED
Chaohu,Branched Oak Lake,4231,396,0,0,40,VERIFIED
Chaohu,Dianchi,4207,396,0,0,64,VERIFIED
Chaohu,Eagle Creek Reservoir,4193,396,0,0,78,VERIFIED
Chaohu,Erhai,4234,396,0,0,37,VERIFIED
Chaohu,Garda,4234,396,0,0,37,VERIFIED
Chaohu,Geist Reservoir,4215,396,0,0,56,VERIFIED
Chaohu,High Rock Lake,4185,396,0,0,86,VERIFIED
Chaohu,Ibitinga Reservoir,4243,396,0,0,28,VERIFIED
Chaohu,Lake Chotkowskie,4249,396,0,0,22,VERIFIED
Chaohu,Lake Erie,3745,396,0,0,526,VERIFIED
Chaohu,Lake Geneva,4251,396,0,0,20,VERIFIED
Chaohu,Lake Hume,4232,396,0,0,39,VERIFIED
Chaohu,Lake Jasień Południowy,4249,396,0,0,22,VERIFIED
Chaohu,Lake Jeleń,4249,396,0,0,22,VERIFIED
Chaohu,Lake Kasumigaura,4083,396,0,0,188,VERIFIED
Chaohu,Lake Kummerow,4245,396,0,0,26,VERIFIED
Chaohu,Lake Obłęże,4251,396,0,0,20,VERIFIED
Chaohu,Lake Peipsi,4197,396,0,0,74,VERIFIED
Chaohu,Lake Winnipeg,4226,396,0,0,45,VERIFIED
Chaohu,Lake Łebsko,4239,396,0,0,32,VERIFIED
Chaohu,Mantova,4240,396,0,0,31,VERIFIED
Chaohu,Morse Reservoir,4218,396,0,0,53,VERIFIED
Chaohu,Taihu,4083,396,0,0,188,VERIFIED
Dianchi,Branched Oak Lake,4188,396,0,0,40,VERIFIED
Dianchi,Chaohu,4207,396,0,0,21,VERIFIED
Dianchi,Eagle Creek Reservoir,4150,396,0,0,78,VERIFIED
Dianchi,Erhai,4191,396,0,0,37,VERIFIED
Dianchi,Garda,4191,396,0,0,37,VERIFIED
Dianchi,Geist Reservoir,4172,396,0,0,56,VERIFIED
Dianchi,High Rock Lake,4142,396,0,0,86,VERIFIED
Dianchi,Ibitinga Reservoir,4200,396,0,0,28,VERIFIED
Dianchi,Lake Chotkowskie,4206,396,0,0,22,VERIFIED
Dianchi,Lake Erie,3702,396,0,0,526,VERIFIED
Dianchi,Lake Geneva,4208,396,0,0,20,VERIFIED
Dianchi,Lake Hume,4189,396,0,0,39,VERIFIED
Dianchi,Lake Jasień Południowy,4206,396,0,0,22,VERIFIED
Dianchi,Lake Jeleń,4206,396,0,0,22,VERIFIED
Dianchi,Lake Kasumigaura,4040,396,0,0,188,VERIFIED
Dianchi,Lake Kummerow,4202,396,0,0,26,VERIFIED
Dianchi,Lake Obłęże,4208,396,0,0,20,VERIFIED
Dianchi,Lake Peipsi,4154,396,0,0,74,VERIFIED
Dianchi,Lake Winnipeg,4183,396,0,0,45,VERIFIED
Dianchi,Lake Łebsko,4196,396,0,0,32,VERIFIED
Dianchi,Mantova,4197,396,0,0,31,VERIFIED
Dianchi,Morse Reservoir,4175,396,0,0,53,VERIFIED
Dianchi,Taihu,4040,396,0,0,188,VERIFIED
Eagle Creek Reservoir,Branched Oak Lake,4174,396,0,0,40,VERIFIED
Eagle Creek Reservoir,Chaohu,4193,396,0,0,21,VERIFIED
Eagle Creek Reservoir,Dianchi,4150,396,0,0,64,VERIFIED
Eagle Creek Reservoir,Erhai,4177,396,0,0,37,VERIFIED
Eagle Creek Reservoir,Garda,4177,396,0,0,37,VERIFIED
Eagle Creek Reservoir,Geist Reservoir,4158,396,0,0,56,VERIFIED
Eagle Creek Reservoir,High Rock Lake,4128,396,0,0,86,VERIFIED
Eagle Creek Reservoir,Ibitinga Reservoir,4186,396,0,0,28,VERIFIED
Eagle Creek Reservoir,Lake Chotkowskie,4192,396,0,0,22,VERIFIED
Eagle Creek Reservoir,Lake Erie,3688,396,0,0,526,VERIFIED
Eagle Creek Reservoir,Lake Geneva,4194,396,0,0,20,VERIFIED
Eagle Creek Reservoir,Lake Hume,4175,396,0,0,39,VERIFIED
Eagle Creek Reservoir,Lake Jasień Południowy,4192,396,0,0,22,VERIFIED
