outer_lake,source_site,normalized_source_site,countries,water_body_type_codes,group_count,dataset_ids,organization_ids,tss_methods,raw_record_count,centroid_lat,centroid_lon,eligible_target_site,auxiliary_source_site,exact_name_collision_with_outer,normalized_name_collision_with_outer
Branched Oak Lake,Akan,akan,Japan,1,2,MatsushitaB_JP_Tsukuba,Tsukuba,APHA 2540 D,2,43.455000,144.101500,False,True,False,False
Branched Oak Lake,Albufera,albufera,Spain,1,6,Ruiz-VerduA_ES_UVEG-CEDEX,UVEG-CEDEX,APHA 2540 D,6,39.333500,-0.361000,False,True,False,False
Branched Oak Lake,Alcántara,alcantara,Spain,1,4,Ruiz-VerduA_ES_UVEG-CEDEX,UVEG-CEDEX,APHA 2540 D,4,39.710500,-6.473500,False,True,False,False
Branched Oak Lake,Almendra,almendra,Spain,1,6,Ruiz-VerduA_ES_UVEG-CEDEX,UVEG-CEDEX,APHA 2540 D,6,41.238000,-6.283500,False,True,False,False
Branched Oak Lake,"Altamaha River, GA",altamaha river ga,United States of America (the),4,18,SchallesJ_US_Creighton,NOAA ECSC|NSF GCE LTER,Creighton TSS,18,31.317500,-81.412500,False,True,False,False
Branched Oak Lake,"Altamaha Sound, GA",altamaha sound ga,United States of America (the),2,1,SchallesJ_US_Creighton,NSF GCE LTER,Creighton TSS,1,31.321000,-81.317000,False,True,False,False
Branched Oak Lake,Amer,amer,Netherlands (the),4,1,WernandMR_NL_NIOZ_LK,NIOZ,NIOZ TSS,1,51.710000,4.815000,False,True,False,False
Branched Oak Lake,Amsterdam-Rhine Canal,amsterdam rhine canal,Netherlands (the),4,1,DekkerAG_NL_VU,VU,VU TSS,1,52.175000,4.994000,False,True,False,False
Branched Oak Lake,Amsterdam-Rijn kanaal Weesp,amsterdam rijn kanaal weesp,Netherlands (the),4,1,WernandMR_NL_NIOZ_LK,NIOZ,NIOZ TSS,1,52.306000,5.022000,False,True,False,False
Branched Oak Lake,Ankeveensche Plassen,ankeveensche plassen,Netherlands (the),1,2,DekkerAG_NL_VU,VU,VU TSS,2,52.275000,5.075500,False,True,False,False
Branched Oak Lake,"Apalachicola Bay, FL",apalachicola bay fl,United States of America (the),2,48,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,49,29.699500,-84.932000,False,True,False,False
Branched Oak Lake,"Apalachicola River, FL",apalachicola river fl,United States of America (the),4,4,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,4,29.737500,-84.992000,False,True,False,False
Branched Oak Lake,"Aransas Bay, TX",aransas bay tx,United States of America (the),2,13,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,13,28.007000,-97.029000,False,True,False,False
Branched Oak Lake,"Aransas Channel, TX",aransas channel tx,United States of America (the),2,5,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,5,27.862000,-97.143000,False,True,False,False
Branched Oak Lake,"Aransas Pass, TX",aransas pass tx,United States of America (the),2|3,2,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,2,27.837500,-97.043500,False,True,False,False
Branched Oak Lake,Arcachon Bay,arcachon bay,France,3,19,JametC_FR_ULCO-LOG,<missing>,APHA 2540 D,25,44.668000,-1.145000,False,True,False,False
Branched Oak Lake,"Ashepoo River, SC",ashepoo river sc,United States of America (the),4,8,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,8,32.582500,-80.483000,False,True,False,False
Branched Oak Lake,Atlantic Ocean,atlantic ocean,France|Spain,3,13,JametC_FR_ULCO-LOG,<missing>,APHA 2540 D,13,43.956000,-8.743000,False,True,False,False
Branched Oak Lake,"Atlantic Ocean, GA",atlantic ocean ga,United States of America (the),3,137,SchallesJ_US_Creighton,NOAA ECSC|NSF GCE LTER,Creighton TSS,137,31.363000,-80.896000,False,True,False,False
Branched Oak Lake,Ba Be Lake,ba be,Viet Nam,1,29,NguyenTTH_VN_VNU-HUS,VNU-HUS,APHA 2540 D,30,22.407000,105.621000,False,True,False,False
Branched Oak Lake,"Bahia Grande, TX",bahia grande tx,United States of America (the),2,8,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,8,26.033000,-97.288000,False,True,False,False
Branched Oak Lake,Baltic Sea,baltic sea,Sweden,3,2,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,3,58.716000,17.629500,False,True,False,False
Branched Oak Lake,"Baltimore Harbor, MD",baltimore harbor md,United States of America (the),2,2,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,2,39.222500,-76.546000,False,True,False,False
Branched Oak Lake,"Bangs Lake, MS",bangs ms,United States of America (the),2,4,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,4,30.358500,-88.468000,False,True,False,False
Branched Oak Lake,Bassenthwaite Lake,bassenthwaite,United Kingdom of Great Britain and Northern Ireland (the),1,4,SpyrakosE_GB_STIR,STIR,APHA 2540 D,4,54.658000,-3.222000,False,True,False,False
Branched Oak Lake,"Bayou Cassotte, MS",bayou cassotte ms,United States of America (the),2,3,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,3,30.344000,-88.509000,False,True,False,False
Branched Oak Lake,"Bayou Cumbest, MS",bayou cumbest ms,United States of America (the),2,8,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,8,30.383000,-88.441000,False,True,False,False
Branched Oak Lake,"Bayou Heron, MS",bayou heron ms,United States of America (the),2,7,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,7,30.397000,-88.401000,False,True,False,False
Branched Oak Lake,Beaver Dam Lake,beaver dam,United States of America (the),1,3,GrebSR_US_WDNR,WDNR,APHA 2540 D,3,43.470000,-88.861000,False,True,False,False
Branched Oak Lake,Big Saint Germain Lake,big saint germain,United States of America (the),1,6,GrebSR_US_WDNR,WDNR,APHA 2540 D,6,45.933000,-89.520000,False,True,False,False
Branched Oak Lake,Big Sand Lake,big sand,United States of America (the),1,3,GrebSR_US_WDNR,WDNR,APHA 2540 D,3,46.065000,-88.973000,False,True,False,False
Branched Oak Lake,Biwa,biwa,Japan,1,9,MatsushitaB_JP_Tsukuba,Tsukuba,APHA 2540 D,9,35.245000,136.055000,False,True,False,False
Branched Oak Lake,"Black River, SC",black river sc,United States of America (the),4,2,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,2,33.442500,-79.261000,False,True,False,False
Branched Oak Lake,"Blackbird Creek, DE",blackbird creek de,United States of America (the),1|2,4,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,4,39.399000,-75.610000,False,True,False,False
Branched Oak Lake,"Blackburn Bay, FL",blackburn bay fl,United States of America (the),2,2,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,2,27.145000,-82.476500,False,True,False,False
Branched Oak Lake,Blowering Reservoir,blowering,Australia,1,9,AnsteeJ_AU_CSIRO,CSIRO,ISO 11923:1997,9,-35.481000,148.263000,False,True,False,False
Branched Oak Lake,BovenMerwede,bovenmerwede,Netherlands (the),4,1,WernandMR_NL_NIOZ_LK,NIOZ,NIOZ TSS,1,51.829000,4.963000,False,True,False,False
Branched Oak Lake,Breukeleveensche- of Stille Plas,breukeleveensche of stille plas,Netherlands (the),1,1,DekkerAG_NL_VU,VU,VU TSS,1,52.184000,5.083000,False,True,False,False
Branched Oak Lake,Bronkhorstspruit,bronkhorstspruit,South Africa,1,4,KravitzJ_ZA_UCT,UCT,APHA 2540 D,4,-25.902000,28.693000,False,True,False,False
Branched Oak Lake,Burrinjuck Dam,burrinjuck dam,Australia,1,11,AnsteeJ_AU_CSIRO,CSIRO,ISO 11923:1997,11,-34.965000,148.693000,False,True,False,False
Branched Oak Lake,"Bush River, MD",bush river md,United States of America (the),4,5,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,5,39.421000,-76.261000,False,True,False,False
Branched Oak Lake,Butternut Lake,butternut,United States of America (the),1,3,GrebSR_US_WDNR,WDNR,APHA 2540 D,3,45.915000,-88.995000,False,True,False,False
Branched Oak Lake,Cannon,cannon,United States of America (the),1,1,OlmansonLG_US_UMN,UMN,UMN TSS,1,44.276000,-93.349000,False,True,False,False
Branched Oak Lake,"Canoochee River, GA",canoochee river ga,United States of America (the),4,1,SchallesJ_US_Creighton,NSF GCE LTER,Creighton TSS,1,31.984000,-81.327000,False,True,False,False
Branched Oak Lake,"Carl Blackwell Lake, OK",carl blackwell ok,United States of America (the),1,3,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,3,36.140000,-97.254000,False,True,False,False
Branched Oak Lake,"Carter Lake, NE",carter ne,United States of America (the),1,17,SchallesJ_US_Creighton,Creighton,Creighton TSS,17,41.294000,-95.916000,False,True,False,False
Branched Oak Lake,Chaohu,chaohu,China,1,21,MaR_CN_NIGLAS,NIGLAS,APHA 2540 D,29,31.573000,117.453000,True,False,False,False
