Site_name,Country,water_body_codes,water_body_labels,lake_labelled_by_gloria,reservoir_evidence,raw_tss_record_count,canonical_group_count,distinct_dates,campaign_count,campaign_definition,campaign_proxy_recomputed_from_retained_groups,min_group_count_pass,date_or_campaign_diversity_pass,query_pool_pass,final_eligible,eligibility_reason
Ba Be Lake,Viet Nam,1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,30,29,2,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,False,True,False,failed_date_or_dataset_id_proxy_campaign_diversity
Branched Oak Lake,United States of America (the),1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,40,40,3,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
Chaohu,China,1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,29,21,4,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
Dianchi,China,1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,64,64,9,2,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,2,True,True,True,True,included
Eagle Creek Reservoir,United States of America (the),1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,79,78,4,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
Erhai,China,1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,37,37,3,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
Garda,Italy,1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,45,37,15,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
Geist Reservoir,United States of America (the),1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,56,56,3,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
High Rock Lake,United States of America (the),1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,86,86,10,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
Ibitinga Reservoir,Brazil,1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,28,28,7,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
Lake Chotkowskie,Poland,1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,22,22,22,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
Lake Constance,Germany,1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,20,20,2,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,False,True,False,failed_date_or_dataset_id_proxy_campaign_diversity
Lake Erie,Canada;United States of America (the),1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,550,526,95,4,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,4,True,True,True,True,included
Lake Geneva,Switzerland,1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,20,20,6,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
Lake Hume,Australia,1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,39,39,18,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
Lake Jasień Południowy,Poland,1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,23,22,19,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
Lake Jeleń,Poland,1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,22,22,22,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
Lake Kasumigaura,Japan,1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,188,188,29,2,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,2,True,True,True,True,included
Lake Kummerow,Germany,1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,26,26,8,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
Lake Obłęże,Poland,1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,21,20,20,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
Lake Peipsi,Estonia,1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,74,74,12,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
Lake Winnipeg,Canada,1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,45,45,15,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
Lake Łebsko,Poland,1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,32,32,20,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
Mantova,Italy,1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,33,31,9,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
Morse Reservoir,United States of America (the),1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,53,53,3,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
Taihu,China,1,lake,True,no_explicit_GLORIA_reservoir_category_or_field,195,188,17,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1,True,True,True,True,included
