group_id,raw_gloria_ids,Dataset_ID_distinct_count,Organization_ID_distinct_count,TSS_method_distinct_count,Water_body_type_distinct_count,Country_distinct_count,Site_name_distinct_count,TSS_unit_distinct_count,metadata_conflict_count,metadata_conflict_status
Akan||Japan||2019-08-27||43.449||144.101,GID_3142,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
Akan||Japan||2019-08-27||43.461||144.102,GID_3143,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
Albufera||Spain||2007-06-06||39.324||-0.364,GID_4156,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
Albufera||Spain||2007-06-06||39.328||-0.369,GID_4154,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
Albufera||Spain||2007-06-06||39.329||-0.373,GID_4152,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
Albufera||Spain||2007-06-06||39.338||-0.342,GID_4161,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
Albufera||Spain||2007-06-06||39.341||-0.349,GID_4159,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
Albufera||Spain||2007-06-06||39.344||-0.358,GID_4157,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
Alcántara||Spain||2007-07-11||39.705||-6.476,GID_4188,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
Alcántara||Spain||2007-07-11||39.707||-6.481,GID_4186,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
Alcántara||Spain||2007-07-11||39.714||-6.467,GID_4187,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
Alcántara||Spain||2007-07-11||39.728||-6.471,GID_4191,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
Almendra||Spain||2007-07-10||41.218||-6.289,GID_4185,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
Almendra||Spain||2007-07-10||41.221||-6.292,GID_4183,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
Almendra||Spain||2007-07-10||41.222||-6.295,GID_4181,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
Almendra||Spain||2007-07-10||41.254||-6.271,GID_4180,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
Almendra||Spain||2007-07-10||41.256||-6.275,GID_4178,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
Almendra||Spain||2007-07-10||41.258||-6.278,GID_4176,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Altamaha River, GA||United States of America (the)||2003-01-10||31.285||-81.387",GID_4796,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
