Site_name,Country,latitude_min,latitude_median,latitude_max,longitude_min,longitude_median,longitude_max,water_body_codes,water_body_labels,raw_record_count,canonical_group_count,date_first,date_last,distinct_date_count,campaign_count,campaign_definition,tss_min,tss_median,tss_max,tss_unit,tss_missing_count,Dataset_ID_membership,Organization_ID_membership,TSS_method_membership,missing_tss_method_group_count,multi_dataset,multi_provider,multi_method
Branched Oak Lake,United States of America (the),40.96046,40.97032,40.98652,-96.88969,-96.865645,-96.85112,1,lake,40,40,2011-08-18,2011-09-09,3,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,11.3,20.45,50.4,g m-3,0,GitelsonAA_US_UNL,UNL,APHA 2540 D,0,False,False,False
Chaohu,China,31.5097,31.5728,31.6756,117.3305,117.453347,117.7488,1,lake,29,21,2013-05-12,2013-10-12,4,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,14.0000000000001,43.0,239.0,g m-3,0,MaR_CN_NIGLAS,NIGLAS,APHA 2540 D,0,False,False,False
Dianchi,China,24.68047222,24.83629322,24.9624,102.6225833,102.68511115,102.7437222,1,lake,64,64,2007-10-23,2019-06-01,9,2,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,22.5,38.5,184.0,g m-3,0,MaR_CN_NIGLAS;MatsushitaB_JP_Tsukuba,NIGLAS;Tsukuba,APHA 2540 D,0,True,True,False
Eagle Creek Reservoir,United States of America (the),39.82516,39.845575,39.87099,-86.3151,-86.30655999999999,-86.30067,1,lake,79,78,2010-05-05,2010-10-21,4,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,5.833333334,12.083333334999999,36.16666667,g m-3,0,LiL_US_IUPUI,IUPUI,IUPUI TSS,0,False,False,False
Erhai,China,25.61763889,25.846375,25.94294444,100.1201917,100.1799333,100.2638194,1,lake,37,37,2011-09-10,2012-07-30,3,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,3.541666667,5.733333333,20.375,g m-3,0,MatsushitaB_JP_Tsukuba,Tsukuba,APHA 2540 D,0,False,False,False
Garda,Italy,45.09,45.501,45.86633333,10.46,10.601833,10.8485,1,lake,45,37,2015-07-17,2020-09-10,15,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,0.1,1.1,5.24999999999999,g m-3,0,GiardinoC_IT_CNR-IREA,CNR-IREA,ISO 11923:1997,0,False,False,False
Geist Reservoir,United States of America (the),39.90753,39.926765,40.01491,-86.03936,-85.95523,-85.91874,1,lake,56,56,2010-04-12,2010-10-14,3,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,5.166666667,10.875,81.16666667,g m-3,0,LiL_US_IUPUI,IUPUI,IUPUI TSS,0,False,False,False
High Rock Lake,United States of America (the),35.60522,35.653845000000004,35.68915,-80.3385,-80.30755500000001,-80.23669,1,lake,86,86,2021-07-07,2022-10-05,10,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1.0,10.0,98.0,g m-3,0,DiVittorioC_US_WFU,WFU,APHA 2540 D,0,False,False,False
Ibitinga Reservoir,Brazil,-21.9105277778,-21.84779166665,-21.7607222222,-48.9921694444,-48.95195833335,-48.8918055556,1,lake,28,28,2014-02-06,2018-08-13,7,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,0.8,5.7,97.5,g m-3,0,BarbosaCCF_BR_LabISA-INPE,LabISA-INPE,LabISA-INPE TSS,0,False,False,False
Lake Chotkowskie,Poland,54.15146,54.15146,54.15146,17.35654,17.35654,17.35654,1,lake,22,22,2007-03-03,2009-11-11,22,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1.2,4.555,13.875,g m-3,0,FicekD_PL_APSL,APSL,APSL TSS,0,False,False,False
