population,field,total_rows,missing_count,missing_fraction,availability
raw_tss_labelled_rows,Dataset_ID,4623,0,0.0,present
raw_tss_labelled_rows,Organization_ID,4623,658,0.14233181916504434,present
raw_tss_labelled_rows,TSS_method,4623,0,0.0,present
raw_tss_labelled_rows,Date_Time_UTC,4623,1,0.00021630975556997622,present
raw_tss_labelled_rows,Latitude,4623,59,0.012762275578628596,present
raw_tss_labelled_rows,Longitude,4623,59,0.012762275578628596,present
raw_tss_labelled_rows,Water_body_type,4623,0,0.0,present
retained_complete_spectrum_rows,Dataset_ID,4500,0,0.0,present
retained_complete_spectrum_rows,Organization_ID,4500,591,0.13133333333333333,present
retained_complete_spectrum_rows,TSS_method,4500,0,0.0,present
retained_complete_spectrum_rows,Date_Time_UTC,4500,1,0.00022222222222222223,present
retained_complete_spectrum_rows,Latitude,4500,59,0.013111111111111112,present
retained_complete_spectrum_rows,Longitude,4500,59,0.013111111111111112,present
retained_complete_spectrum_rows,Water_body_type,4500,0,0.0,present
canonical_groups,Dataset_ID,4292,0,0.0,present
canonical_groups,Organization_ID,4292,520,0.1211556383970177,present
canonical_groups,TSS_method,4292,0,0.0,present
retained_dataset_method_combinations,filter_type,36,0,0.0,present_in_method_dictionary
retained_dataset_method_combinations,measurement_technique,36,0,0.0,present_in_method_dictionary
retained_dataset_method_combinations,approach,36,2,0.05555555555555555,present_in_method_dictionary
retained_dataset_method_combinations,applications,36,21,0.5833333333333334,present_in_method_dictionary
raw_tss_labelled_rows,uncertainty_or_replicate_fields,0,0,,not_present_in_GLORIA_meta_and_lab_csv
