Dataset_ID,TSS_method,Organization_ID_membership,raw_record_count,canonical_group_count,target_presence,filter_type,measurement_technique,approach,applications,metadata_status,measurement_classification
AlikasK_EE_UT-TO,ESS Method 340.2,UT-TO,162,161,True,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,EPA-NERL (1971); APHA (1985); ESS (1993),<missing>,UNVERIFIED,gravimetric_documented
AnsteeJ_AU_CSIRO,ISO 11923:1997,CSIRO,115,115,True,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,ISO (1997),Strömbeck and Pierson (2001),VERIFIED,gravimetric_documented
BarbosaCCF_BR_LabISA-INPE,LabISA-INPE TSS,LabISA-INPE,48,48,True,"Whatman® glass microfiber filter, grade GF/C, 1.2μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,Wetzel and Likens (2000a),Maciel et al. (2019),VERIFIED,gravimetric_documented
BindingC_CA_ECCC,ECCC TSS,ECCC,94,94,True,"Whatman® preweighed RTU glass microfiber filter, grade GF/C, 1.2μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,<missing>,<missing>,UNVERIFIED,gravimetric_documented
DekkerAG_NL_VU,VU TSS,VU,20,20,False,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,<missing>,<missing>,UNVERIFIED,gravimetric_documented
DiVittorioC_US_WFU,APHA 2540 D,WFU,86,86,True,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,APHA (2005),<missing>,UNVERIFIED,gravimetric_documented
FicekD_PL_APSL,APSL TSS,APSL,200,193,True,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,Van der Linde (1998); Tilstone et al. (2002),<missing>,UNVERIFIED,gravimetric_documented
FichotCG_US_BU_PIE,BU_PIE TSS,<missing>,23,23,False,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,Van der Linde (1998); Tilstone et al. (2002),Neukermans et al. (2012),VERIFIED,gravimetric_documented
GegeP_DE_DLR-IMF,ISO 11923:1997,DLR-IMF,20,20,False,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,ISO (1997),<missing>,UNVERIFIED,gravimetric_documented
GiardinoC_IT_CNR-IREA,ISO 11923:1997,CNR-IREA,147,128,True,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,ISO (1997),Strömbeck and Pierson (2001),VERIFIED,gravimetric_documented
