population,Dataset_ID,Organization_ID,TSS_method,canonical_group_count,site_count,raw_record_count,tss_min,tss_median,tss_max,tss_unit,tss_missing_count
auxiliary_groups,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,87,37,88,0.67,5.33,25.5,g m-3,0
auxiliary_groups,AnsteeJ_AU_CSIRO,CSIRO,ISO 11923:1997,76,12,76,0.907,4.5,175.0,g m-3,0
auxiliary_groups,BarbosaCCF_BR_LabISA-INPE,LabISA-INPE,LabISA-INPE TSS,20,2,20,4.0,8.055,43.5,g m-3,0
auxiliary_groups,DekkerAG_NL_VU,VU,VU TSS,20,16,20,1.0,16.5,45.0,g m-3,0
auxiliary_groups,FicekD_PL_APSL,APSL,APSL TSS,75,8,80,0.86,3.8,128.6,g m-3,0
auxiliary_groups,FichotCG_US_BU_PIE,<missing>,BU_PIE TSS,23,1,23,1.02,7.651,21.71,g m-3,0
auxiliary_groups,GegeP_DE_DLR-IMF,DLR-IMF,ISO 11923:1997,20,1,20,1.1808,1.66268,6.29599999999999,g m-3,0
auxiliary_groups,GiardinoC_IT_CNR-IREA,CNR-IREA,ISO 11923:1997,60,5,69,0.76923076923077,2.75,23.5,g m-3,0
auxiliary_groups,GitelsonAA_US_UNL,UNL,APHA 2540 D,164,13,164,1.19,6.62,88.0,g m-3,0
auxiliary_groups,GrebSR_US_WDNR,WDNR,APHA 2540 D,216,35,216,0.444,5.12,123.0,g m-3,0
auxiliary_groups,HigaH_JP_YNU,YNU,APHA 2540 D,62,1,62,2.99,7.295,26.29,g m-3,0
auxiliary_groups,JametC_FR_ULCO-LOG,<missing>,APHA 2540 D,497,9,568,0.211,10.98,1945.3405,g m-3,0
auxiliary_groups,KravitzJ_ZA_UCT,UCT,APHA 2540 D,28,4,28,0.8,7.8,84.0,g m-3,0
auxiliary_groups,LehmannMK_NZ_UOW_NZ_CST,UOW,APHA 2540 D,65,1,65,1.529636711,16.2835249042146,77.91706847,g m-3,0
auxiliary_groups,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,169,85,170,0.1,2.2,134.94,g m-3,0
auxiliary_groups,MatsushitaB_JP_Tsukuba,Tsukuba,APHA 2540 D,26,5,26,0.765,1.2633333334999999,9.611111111,g m-3,0
auxiliary_groups,MatthewsM_ZA_UCT,UCT,APHA 2540 D,31,3,62,1.49,10.0,2533.3,g m-3,0
auxiliary_groups,NguyenTTH_VN_VNU-HUS,VNU-HUS,APHA 2540 D,107,4,109,11.85,28.5,168.0,g m-3,0
auxiliary_groups,OlmansonLG_US_UMN,UMN,UMN TSS,7,7,7,5.936666667,9.048,65.048,g m-3,0
auxiliary_groups,OndrusekM_US_NOAA-STAR_KR_CST,NOAA-STAR,NASA TM 2003-211621,48,1,53,0.260357143,4.472142857,110.2357143,g m-3,0
auxiliary_groups,Ruiz-VerduA_ES_UVEG-CEDEX,UVEG-CEDEX,APHA 2540 D,30,6,30,0.7,3.295,78.82,g m-3,0
auxiliary_groups,SchallesJ_US_Creighton,Creighton,Creighton TSS,60,6,60,0.158,14.7046311475412,726.3,g m-3,0
auxiliary_groups,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,336,76,348,0.650000000000039,17.0854365079365,295.465727502103,g m-3,0
auxiliary_groups,SchallesJ_US_Creighton,NSF GCE LTER,Creighton TSS,193,18,202,0.237661715380954,2.73233082706767,97.4475162625668,g m-3,0
auxiliary_groups,SiswantoE_JP_JAMSTEC,JAMSTEC,APHA 2540 D,51,1,51,0.249999999999998,0.974999999999999,6.4,g m-3,0
auxiliary_groups,SpyrakosE_GB_STIR,STIR,APHA 2540 D,28,7,28,0.407,1.2062499999999998,6.034,g m-3,0
auxiliary_groups,WernandMR_NL_NIOZ_CST,NIOZ,NIOZ TSS,12,1,22,6.56875,9.201525,27.87975,g m-3,0
auxiliary_groups,WernandMR_NL_NIOZ_LK,NIOZ,NIOZ TSS,14,14,14,1.24250000000004,10.710000000000214,23.9333333333332,g m-3,0
auxiliary_groups,WertherM_GB_STIR,STIR,APHA 2540 D,12,4,12,0.45,1.3650000000000002,4.32,g m-3,0
eligible_target_groups,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,74,1,74,0.75,7.67,26.0,g m-3,0
eligible_target_groups,AnsteeJ_AU_CSIRO,CSIRO,ISO 11923:1997,39,1,39,1.333,3.6,24.917,g m-3,0
