population,water_body_code,water_body_label,canonical_group_count,site_count,raw_record_count,tss_min,tss_median,tss_max,tss_unit,tss_missing_count
auxiliary_groups,1,lake,1132,259,1179,0.1,4.8149999999999995,2533.3,g m-3,0
auxiliary_groups,2,estuary,256,55,297,1.02,16.6997505646004,1356.45,g m-3,0
auxiliary_groups,3,coastal_ocean,907,23,971,0.158,7.1,1945.3405,g m-3,0
auxiliary_groups,4,river,221,38,225,0.650000000000039,25.7,726.3,g m-3,0
auxiliary_groups,5,other,21,2,21,0.407,5.067,61.429,g m-3,0
eligible_target_groups,1,lake,1755,24,1807,0.1,12.0,246.0,g m-3,0
full_canonical_archive,1,lake,2887,283,2986,0.1,9.0,2533.3,g m-3,0
full_canonical_archive,2,estuary,256,55,297,1.02,16.6997505646004,1356.45,g m-3,0
full_canonical_archive,3,coastal_ocean,907,23,971,0.158,7.1,1945.3405,g m-3,0
full_canonical_archive,4,river,221,38,225,0.650000000000039,25.7,726.3,g m-3,0
full_canonical_archive,5,other,21,2,21,0.407,5.067,61.429,g m-3,0
